FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,RevenueAccountDescription,FY2016 Budget
750,SPECIAL PURPOSE               ,1604,FRANK HATHAWAY ACCOUNT-RSTR   ,9999999,Revenue,99999,Revenue,44100002,RESERVE FOR PRIOR YEAR ENCUMBR,4621.000
750,SPECIAL PURPOSE               ,1663,FRGRND INC-GNRL PERSHING-REST ,9999999,Revenue,99999,Revenue,43365000,DONATIONS - SPECIAL PURPOSE   ,22508.000
750,SPECIAL PURPOSE               ,1607,GEN PARK-DONATIONS-RSTR       ,9999999,Revenue,99999,Revenue,44100002,RESERVE FOR PRIOR YEAR ENCUMBR,21588.000
750,SPECIAL PURPOSE               ,1607,GEN PARK-DONATIONS-RSTR       ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,69803.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300029,ADM CHG-OCMAPS SVC            ,231289.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,45015010,PAYMENTS FROM OCEDT - OP      ,378862.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40650041,PERMITS-WORK ZONE             ,41632.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42100008,DEV SVCS-MEDICAL DISTRICT SVCS,12000.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300028,ADM CHG-MAPS3                 ,623086.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950025,FINES-EXTERIOR MAINT          ,570001.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300019,ADM CHG-BID                   ,25260.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300022,ADM CHG-BANKING FEES          ,575872.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,2750000.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40000000,SALES TAX                     ,223989022.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40050000,USE TAX                       ,38371556.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40060000,EXCISE TAX                    ,4927377.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40150000,OKLAHOMA NATURAL GAS          ,5539567.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40150001,OKLAHOMA GAS AND ELECTRIC     ,21791309.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40150002,CADDO ELECTRIC COOP           ,179284.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40150003,OKLAHOMA ELECTRIC COOP        ,1439148.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40150004,VEOLIA ENERGY FRANCHISE FEE   ,484768.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40150005,SOUTHWESTERN BELL             ,364352.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40150007,COX CABLE                     ,6936831.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40150011,COX FIBERNET                  ,291618.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40150018,ONG-TRANSPORT CUSTOMERS       ,997141.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40150019,MISC TELECOM FRANCHISE        ,138187.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40150020,AT&T VIDEO                    ,1740471.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40200000,UTILITY FEES-WATER            ,2300000.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40200001,UTILITY FEES-WASTEWATER       ,1650000.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40200002,UTILITY FEES-SANITATION       ,925000.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40300000,ALCOHOLIC BEVERAGE TAX        ,949561.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40350000,COMMERCIAL VEHICLE TAX        ,4760981.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40400000,MOTOR FUEL TAX                ,1135530.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40600001,LICENSE-VENDING MACHINE       ,192850.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40600003,LICENSE-MIXED BEV/BOTTLE      ,534382.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40600004,LICENSE-BUSINESS              ,766449.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40600005,LICENSE-GARAGE SALES          ,155787.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40650000,PERMITS-ALARMS                ,699236.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40650006,PERMITS-FENCE                 ,17842.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40650007,PERMITS-SIGNS                 ,54892.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40650008,PERMITS-FIRESPRINKLER         ,110614.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40650009,PERMITS-HOUSE MOVE            ,1954.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40650010,PERMITS-POOLS                 ,13786.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40650011,PERMITS-FIRE PREVENTION       ,317899.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40650012,PERMITS-BOILER                ,1329.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40650013,PERMITS-BUILDING              ,6842688.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40650014,PERMITS-ELECTRICAL WIRE       ,1483684.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40650015,PERMITS-PLUMBING              ,1749888.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40650016,PERMITS-REFG AND AIR          ,1063471.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40650017,PERMITS-OIL AND GAS           ,212674.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40650019,PERMITS-ELEVATOR              ,245053.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40650020,PERMITS-DAILY FISHING         ,144504.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40750005,POLICE ALARM FEE              ,568457.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40900002,FEES-SIDEWALK AND PAVING      ,382590.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40900006,FEES-CERT OF APPROP           ,79557.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40900008,FEES-PRE-QUAL APPLICATION     ,46920.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40900010,OFFSITE PM WAGERING           ,58909.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40908000,FEES-GARNISHMENT FEES         ,38404.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40909000,FEES-OTHER FEES               ,18516.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950000,FINES-PARKING (COURTS)        ,2569741.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950001,FINES-JURY DIVISION           ,1663776.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950002,FEE-LAB FEES                  ,7542.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950003,COST-BOND FEES                ,76059.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950004,COST-COURT COSTS              ,11302011.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950005,COST-PROBATION FEES           ,166890.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950006,FINES-CRIMINAL                ,215635.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950007,FINES-TRAFFIC                 ,9147706.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950011,COST-WARRANT                  ,336156.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950015,COST-ADMINISTRATION           ,226859.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950016,COST-COURT MAILING            ,146999.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950018,COST-PROBATION-DUI TEST       ,121078.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950019,FEE-SHERIFF BOND FEES         ,87334.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950020,FEE-DIST COURT DUI FEE        ,21189.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950021,FEE-JAIL COST RECOVERY        ,361199.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40950022,FINES-NUISANCE ABATMNT ADMIN  ,24788.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,41100018,INTEREST-GOV                  ,651540.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,41200000,ROYALTIES-OPERATING           ,72509.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,41300012,PARKING METER FEES            ,1201512.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42000000,POL CHARGES-POLICE FEES       ,31259.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42000002,POL CHARGES-OKC SCHOOL DT     ,1792735.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42000003,POL CHARGES-CROSSING GUARD    ,139958.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42000004,POL CHARGES-FED REIM OT,300000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42000005,POL CHARGES-POL CONFISCATIONS ,51717.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42000006,POL CHARGES-BUREAU OF RECORDS ,53510.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42000007,POL CHARGES-FORENSIC SERVICE  ,40443.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42050001,PARKS CHG-ADMISSION FEES      ,1236013.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42100000,ENGINEERING SUPT MAN HOLE TAP ,8368.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42100003,CHARGES-PLANNING FEES         ,863175.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42100004,PW CHARGES-ENGINEERING FEES   ,3306251.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42100005,ADM REVO PERMIT-LAWN SPRINKLER,12771.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42250001,ANIMAL SHELTER CHARGES        ,330415.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42250003,EMERGENCY SERVICES            ,28000.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300002,ADM CHG-DRAINAGE              ,1115348.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300003,ADM CHG-WATER                 ,4067363.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300004,ADM CHG-WASTEWATER            ,2644176.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300005,ADM CHG-SANITATION            ,921931.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300006,ADM CHG-AIRPORT               ,889564.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300007,ADM CHG-AIRPORT POLICE        ,3036441.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300008,ADM CHG-OCZT-ZOO              ,250000.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300009,ADM CHG-GOLF                  ,78023.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300010,ADM CHG-IT                    ,1485158.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300011,ADM CHG-RISK MANAGEMENT       ,816475.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300012,ADM CHG-PRINT SHOP            ,112848.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300013,ADM CHG-FLEET SERVICES        ,69607.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300014,ADM CHG-TRANSIT               ,782439.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300015,ADM CHG-PARKING               ,173217.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300018,ADM CHG-CONVENTION-VISITORS   ,279471.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42300020,ADM CHG-RETIREMENT SYSTEM     ,62607.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,43600003,LEASES-OPERATING              ,1874875.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,43700000,FEMA-REIMBURSEMENTS           ,100729.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,43700009,REIM-FEDERAL GRANTS           ,63643.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,43750001,REFUNDS & REIMB - GOV FUNDS   ,47917.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,43750020,REIMB-OCRRA                   ,35393.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,43750026,DAMAGE TO CITY PROPERTY       ,75557.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,44200014,WRECKER SERVICE PAYMENTS      ,51218.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,44200015,MISCELLANEOUS REVENUE         ,145023.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,44200027,REBATES                       ,190606.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,45050000,SALE OF CITY PROPERTY         ,10010.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,45600157,TSF TO GF SUBFUNDS-010        ,-817875.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,45600180,TSF FM MFA-NUISANCE ABATEMENTS,571576.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,45600200,TSF FM OCPPA CIVIC CENTER     ,2119576.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,43755001,PUBLIC WORKS TMS CHARGES      ,5889336.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,43750047,REIMB PARKS GEN FND-GOLF ADMIN,107881.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,43750045,FIRE WAGE ADJUSTMENT - REIMB  ,12067656.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,43750046,POLICE WAGE AJDUSTMENT-REIMB  ,9265643.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40900013,BIKE SHARE FEES               ,23538.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,45600404,TSF_FM_OCPPA-DAS              ,175500.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,43750021,REIM-SALARY-BENEFITS          ,80246.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,40900015,FEES-AB_COST_RECOVERY         ,20001.000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,9999999,Revenue,99999,Revenue,42100009,CONSTRUCTION MGMT FEE-PLANNING,50000.000
750,SPECIAL PURPOSE               ,1645,GOB PRTCN CALIPER DEV-RSTR    ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,20845.000
760,HOTEL MOTEL TAX SPEC REVENUE  ,1900,H/M TAX CONTROL-RSTR          ,9999999,Revenue,99999,Revenue,40100000,HOTEL/MOTEL TAXES             ,14177969.000
760,HOTEL MOTEL TAX SPEC REVENUE  ,1900,H/M TAX CONTROL-RSTR          ,9999999,Revenue,99999,Revenue,45600193,TSF TO CONVENTN & TOURISM DEV ,-5155625.000
760,HOTEL MOTEL TAX SPEC REVENUE  ,1900,H/M TAX CONTROL-RSTR          ,9999999,Revenue,99999,Revenue,45600194,TSF TO FAIRGROUNDS CAP IMP    ,-7733438.000
760,HOTEL MOTEL TAX SPEC REVENUE  ,1900,H/M TAX CONTROL-RSTR          ,9999999,Revenue,99999,Revenue,45600195,TSF TO EVENT SPONSORSHIP/PROMO,-1288906.000
250,INFORMATION TECHNOLOGY        ,0460,INFORMATION TECHNOLOGY        ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,1779080.000
250,INFORMATION TECHNOLOGY        ,0460,INFORMATION TECHNOLOGY        ,9999999,Revenue,99999,Revenue,42400000,IT CHGBCK-GENERAL FUND        ,17114130.000
250,INFORMATION TECHNOLOGY        ,0460,INFORMATION TECHNOLOGY        ,9999999,Revenue,99999,Revenue,42400001,IT CHGBCK-FEDERAL GRANTS      ,14748.000
250,INFORMATION TECHNOLOGY        ,0460,INFORMATION TECHNOLOGY        ,9999999,Revenue,99999,Revenue,42400002,IT CHGBCK-EMERGENCY MGMT      ,1965340.000
250,INFORMATION TECHNOLOGY        ,0460,INFORMATION TECHNOLOGY        ,9999999,Revenue,99999,Revenue,42400003,IT CHGBCK-AIRPORTS            ,512720.000
250,INFORMATION TECHNOLOGY        ,0460,INFORMATION TECHNOLOGY        ,9999999,Revenue,99999,Revenue,42400004,IT CHGBCK-SANITATION          ,249758.000
250,INFORMATION TECHNOLOGY        ,0460,INFORMATION TECHNOLOGY        ,9999999,Revenue,99999,Revenue,42400006,IT CHGBCK-PARKING             ,12935.000
250,INFORMATION TECHNOLOGY        ,0460,INFORMATION TECHNOLOGY        ,9999999,Revenue,99999,Revenue,42400007,IT CHGBCK-WATER               ,2342572.000
250,INFORMATION TECHNOLOGY        ,0460,INFORMATION TECHNOLOGY        ,9999999,Revenue,99999,Revenue,42400008,IT CHGBCK-WASTEWATER          ,539068.000
250,INFORMATION TECHNOLOGY        ,0460,INFORMATION TECHNOLOGY        ,9999999,Revenue,99999,Revenue,42400009,IT CHGBCK-TRANSIT             ,541124.000
250,INFORMATION TECHNOLOGY        ,0460,INFORMATION TECHNOLOGY        ,9999999,Revenue,99999,Revenue,42400011,IT CHGBCK-DRAINAGE            ,143408.000
250,INFORMATION TECHNOLOGY        ,0460,INFORMATION TECHNOLOGY        ,9999999,Revenue,99999,Revenue,42400015,MIS CHGBK-OCMAPS TRUST        ,126816.000
250,INFORMATION TECHNOLOGY        ,0460,INFORMATION TECHNOLOGY        ,9999999,Revenue,99999,Revenue,42400019,MIS CHGBK-OCMAPS              ,96042.000
250,INFORMATION TECHNOLOGY        ,0460,INFORMATION TECHNOLOGY        ,9999999,Revenue,99999,Revenue,42400020,IT CHGBK-ZOO                  ,158780.000
250,INFORMATION TECHNOLOGY        ,0460,INFORMATION TECHNOLOGY        ,9999999,Revenue,99999,Revenue,42400021,IT CHGBK-ERS                  ,29704.000
001,GENERAL FUND                  ,0003,JUV JUSTICE-RSTR              ,9999999,Revenue,99999,Revenue,40950013,COST-JUV DIVISION             ,235918.000
001,GENERAL FUND                  ,0003,JUV JUSTICE-RSTR              ,9999999,Revenue,99999,Revenue,45600022,TSF FM 010-GF SUBFUNDS        ,817875.000
750,SPECIAL PURPOSE               ,1629,LIBRARY CONST-RSTR            ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,103265.000
716,MAPS3 USE TAX                 ,1781,MAPS 3 USE TAX CAP PROJ-CMTD  ,9999999,Revenue,99999,Revenue,45600238,TSF TO/FM MAPS3 CAPITAL/OPER  ,12225196.000
716,MAPS3 USE TAX                 ,1781,MAPS 3 USE TAX CAP PROJ-CMTD  ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,19350389.000
716,MAPS3 USE TAX                 ,1781,MAPS 3 USE TAX CAP PROJ-CMTD  ,9999999,Revenue,99999,Revenue,41100018,INTEREST-GOV                  ,123800.000
716,MAPS3 USE TAX                 ,1781,MAPS 3 USE TAX CAP PROJ-CMTD  ,9999999,Revenue,99999,Revenue,44100002,RESERVE FOR PRIOR YEAR ENCUMBR,3437748.000
050,METROPOLITAN PROJECTS TAX     ,0276,MAPS CAPITAL PROJECTS-RSTR    ,9999999,Revenue,99999,Revenue,41105018,GOV REST INTEREST INC         ,1000.000
050,METROPOLITAN PROJECTS TAX     ,0276,MAPS CAPITAL PROJECTS-RSTR    ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,555154.000
051,MAPS OPERATIONS               ,0281,MAPS USE CAP RPLCMNT-CMTD     ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,3428386.000
051,MAPS OPERATIONS               ,0281,MAPS USE CAP RPLCMNT-CMTD     ,9999999,Revenue,99999,Revenue,44100002,RESERVE FOR PRIOR YEAR ENCUMBR,13480.000
051,MAPS OPERATIONS               ,0281,MAPS USE CAP RPLCMNT-CMTD     ,9999999,Revenue,99999,Revenue,41100018,INTEREST-GOV                  ,15000.000
051,MAPS OPERATIONS               ,0281,MAPS USE CAP RPLCMNT-CMTD     ,9999999,Revenue,99999,Revenue,45600070,TSF FM MAPS USE TAX           ,670786.000
051,MAPS OPERATIONS               ,0280,MAPS USE TAX OPERATIONS-CMTD  ,9999999,Revenue,99999,Revenue,41100018,INTEREST-GOV                  ,46284.000
051,MAPS OPERATIONS               ,0280,MAPS USE TAX OPERATIONS-CMTD  ,9999999,Revenue,99999,Revenue,45600070,TSF FM MAPS USE TAX           ,-670786.000
051,MAPS OPERATIONS               ,0280,MAPS USE TAX OPERATIONS-CMTD  ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,1471287.000
715,MAPS3 SALES TAX               ,1778,MAPS3 SALES TAX-RSTR          ,9999999,Revenue,99999,Revenue,40000000,SALES TAX                     ,112705477.000
715,MAPS3 SALES TAX               ,1778,MAPS3 SALES TAX-RSTR          ,9999999,Revenue,99999,Revenue,41100018,INTEREST-GOV                  ,1579240.000
715,MAPS3 SALES TAX               ,1778,MAPS3 SALES TAX-RSTR          ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,79331283.000
715,MAPS3 SALES TAX               ,1778,MAPS3 SALES TAX-RSTR          ,9999999,Revenue,99999,Revenue,44100002,RESERVE FOR PRIOR YEAR ENCUMBR,104735906.000
