Fund,Oper Unit,Dept,Agency,Agency Name,Account,Character Class,Class Description,Descr,Sum Transaction Amt,Ledger,Operating or Non,Year
399,3001,3990204,399,Utilities,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"1,198.32",ACTUALS,,"2,015"
001,0001,1600302,160,Personnel,51010001,51,Personnel Services,SALARIES AND WAGES,"123,230.74",ACTUALS,,"2,015"
001,0001,0400301,040,City Manager,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"56,586.36",ACTUALS,,"2,015"
399,3001,3990101,399,Utilities,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,0.00,ACTUALS,,"2,015"
001,0001,2400304,240,Planning,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT,400.70,ACTUALS,,"2,015"
370,0480,3990705,399,Utilities,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,216.00,ACTUALS,,"2,015"
001,0001,3500211,350,General Services,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"17,808.29",ACTUALS,,"2,015"
001,0001,2800401,280,Finance,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"16,945.91",ACTUALS,,"2,015"
020,0100,4200621,420,Police,51010019,51,Personnel Services,EMPLOYEE INCENTIVE,"407,416.15",ACTUALS,,"2,015"
070,0350,4200842,420,Police,51070003,51,Personnel Services,INDEMNITY ADMIN,"3,075.55",ACTUALS,,"2,015"
330,0075,3300601,330,Public Works,53040025,53,Materials and Supplies,SMALL TOOLS & MINOR EQUIP,10.43,ACTUALS,,"2,015"
003,2147,3305001,330,Public Works,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"228,647.85",ACTUALS,,"2,015"
715,1778,0406106,040,City Manager,54164010,54,Capital Purchase,EQUIPMENT,"96,871.89",ACTUALS,,"2,015"
001,0001,1000605,100,Municipal Court,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"12,174.01",ACTUALS,,"2,015"
001,0001,5500206,550,Parks,53890022,53,Materials and Supplies,OTHER SUPPLIES,"2,780.18",ACTUALS,,"2,015"
066,5100,5200350,520,Public Transportation,52890002,52,Professional Services,SHIPPING / FREIGHT,125.00,ACTUALS,,"2,015"
001,0001,4200733,420,Police,53010016,53,Materials and Supplies,NON-CAPITAL FURNITURE & FIXTUR,309.00,ACTUALS,,"2,015"
003,2137,3305003,330,Public Works,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"13,870,709.41",ACTUALS,,"2,015"
001,0003,1000301,100,Municipal Court,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"9,442.53",ACTUALS,,"2,015"
511,0800,5112201,511,Airport,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"34,561.86",ACTUALS,,"2,015"
001,0001,5800110,580,Development Services,51010001,51,Personnel Services,SALARIES AND WAGES,"117,825.95",ACTUALS,,"2,015"
001,0001,4500301,450,Fire,51010007,51,Personnel Services,OVERTIME WAGES,17.42,ACTUALS,,"2,015"
001,0001,4200106,420,Police,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"9,585.86",ACTUALS,,"2,015"
001,0001,5500309,550,Parks,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,659.86,ACTUALS,,"2,015"
001,0001,5800401,580,Development Services,51070002,51,Personnel Services,HMO ADMIN,155.40,ACTUALS,,"2,015"
001,0001,5500311,550,Parks,52010040,52,Professional Services,SECURITY SYSTEMS,"32,977.82",ACTUALS,,"2,015"
055,0290,4503600,450,Fire,52044025,52,Professional Services,NON-CAPITAL ADMIN COST,181.53,ACTUALS,,"2,015"
001,0003,0700202,070,Municipal Counselor,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"13,538.79",ACTUALS,,"2,015"
020,0100,4200105,420,Police,53160004,53,Materials and Supplies,UNIFORMS & EQUIPMENT,"11,400.00",ACTUALS,,"2,015"
511,0800,5112402,511,Airport,53890002,53,Materials and Supplies,PURCHASE_DISCOUNT,-47.27,ACTUALS,,"2,015"
001,0001,9800007,980,Non Departmental,59010088,59,Transfers,TRANSFER TO MFA UNEMPL COMP,"183,887.08",ACTUALS,,"2,015"
020,0100,4200732,420,Police,51010013,51,Personnel Services,SICK LEAVE,"38,106.77",ACTUALS,,"2,015"
001,0001,4500101,450,Fire,51070003,51,Personnel Services,INDEMNITY ADMIN,15.58,ACTUALS,,"2,015"
001,0001,5500311,550,Parks,53890002,53,Materials and Supplies,PURCHASE_DISCOUNT,-1.36,ACTUALS,,"2,015"
001,0001,1000603,100,Municipal Court,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"6,566.35",ACTUALS,,"2,015"
003,2137,3305410,330,Public Works,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"1,656,048.41",ACTUALS,,"2,015"
350,0455,3500315,350,General Services,53890022,53,Materials and Supplies,OTHER SUPPLIES,"27,489.44",ACTUALS,,"2,015"
003,2147,3305003,330,Public Works,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,"101,930.89",ACTUALS,,"2,015"
001,0001,3300802,330,Public Works,51010007,51,Personnel Services,OVERTIME WAGES,753.37,ACTUALS,,"2,015"
001,0001,1000602,100,Municipal Court,51070002,51,Personnel Services,HMO ADMIN,385.08,ACTUALS,,"2,015"
003,2157,3305102,330,Public Works,54010001,54,Capital Purchase,LAND,"4,051.00",ACTUALS,,"2,015"
350,0455,3500315,350,General Services,51070002,51,Personnel Services,HMO ADMIN,75.45,ACTUALS,,"2,015"
285,0465,2800101,280,Finance,51010001,51,Personnel Services,SALARIES AND WAGES,"5,360.14",ACTUALS,,"2,015"
020,0100,4200621,420,Police,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,-162.00,ACTUALS,,"2,015"
030,0150,4500303,450,Fire,51010016,51,Personnel Services,VACATION,"6,767.05",ACTUALS,,"2,015"
511,0800,5112402,511,Airport,53040010,53,Materials and Supplies,OTHER LUBRICANTS,"4,548.47",ACTUALS,,"2,015"
399,3501,3990203,399,Utilities,53890022,53,Materials and Supplies,OTHER SUPPLIES,"1,094.05",ACTUALS,,"2,015"
700,1750,0400402,040,City Manager,51010001,51,Personnel Services,SALARIES AND WAGES,"382,783.93",ACTUALS,,"2,015"
019,6998,5509001,550,Parks,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,354.60,ACTUALS,,"2,015"
001,0001,2400306,240,Planning,51070003,51,Personnel Services,INDEMNITY ADMIN,139.46,ACTUALS,,"2,015"
001,0001,5500101,550,Parks,51510004,51,Personnel Services,EMPLOYEE PARKING,"9,161.10",ACTUALS,,"2,015"
001,0001,5500410,550,Parks,52340016,52,Professional Services,MACHINERY AND EQUIPMENT MTCE,515.90,ACTUALS,,"2,015"
399,3501,3990303,399,Utilities,51070002,51,Personnel Services,HMO ADMIN,101.79,ACTUALS,,"2,015"
511,0800,5112401,511,Airport,51070003,51,Personnel Services,INDEMNITY ADMIN,639.19,ACTUALS,,"2,015"
399,3501,3990110,399,Utilities,53890022,53,Materials and Supplies,OTHER SUPPLIES,"5,202.84",ACTUALS,,"2,015"
003,2107,3305708,330,Public Works,52044025,52,Professional Services,NON-CAPITAL ADMIN COST,"8,900.12",ACTUALS,,"2,015"
350,0455,3500315,350,General Services,52130004,52,Professional Services,SUBSCRIPTIONS,"1,296.00",ACTUALS,,"2,015"
001,0001,4200108,420,Police,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,"1,634.72",ACTUALS,,"2,015"
001,0001,5500309,550,Parks,53040013,53,Materials and Supplies,REPAIR & MAINTENANCE PARTS,"9,986.32",ACTUALS,,"2,015"
330,0075,3301106,330,Public Works,53040031,53,Materials and Supplies,OTHER EQUIPMENT,"5,960.42",ACTUALS,,"2,015"
001,0001,2800501,280,Finance,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,"4,599.19",ACTUALS,,"2,015"
003,2137,3305003,330,Public Works,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,"461,132.30",ACTUALS,,"2,015"
001,0001,5500206,550,Parks,52070004,52,Professional Services,"WATER, SEWER & REFUSE","19,181.18",ACTUALS,,"2,015"
019,6140,2408000,240,Planning,52310004,52,Professional Services,POSTAGE,194.37,ACTUALS,,"2,015"
019,6140,2408035,240,Planning,52550769,52,Professional Services,AGENCY ADMINISTRATION,"37,110.00",ACTUALS,,"2,015"
022,0121,4200733,420,Police,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"29,461.98",ACTUALS,,"2,015"
019,6970,5509200,550,Parks,51010022,51,Personnel Services,SALARY ADJUSTMENTS,"9,136.28",ACTUALS,,"2,015"
250,0460,2501203,250,Information Technology,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"34,063.19",ACTUALS,,"2,015"
399,3001,3990101,399,Utilities,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"10,365.03",ACTUALS,,"2,015"
001,0001,4200845,420,Police,51070003,51,Personnel Services,INDEMNITY ADMIN,529.61,ACTUALS,,"2,015"
001,0001,5500517,550,Parks,53040025,53,Materials and Supplies,SMALL TOOLS & MINOR EQUIP,"63,025.73",ACTUALS,,"2,015"
399,3001,3990507,399,Utilities,53890022,53,Materials and Supplies,OTHER SUPPLIES,"8,755.91",ACTUALS,,"2,015"
001,0001,0400204,040,City Manager,52130001,52,Professional Services,MEMBERSHIPS,"2,775.00",ACTUALS,,"2,015"
001,0001,5500208,550,Parks,52130004,52,Professional Services,SUBSCRIPTIONS,20.00,ACTUALS,,"2,015"
043,0450,0400303,040,City Manager,52400007,52,Professional Services,OTHER EQUIPMENT RENTAL,"3,140.42",ACTUALS,,"2,015"
003,2050,3305302,330,Public Works,52250001,52,Professional Services,ADVERTISING,43.29,ACTUALS,,"2,015"
350,0455,3500314,350,General Services,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"1,924.59",ACTUALS,,"2,015"
022,0121,4200733,420,Police,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"18,600.84",ACTUALS,,"2,015"
285,0465,2800101,280,Finance,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,359.66,ACTUALS,,"2,015"
250,0460,2501307,250,Information Technology,53100001,53,Materials and Supplies,EDUCATIONAL & TRAINING,472.89,ACTUALS,,"2,015"
001,0001,0400201,040,City Manager,52550700,52,Professional Services,TRAINING/EDUCATION,"4,591.50",ACTUALS,,"2,015"
750,1607,5507100,550,Parks,53890022,53,Materials and Supplies,OTHER SUPPLIES,299.44,ACTUALS,,"2,015"
019,6160,4209009,420,Police,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"5,309.67",ACTUALS,,"2,015"
020,0100,4200732,420,Police,52340013,52,Professional Services,NONTARGET REPAIR LABOR,150.00,ACTUALS,,"2,015"
001,0001,4200623,420,Police,52280022,52,Professional Services,CHARGEBACK FUEL,"63,651.34",ACTUALS,,"2,015"
001,0001,4200843,420,Police,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"13,037.43",ACTUALS,,"2,015"
399,3001,3990110,399,Utilities,52890002,52,Professional Services,SHIPPING / FREIGHT,32.92,ACTUALS,,"2,015"
001,0001,0400503,040,City Manager,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"10,873.95",ACTUALS,,"2,015"
001,0001,5500314,550,Parks,51510004,51,Personnel Services,EMPLOYEE PARKING,315.27,ACTUALS,,"2,015"
001,0001,4500202,450,Fire,51010001,51,Personnel Services,SALARIES AND WAGES,"1,135.44",ACTUALS,,"2,015"
051,0281,9805300,980,Non Departmental,53040031,53,Materials and Supplies,OTHER EQUIPMENT,"1,532.05",ACTUALS,,"2,015"
070,0350,4200107,420,Police,51010019,51,Personnel Services,EMPLOYEE INCENTIVE,157.50,ACTUALS,,"2,015"
001,0001,4200101,420,Police,52280022,52,Professional Services,CHARGEBACK FUEL,"25,983.25",ACTUALS,,"2,015"
511,0800,5112402,511,Airport,52340016,52,Professional Services,MACHINERY AND EQUIPMENT MTCE,"1,062.50",ACTUALS,,"2,015"
511,0800,5112301,511,Airport,51010007,51,Personnel Services,OVERTIME WAGES,775.64,ACTUALS,,"2,015"
001,0001,0700202,070,Municipal Counselor,51510004,51,Personnel Services,EMPLOYEE PARKING,"1,798.81",ACTUALS,,"2,015"
250,0460,2501404,250,Information Technology,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"29,027.29",ACTUALS,,"2,015"
039,0175,5503900,550,Parks,52044007,52,Professional Services,NON-CAPITAL CONSTRUCTION,"35,193.01",ACTUALS,,"2,015"
250,0460,2501303,250,Information Technology,52049001,52,Professional Services,EMPLOYEE TRAINING,"1,975.74",ACTUALS,,"2,015"
330,0075,3301106,330,Public Works,52340016,52,Professional Services,MACHINERY AND EQUIPMENT MTCE,"2,067.00",ACTUALS,,"2,015"
001,0001,2800221,280,Finance,51010001,51,Personnel Services,SALARIES AND WAGES,771.93,ACTUALS,,"2,015"
001,0001,4500302,450,Fire,51010016,51,Personnel Services,VACATION,"65,634.04",ACTUALS,,"2,015"
399,3501,3990110,399,Utilities,52100001,52,Professional Services,LICENSES,596.01,ACTUALS,,"2,015"
511,0800,5112404,511,Airport,51010013,51,Personnel Services,SICK LEAVE,"6,256.78",ACTUALS,,"2,015"
001,0001,0100201,010,Mayor and Council,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT,"9,399.98",ACTUALS,,"2,015"
001,0001,3100301,310,City Auditor,51010013,51,Personnel Services,SICK LEAVE,"1,631.39",ACTUALS,,"2,015"
001,0001,3500209,350,General Services,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,734.58,ACTUALS,,"2,015"
001,0001,0400110,040,City Manager,51010007,51,Personnel Services,OVERTIME WAGES,13.33,ACTUALS,,"2,015"
001,0001,0100201,010,Mayor and Council,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,689.84,ACTUALS,,"2,015"
001,0001,3300302,330,Public Works,53040013,53,Materials and Supplies,REPAIR & MAINTENANCE PARTS,321.37,ACTUALS,,"2,015"
001,0001,4500110,450,Fire,51070002,51,Personnel Services,HMO ADMIN,109.32,ACTUALS,,"2,015"
399,3001,3990404,399,Utilities,52100001,52,Professional Services,LICENSES,25.00,ACTUALS,,"2,015"
001,0001,5500101,550,Parks,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"9,562.00",ACTUALS,,"2,015"
001,0001,3300513,330,Public Works,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"73,588.91",ACTUALS,,"2,015"
250,0460,2501308,250,Information Technology,51510010,51,Personnel Services,TRAVEL & MEETINGS,968.10,ACTUALS,,"2,015"
001,0001,5500410,550,Parks,52010040,52,Professional Services,SECURITY SYSTEMS,"8,601.70",ACTUALS,,"2,015"
350,0455,3500110,350,General Services,52400010,52,Professional Services,COPIER LEASE,"8,340.00",ACTUALS,,"2,015"
001,0001,4200623,420,Police,51130010,51,Personnel Services,MILEAGE REIMBURSEMENT,33.46,ACTUALS,,"2,015"
399,3001,3990202,399,Utilities,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,453.91,ACTUALS,,"2,015"
001,0003,0700202,070,Municipal Counselor,51010016,51,Personnel Services,VACATION,"10,222.12",ACTUALS,,"2,015"
250,0460,2501601,250,Information Technology,51130004,51,Personnel Services,CAR ALLOWANCE,"1,508.93",ACTUALS,,"2,015"
511,0800,5112401,511,Airport,53040001,53,Materials and Supplies,JANITOR SUPPLIES,36.75,ACTUALS,,"2,015"
001,0001,2400304,240,Planning,52049001,52,Professional Services,EMPLOYEE TRAINING,"6,538.47",ACTUALS,,"2,015"
370,0480,3990705,399,Utilities,51510004,51,Personnel Services,EMPLOYEE PARKING,482.76,ACTUALS,,"2,015"
001,0001,3300301,330,Public Works,52070022,52,Professional Services,PROPANE,"5,086.05",ACTUALS,,"2,015"
250,0460,2501203,250,Information Technology,51010016,51,Personnel Services,VACATION,"22,121.71",ACTUALS,,"2,015"
001,0001,3300803,330,Public Works,52280022,52,Professional Services,CHARGEBACK FUEL,247.31,ACTUALS,,"2,015"
350,0455,3500312,350,General Services,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,304.82,ACTUALS,,"2,015"
001,0001,0100101,010,Mayor and Council,51010001,51,Personnel Services,SALARIES AND WAGES,"147,147.51",ACTUALS,,"2,015"
001,0001,5500309,550,Parks,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"28,346.48",ACTUALS,,"2,015"
001,0001,5800502,580,Development Services,52049001,52,Professional Services,EMPLOYEE TRAINING,"1,767.48",ACTUALS,,"2,015"
399,3001,3990303,399,Utilities,52130001,52,Professional Services,MEMBERSHIPS,"2,204.21",ACTUALS,,"2,015"
001,0001,2800401,280,Finance,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,598.00,ACTUALS,,"2,015"
001,0001,3300501,330,Public Works,53040031,53,Materials and Supplies,OTHER EQUIPMENT,499.98,ACTUALS,,"2,015"
020,0100,4200841,420,Police,53160008,53,Materials and Supplies,SAFETY EQUIPMENT & SUPPLIES,"1,710.50",ACTUALS,,"2,015"
001,0001,4200110,420,Police,51010013,51,Personnel Services,SICK LEAVE,"64,626.73",ACTUALS,,"2,015"
001,0001,4200731,420,Police,53890022,53,Materials and Supplies,OTHER SUPPLIES,52.80,ACTUALS,,"2,015"
330,0075,3300602,330,Public Works,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"102,914.00",ACTUALS,,"2,015"
070,0350,4200842,420,Police,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"2,366.70",ACTUALS,,"2,015"
001,0001,5500207,550,Parks,53010001,53,Materials and Supplies,OFFICE SUPPLIES,131.77,ACTUALS,,"2,015"
399,3501,3990304,399,Utilities,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"33,690.01",ACTUALS,,"2,015"
001,0001,0400201,040,City Manager,51510004,51,Personnel Services,EMPLOYEE PARKING,"4,440.00",ACTUALS,,"2,015"
511,0800,5112502,511,Airport,51070002,51,Personnel Services,HMO ADMIN,61.20,ACTUALS,,"2,015"
399,3001,3990502,399,Utilities,51510004,51,Personnel Services,EMPLOYEE PARKING,657.14,ACTUALS,,"2,015"
001,0001,0700110,070,Municipal Counselor,52130001,52,Professional Services,MEMBERSHIPS,"10,426.16",ACTUALS,,"2,015"
019,6140,2408000,240,Planning,52550511,52,Professional Services,SHARE FARE,"102,842.00",ACTUALS,,"2,015"
330,0075,3301110,330,Public Works,51070002,51,Personnel Services,HMO ADMIN,56.75,ACTUALS,,"2,015"
399,3001,3990506,399,Utilities,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"43,712.67",ACTUALS,,"2,015"
001,0001,4200733,420,Police,53160001,53,Materials and Supplies,PROTECTIVE CLOTHING,654.87,ACTUALS,,"2,015"
399,3501,3990202,399,Utilities,51010016,51,Personnel Services,VACATION,"102,044.68",ACTUALS,,"2,015"
001,0001,4500101,450,Fire,51010016,51,Personnel Services,VACATION,"110,366.67",ACTUALS,,"2,015"
399,3001,3990505,399,Utilities,51070002,51,Personnel Services,HMO ADMIN,273.10,ACTUALS,,"2,015"
003,2001,3305302,330,Public Works,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"4,438.19",ACTUALS,,"2,015"
250,0460,2501308,250,Information Technology,52010029,52,Professional Services,MISCELLANEOUS,306.07,ACTUALS,,"2,015"
370,0480,3990705,399,Utilities,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT,"1,826.39",ACTUALS,,"2,015"
003,2090,3305003,330,Public Works,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"224,000.00",ACTUALS,,"2,015"
001,0001,0700202,070,Municipal Counselor,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"4,385.88",ACTUALS,,"2,015"
001,0001,5500310,550,Parks,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"40,309.85",ACTUALS,,"2,015"
001,0001,9800005,980,Non Departmental,52050011,52,Professional Services,PAYMENTS TO OCEDT,"2,192,982.75",ACTUALS,,"2,015"
001,0001,4200841,420,Police,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,"7,541.32",ACTUALS,,"2,015"
003,2070,3305002,330,Public Works,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"73,820.37",ACTUALS,,"2,015"
250,0460,2501602,250,Information Technology,51010001,51,Personnel Services,SALARIES AND WAGES,"1,199,620.64",ACTUALS,,"2,015"
019,6140,2408035,240,Planning,52550108,52,Professional Services,"SHORT TERM RENT, MRTG & UTIL","55,497.49",ACTUALS,,"2,015"
001,0001,5500110,550,Parks,53890022,53,Materials and Supplies,OTHER SUPPLIES,"9,318.16",ACTUALS,,"2,015"
001,0001,3500101,350,General Services,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"10,590.77",ACTUALS,,"2,015"
370,0480,3990702,399,Utilities,53890022,53,Materials and Supplies,OTHER SUPPLIES,210.00,ACTUALS,,"2,015"
001,0001,5500309,550,Parks,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"139,702.47",ACTUALS,,"2,015"
001,0001,5800502,580,Development Services,53190001,53,Materials and Supplies,VETERINARY DRUGS,42.66,ACTUALS,,"2,015"
003,2107,3305410,330,Public Works,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,121.18,ACTUALS,,"2,015"
001,0001,0700202,070,Municipal Counselor,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"68,191.70",ACTUALS,,"2,015"
250,0460,2501502,250,Information Technology,51010001,51,Personnel Services,SALARIES AND WAGES,"448,741.43",ACTUALS,,"2,015"
001,0001,4200842,420,Police,51010001,51,Personnel Services,SALARIES AND WAGES,"180,041.06",ACTUALS,,"2,015"
511,0800,5112404,511,Airport,51070002,51,Personnel Services,HMO ADMIN,122.40,ACTUALS,,"2,015"
030,0150,4500203,450,Fire,51130001,51,Personnel Services,UNIFORM ALLOWANCE,"165,154.30",ACTUALS,,"2,015"
019,6140,2408000,240,Planning,52550058,52,Professional Services,OKC REHAB - OWNER,"57,783.75",ACTUALS,,"2,015"
003,2127,3305402,330,Public Works,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,"19,689.34",ACTUALS,,"2,015"
001,0001,5500207,550,Parks,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"8,778.35",ACTUALS,,"2,015"
020,0100,4200110,420,Police,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"5,982.40",ACTUALS,,"2,015"
019,6160,4209009,420,Police,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"15,381.55",ACTUALS,,"2,015"
001,0001,5800403,580,Development Services,51010016,51,Personnel Services,VACATION,"19,396.63",ACTUALS,,"2,015"
001,0001,3500101,350,General Services,51130004,51,Personnel Services,CAR ALLOWANCE,"1,358.03",ACTUALS,,"2,015"
330,0075,3301110,330,Public Works,52280022,52,Professional Services,CHARGEBACK FUEL,"7,063.87",ACTUALS,,"2,015"
001,0001,1000402,100,Municipal Court,59010007,59,Transfers,TRANSFER TO FUND 039 CIP,"1,630,123.00",ACTUALS,,"2,015"
001,0001,3300901,330,Public Works,51070002,51,Personnel Services,HMO ADMIN,563.48,ACTUALS,,"2,015"
001,0001,0700601,070,Municipal Counselor,51070003,51,Personnel Services,INDEMNITY ADMIN,527.09,ACTUALS,,"2,015"
001,0001,9800001,980,Non Departmental,52040037,52,Professional Services,STATE LEGISLATIVE CONSULTANT,"48,000.00",ACTUALS,,"2,015"
399,3001,3990504,399,Utilities,52070007,52,Professional Services,NATURAL GAS,"11,743.29",ACTUALS,,"2,015"
001,0001,4200732,420,Police,53040019,53,Materials and Supplies,NONTARGET REPAIR PARTS,"5,979.00",ACTUALS,,"2,015"
003,2070,3305003,330,Public Works,54040001,54,Capital Purchase,ARCHITECT & ENGINEERING,"131,157.71",ACTUALS,,"2,015"
330,0075,3301101,330,Public Works,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"57,775.72",ACTUALS,,"2,015"
001,0001,4500201,450,Fire,51130001,51,Personnel Services,UNIFORM ALLOWANCE,"102,162.71",ACTUALS,,"2,015"
003,2117,3305002,330,Public Works,52250001,52,Professional Services,ADVERTISING,5.55,ACTUALS,,"2,015"
022,0121,4200733,420,Police,52070034,52,Professional Services,OTHER UTILITIES,"2,624.70",ACTUALS,,"2,015"
399,3501,3990203,399,Utilities,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"2,480.17",ACTUALS,,"2,015"
003,2097,3305003,330,Public Works,54040001,54,Capital Purchase,ARCHITECT & ENGINEERING,"10,494.00",ACTUALS,,"2,015"
001,0001,5500413,550,Parks,53130010,53,Materials and Supplies,FERTILIZER,630.00,ACTUALS,,"2,015"
511,0800,5112302,511,Airport,51010013,51,Personnel Services,SICK LEAVE,"6,850.63",ACTUALS,,"2,015"
001,0001,2400101,240,Planning,52040046,52,Professional Services,PROFESSIONAL SERVICES-OTHER,"1,239.94",ACTUALS,,"2,015"
019,6200,4209200,420,Police,52049001,52,Professional Services,EMPLOYEE TRAINING,350.00,ACTUALS,,"2,015"
001,0001,0400110,040,City Manager,51070003,51,Personnel Services,INDEMNITY ADMIN,48.00,ACTUALS,,"2,015"
001,0001,3300901,330,Public Works,53040031,53,Materials and Supplies,OTHER EQUIPMENT,"1,209.96",ACTUALS,,"2,015"
019,6970,4509000,450,Fire,53890022,53,Materials and Supplies,OTHER SUPPLIES,71.33,ACTUALS,,"2,015"
750,1642,5502031,550,Parks,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"37,684.59",ACTUALS,,"2,015"
350,0455,3500312,350,General Services,51070002,51,Personnel Services,HMO ADMIN,369.24,ACTUALS,,"2,015"
001,0001,0700201,070,Municipal Counselor,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"7,950.97",ACTUALS,,"2,015"
001,0001,5500415,550,Parks,51070002,51,Personnel Services,HMO ADMIN,20.40,ACTUALS,,"2,015"
716,1780,0400406,040,City Manager,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"2,487.87",ACTUALS,,"2,015"
001,0001,5500110,550,Parks,53890002,53,Materials and Supplies,PURCHASE_DISCOUNT,-0.82,ACTUALS,,"2,015"
715,1778,0406106,040,City Manager,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,"116,150.20",ACTUALS,,"2,015"
030,0150,4500402,450,Fire,51130007,51,Personnel Services,TOOL ALLOWANCE,"1,400.00",ACTUALS,,"2,015"
399,3001,3990504,399,Utilities,53130013,53,Materials and Supplies,CHEMICALS,"2,672,491.10",ACTUALS,,"2,015"
250,0460,2501402,250,Information Technology,51070002,51,Personnel Services,HMO ADMIN,79.34,ACTUALS,,"2,015"
001,0001,5500413,550,Parks,53890004,53,Materials and Supplies,CLOTHING & OTHER,"16,075.05",ACTUALS,,"2,015"
250,0460,2501308,250,Information Technology,51010016,51,Personnel Services,VACATION,"24,103.07",ACTUALS,,"2,015"
001,0001,2800101,280,Finance,52310004,52,Professional Services,POSTAGE,55.23,ACTUALS,,"2,015"
001,0001,5500206,550,Parks,53130013,53,Materials and Supplies,CHEMICALS,191.10,ACTUALS,,"2,015"
399,3001,3990507,399,Utilities,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"151,393.72",ACTUALS,,"2,015"
003,2080,3305005,330,Public Works,52044025,52,Professional Services,NON-CAPITAL ADMIN COST,113.23,ACTUALS,,"2,015"
039,0179,1003900,100,Municipal Court,59010199,59,Transfers,TRANSFER TO SPECIAL PURPOSE,"8,676.20",ACTUALS,,"2,015"
060,0330,9801005,980,Non Departmental,52250001,52,Professional Services,ADVERTISING,"1,632.12",ACTUALS,,"2,015"
