budget_year,department,fund_code,account_type,account_category,amount
FY13-14,Administrative Services,2310,Expense,,2968
FY13-14,Administrative Services,2310,Expense,,4061
FY13-14,Administrative Services,2310,Expense,,22
FY13-14,Administrative Services,2310,Expense,,1070
FY13-14,Administrative Services,2413,Expense,,42593
FY13-14,Administrative Services,2413,Expense,,11770
FY13-14,Administrative Services,2413,Expense,,14841
FY13-14,Administrative Services,2413,Expense,,20305
FY13-14,Administrative Services,1010,Expense,,336240
FY13-14,Administrative Services,1010,Expense,,92913
FY13-14,Administrative Services,1010,Expense,,117160
FY13-14,Administrative Services,1010,Expense,,160288
FY13-14,Administrative Services,1700,Expense,,230907
FY13-14,Administrative Services,1700,Expense,,1360
FY13-14,Administrative Services,1700,Expense,,63806
FY13-14,Administrative Services,1700,Expense,,80457
FY13-14,Administrative Services,1700,Expense,,110075
FY13-14,Administrative Services,1700,Expense,,3500
FY13-14,Administrative Services,1700,Expense,,6000
FY13-14,Administrative Services,1700,Expense,,10000
FY13-14,Administrative Services,1700,Expense,,123580
FY13-14,Administrative Services,1700,Expense,,1200
FY13-14,Administrative Services,1010,Expense,,226342
FY13-14,Administrative Services,1010,Expense,,1530
FY13-14,Administrative Services,1010,Expense,,3366
FY13-14,Administrative Services,1010,Expense,,544
FY13-14,Administrative Services,1010,Expense,,62544
FY13-14,Administrative Services,1010,Expense,,78867
FY13-14,Administrative Services,1010,Expense,,107898
FY13-14,Administrative Services,1010,Expense,,22758
FY13-14,Administrative Services,1010,Expense,,-150000
FY13-14,Administrative Services,1010,Expense,,350000
FY13-14,Administrative Services,1010,Expense,,22000
FY13-14,Administrative Services,1010,Expense,,84770
FY13-14,Administrative Services,1010,Expense,,106100
FY13-14,Administrative Services,1700,Expense,,208679
FY13-14,Administrative Services,1700,Expense,,2373
FY13-14,Administrative Services,1700,Expense,,57663
FY13-14,Administrative Services,1700,Expense,,72711
FY13-14,Administrative Services,1700,Expense,,99478
FY13-14,Administrative Services,1750,Expense,,24987
FY13-14,Administrative Services,1750,Expense,,6905
FY13-14,Administrative Services,1750,Expense,,8706
FY13-14,Administrative Services,1750,Expense,,11912
FY13-14,Administrative Services,2310,Expense,,11100
FY13-14,Administrative Services,2310,Expense,,136
FY13-14,Administrative Services,2310,Expense,,3067
FY13-14,Administrative Services,2310,Expense,,3868
FY13-14,Administrative Services,2310,Expense,,5291
FY13-14,Administrative Services,2413,Expense,,28924
FY13-14,Administrative Services,2413,Expense,,7992
FY13-14,Administrative Services,2413,Expense,,10078
FY13-14,Administrative Services,2413,Expense,,13788
FY13-14,Administrative Services,7760,Expense,,18315
FY13-14,Administrative Services,7760,Expense,,1169
FY13-14,Administrative Services,7760,Expense,,5061
FY13-14,Administrative Services,7760,Expense,,6382
FY13-14,Administrative Services,7760,Expense,,8731
FY13-14,Administrative Services,1010,Expense,,107389
FY13-14,Administrative Services,1010,Expense,,2100
FY13-14,Administrative Services,1010,Expense,,29674
FY13-14,Administrative Services,1010,Expense,,37418
FY13-14,Administrative Services,1010,Expense,,51193
FY13-14,Administrative Services,1610,Expense,,13637
FY13-14,Administrative Services,1610,Expense,,420
FY13-14,Administrative Services,1610,Expense,,3768
FY13-14,Administrative Services,1610,Expense,,4752
FY13-14,Administrative Services,1610,Expense,,6501
FY13-14,Administrative Services,1610,Expense,,200000
FY13-14,Administrative Services,1010,Expense,,342903
FY13-14,Administrative Services,1010,Expense,,2940
FY13-14,Administrative Services,1010,Expense,,94754
FY13-14,Administrative Services,1010,Expense,,119482
FY13-14,Administrative Services,1010,Expense,,163465
FY13-14,Administrative Services,1010,Expense,,6880
FY13-14,Administrative Services,1010,Expense,,70
FY13-14,Administrative Services,1010,Expense,,6980
FY13-14,Administrative Services,1010,Expense,,400
FY13-14,Administrative Services,1010,Expense,,290
FY13-14,Administrative Services,1010,Expense,,10000
FY13-14,Administrative Services,1010,Expense,,5280
FY13-14,Administrative Services,1010,Expense,,11000
FY13-14,Administrative Services,1010,Expense,,3130
FY13-14,Administrative Services,1010,Expense,,140
FY13-14,Administrative Services,1010,Expense,,5000
FY13-14,Administrative Services,1010,Expense,,5600
FY13-14,Administrative Services,1010,Expense,,1400
FY13-14,Administrative Services,1010,Expense,,9500
FY13-14,Administrative Services,1010,Expense,,3000
FY13-14,Administrative Services,1010,Expense,,1510
FY13-14,Administrative Services,1010,Expense,,5340
FY13-14,Administrative Services,1010,Expense,,1244188
FY13-14,Administrative Services,1010,Expense,,4300
FY13-14,Administrative Services,1010,Expense,,1500
FY13-14,Administrative Services,1010,Expense,,5000
FY13-14,Administrative Services,1010,Expense,,2600
FY13-14,Administrative Services,1010,Expense,,1000
FY13-14,Administrative Services,1010,Expense,,5000
FY13-14,Administrative Services,1010,Expense,,6100
FY13-14,Administrative Services,1010,Expense,,1300
FY13-14,Administrative Services,1010,Expense,,2500
FY13-14,Administrative Services,1010,Expense,,300000
FY13-14,Administrative Services,1010,Expense,,250000
FY13-14,Administrative Services,1010,Expense,,-1418476
FY13-14,Administrative Services,1610,Expense,,54636
FY13-14,Administrative Services,1610,Expense,,1260
FY13-14,Administrative Services,1610,Expense,,15097
FY13-14,Administrative Services,1610,Expense,,19037
FY13-14,Administrative Services,1610,Expense,,26045
FY13-14,Administrative Services,3100,Expense,,15000
FY13-14,Administrative Services,6587,Expense,,26634
FY13-14,Administrative Services,6587,Expense,,7360
FY13-14,Administrative Services,6587,Expense,,9280
FY13-14,Administrative Services,6587,Expense,,12697
FY13-14,Administrative Services,1010,Expense,,28924
FY13-14,Administrative Services,1010,Expense,,7992
FY13-14,Administrative Services,1010,Expense,,10078
FY13-14,Administrative Services,1010,Expense,,13788
FY13-14,Administrative Services,1010,Expense,,642634
FY13-14,Administrative Services,1010,Expense,,4200
FY13-14,Administrative Services,1010,Expense,,177573
FY13-14,Administrative Services,1010,Expense,,223917
FY13-14,Administrative Services,1010,Expense,,306347
FY13-14,Administrative Services,1010,Expense,,4000
FY13-14,Administrative Services,1010,Expense,,2000
FY13-14,Administrative Services,1010,Expense,,240
FY13-14,Administrative Services,1010,Expense,,6400
FY13-14,Administrative Services,1010,Expense,,6000
FY13-14,Administrative Services,1010,Expense,,3310
FY13-14,Administrative Services,1010,Expense,,4210
FY13-14,Administrative Services,1010,Expense,,500
FY13-14,Administrative Services,1010,Expense,,1400
FY13-14,Administrative Services,1010,Expense,,1500
FY13-14,Administrative Services,1010,Expense,,2500
FY13-14,Administrative Services,1010,Expense,,1000
FY13-14,Administrative Services,1010,Expense,,2900
FY13-14,Administrative Services,1010,Expense,,2000
FY13-14,Administrative Services,1010,Expense,,740
FY13-14,Administrative Services,1010,Expense,,1330
FY13-14,Administrative Services,1010,Expense,,-25000
FY13-14,Administrative Services,1610,Expense,,21297
FY13-14,Administrative Services,1610,Expense,,37586
FY13-14,Administrative Services,1610,Expense,,5885
FY13-14,Administrative Services,1610,Expense,,10386
FY13-14,Administrative Services,1610,Expense,,7421
FY13-14,Administrative Services,1610,Expense,,13096
FY13-14,Administrative Services,1610,Expense,,10153
FY13-14,Administrative Services,1610,Expense,,17917
FY13-14,Administrative Services,2415,Expense,,21297
FY13-14,Administrative Services,2415,Expense,,5885
FY13-14,Administrative Services,2415,Expense,,7421
FY13-14,Administrative Services,2415,Expense,,10153
FY13-14,Administrative Services,4200,Expense,,18130
FY13-14,Administrative Services,4200,Expense,,5010
FY13-14,Administrative Services,4200,Expense,,6317
FY13-14,Administrative Services,4200,Expense,,8643
FY13-14,Administrative Services,1010,Expense,,36165
FY13-14,Administrative Services,1010,Expense,,9993
FY13-14,Administrative Services,1010,Expense,,12601
FY13-14,Administrative Services,1010,Expense,,17240
FY13-14,Administrative Services,1010,Expense,,10
FY13-14,Administrative Services,7100,Expense,,205605
FY13-14,Administrative Services,7100,Expense,,43489
FY13-14,Administrative Services,7100,Expense,,1680
FY13-14,Administrative Services,7100,Expense,,56815
FY13-14,Administrative Services,7100,Expense,,12016
FY13-14,Administrative Services,7100,Expense,,71640
FY13-14,Administrative Services,7100,Expense,,15153
FY13-14,Administrative Services,7100,Expense,,98013
FY13-14,Administrative Services,7100,Expense,,20731
FY13-14,Administrative Services,7100,Expense,,3000
FY13-14,Administrative Services,7100,Expense,,2000
FY13-14,Administrative Services,7100,Expense,,800
FY13-14,Administrative Services,7100,Expense,,1800
FY13-14,Administrative Services,7100,Expense,,15000
FY13-14,Administrative Services,7100,Expense,,18000
FY13-14,Administrative Services,7100,Expense,,277677
FY13-14,Administrative Services,7100,Expense,,27568
FY13-14,Administrative Services,7100,Expense,,30000
FY13-14,Administrative Services,7100,Expense,,40000
FY13-14,Administrative Services,7100,Expense,,1864000
FY13-14,Administrative Services,7100,Expense,,8500
FY13-14,Administrative Services,7100,Expense,,12000
FY13-14,Administrative Services,7100,Expense,,25000
FY13-14,Administrative Services,7100,Expense,,9000
FY13-14,Administrative Services,7100,Expense,,1000
FY13-14,Administrative Services,7100,Expense,,10000
FY13-14,Administrative Services,7100,Expense,,2200
FY13-14,Administrative Services,7100,Expense,,415
FY13-14,Administrative Services,7100,Expense,,5000
FY13-14,Administrative Services,7120,Expense,,30647
FY13-14,Administrative Services,7120,Expense,,9867
FY13-14,Administrative Services,7120,Expense,,8469
FY13-14,Administrative Services,7120,Expense,,2727
FY13-14,Administrative Services,7120,Expense,,10679
FY13-14,Administrative Services,7120,Expense,,3438
FY13-14,Administrative Services,7120,Expense,,14610
FY13-14,Administrative Services,7120,Expense,,4704
FY13-14,Administrative Services,7120,Expense,,2000
FY13-14,Administrative Services,7120,Expense,,1000
FY13-14,Administrative Services,7120,Expense,,500
FY13-14,Administrative Services,7120,Expense,,500
FY13-14,Administrative Services,7120,Expense,,3500
FY13-14,Administrative Services,7120,Expense,,4400
FY13-14,Administrative Services,7120,Expense,,22145
FY13-14,Administrative Services,7120,Expense,,21000
FY13-14,Administrative Services,7120,Expense,,2000
FY13-14,Administrative Services,7120,Expense,,7000
FY13-14,Administrative Services,7120,Expense,,15000
FY13-14,Administrative Services,7120,Expense,,2000
FY13-14,Administrative Services,7120,Expense,,15000
FY13-14,Administrative Services,7120,Expense,,721
FY13-14,Administrative Services,7120,Expense,,4000
FY13-14,Administrative Services,1010,Expense,,529988
FY13-14,Administrative Services,1010,Expense,,38178
FY13-14,Administrative Services,1010,Expense,,13480
FY13-14,Administrative Services,1010,Expense,,16341
FY13-14,Administrative Services,1010,Expense,,2436
FY13-14,Administrative Services,1010,Expense,,146453
FY13-14,Administrative Services,1010,Expense,,10550
FY13-14,Administrative Services,1010,Expense,,184671
FY13-14,Administrative Services,1010,Expense,,13303
FY13-14,Administrative Services,1010,Expense,,252651
FY13-14,Administrative Services,1010,Expense,,18200
FY13-14,Administrative Services,1010,Expense,,4500
FY13-14,Administrative Services,1010,Expense,,12800
FY13-14,Administrative Services,1010,Expense,,36220
FY13-14,Administrative Services,1010,Expense,,4650
FY13-14,Administrative Services,1010,Expense,,61850
FY13-14,Administrative Services,1010,Expense,,45200
FY13-14,Administrative Services,1010,Expense,,708580
FY13-14,Administrative Services,1010,Expense,,2000
FY13-14,Administrative Services,1010,Expense,,28280
FY13-14,Administrative Services,1010,Expense,,22960
FY13-14,Administrative Services,1010,Expense,,150000
FY13-14,Administrative Services,1700,Expense,,72869
FY13-14,Administrative Services,1700,Expense,,4650
FY13-14,Administrative Services,1700,Expense,,20135
FY13-14,Administrative Services,1700,Expense,,25390
FY13-14,Administrative Services,1700,Expense,,34737
FY13-14,Administrative Services,1010,Expense,,302210
FY13-14,Administrative Services,1010,Expense,,83509
FY13-14,Administrative Services,1010,Expense,,105304
FY13-14,Administrative Services,1010,Expense,,144063
FY13-14,Administrative Services,1010,Expense,,400
FY13-14,Administrative Services,1010,Expense,,400
FY13-14,Administrative Services,1010,Expense,,768
FY13-14,Administrative Services,1010,Expense,,600
FY13-14,Administrative Services,1010,Expense,,1000
FY13-14,Administrative Services,1010,Expense,,141604
FY13-14,Administrative Services,1010,Expense,,335820
FY13-14,Administrative Services,1010,Expense,,21909
FY13-14,Administrative Services,1010,Expense,,37067
FY13-14,Administrative Services,1010,Expense,,6200
FY13-14,Administrative Services,1010,Expense,,711407
FY13-14,Administrative Services,1010,Expense,,35155
FY13-14,Administrative Services,1750,Expense,,5100
FY13-14,Administrative Services,1750,Expense,,22200
FY13-14,Administrative Services,1750,Expense,,4000
FY13-14,Administrative Services,1750,Expense,,50800
FY13-14,Administrative Services,1750,Expense,,1700000
FY13-14,Administrative Services,1750,Expense,,370250
FY13-14,Fire Department,1010,Expense,,130160
FY13-14,Fire Department,1010,Expense,,146754
FY13-14,Fire Department,1010,Expense,,572
FY13-14,Fire Department,1010,Expense,,9710
FY13-14,Fire Department,1010,Expense,,35967
FY13-14,Fire Department,1010,Expense,,47442
FY13-14,Fire Department,1010,Expense,,45353
FY13-14,Fire Department,1010,Expense,,59012
FY13-14,Fire Department,1010,Expense,,62049
FY13-14,Fire Department,1010,Expense,,74901
FY13-14,Fire Department,1010,Expense,,-140
FY13-14,Fire Department,1010,Expense,,17870
FY13-14,Fire Department,1010,Expense,,10000
FY13-14,Fire Department,1010,Expense,,20
FY13-14,Fire Department,1010,Expense,,100
FY13-14,Fire Department,1010,Expense,,12000
FY13-14,Fire Department,1010,Expense,,3700
FY13-14,Fire Department,1010,Expense,,1000
FY13-14,Fire Department,1010,Expense,,26440
FY13-14,Fire Department,1010,Expense,,280
FY13-14,Fire Department,1010,Expense,,1300
FY13-14,Fire Department,1010,Expense,,500
FY13-14,Fire Department,1010,Expense,,18600
FY13-14,Fire Department,1010,Expense,,26000
FY13-14,Fire Department,1010,Expense,,100
FY13-14,Fire Department,1010,Expense,,2000
FY13-14,Fire Department,1010,Expense,,470
FY13-14,Fire Department,1010,Expense,,1000
FY13-14,Fire Department,1010,Expense,,2700
FY13-14,Fire Department,1010,Expense,,800
FY13-14,Fire Department,1010,Expense,,2250
FY13-14,Fire Department,1010,Expense,,1250
FY13-14,Fire Department,1010,Expense,,2000
FY13-14,Fire Department,1010,Expense,,5000
FY13-14,Fire Department,1010,Expense,,80
FY13-14,Fire Department,1010,Expense,,560
FY13-14,Fire Department,1010,Expense,,511119
FY13-14,Fire Department,1010,Expense,,10620
FY13-14,Fire Department,1010,Expense,,4520
FY13-14,Fire Department,1010,Expense,,51739
FY13-14,Fire Department,1010,Expense,,141235
FY13-14,Fire Department,1010,Expense,,178095
FY13-14,Fire Department,1010,Expense,,243654
FY13-14,Fire Department,1010,Expense,,1800
FY13-14,Fire Department,1010,Expense,,250
FY13-14,Fire Department,1010,Expense,,9600
FY13-14,Fire Department,1010,Expense,,250
FY13-14,Fire Department,1010,Expense,,29150
FY13-14,Fire Department,1010,Expense,,274910
FY13-14,Fire Department,1010,Expense,,18800
FY13-14,Fire Department,1010,Expense,,2500
FY13-14,Fire Department,1010,Expense,,-190
FY13-14,Fire Department,1010,Expense,,10500
FY13-14,Fire Department,1010,Expense,,200
FY13-14,Fire Department,1010,Expense,,4770
FY13-14,Fire Department,1010,Expense,,50
FY13-14,Fire Department,1010,Expense,,1000
FY13-14,Fire Department,1010,Expense,,680
FY13-14,Fire Department,1010,Expense,,80
FY13-14,Fire Department,1010,Expense,,530
FY13-14,Fire Department,1010,Expense,,1000
FY13-14,Fire Department,1010,Expense,,750
FY13-14,Fire Department,1010,Expense,,764838
FY13-14,Fire Department,1010,Expense,,156152
FY13-14,Fire Department,1010,Expense,,15240
FY13-14,Fire Department,1010,Expense,,48170
FY13-14,Fire Department,1010,Expense,,13618
FY13-14,Fire Department,1010,Expense,,43149
FY13-14,Fire Department,1010,Expense,,54409
FY13-14,Fire Department,1010,Expense,,74439
FY13-14,Fire Department,2412,Expense,,517846
FY13-14,Fire Department,2412,Expense,,27850
FY13-14,Fire Department,2412,Expense,,251910
FY13-14,Fire Department,2412,Expense,,59781
FY13-14,Fire Department,2412,Expense,,6233
FY13-14,Fire Department,2412,Expense,,143096
FY13-14,Fire Department,2412,Expense,,180438
FY13-14,Fire Department,2412,Expense,,246862
FY13-14,Fire Department,2412,Expense,,72701
FY13-14,Fire Department,2412,Expense,,31855
FY13-14,Fire Department,2412,Expense,,50000
FY13-14,Fire Department,2412,Expense,,18179
FY13-14,Fire Department,2412,Expense,,1220
FY13-14,Fire Department,2412,Expense,,105076
FY13-14,Fire Department,2412,Expense,,1618
FY13-14,Fire Department,3100,Expense,,53349
FY13-14,Fire Department,3100,Expense,,3240
FY13-14,Fire Department,3100,Expense,,17530
FY13-14,Fire Department,3100,Expense,,6809
FY13-14,Fire Department,3100,Expense,,14742
FY13-14,Fire Department,3100,Expense,,18589
FY13-14,Fire Department,3100,Expense,,25432
FY13-14,Fire Department,3100,Expense,,9926
FY13-14,Fire Department,1010,Expense,,192438
FY13-14,Fire Department,1010,Expense,,132785
FY13-14,Fire Department,1010,Expense,,1790
FY13-14,Fire Department,1010,Expense,,572
FY13-14,Fire Department,1010,Expense,,8786
FY13-14,Fire Department,1010,Expense,,53176
FY13-14,Fire Department,1010,Expense,,42926
FY13-14,Fire Department,1010,Expense,,67053
FY13-14,Fire Department,1010,Expense,,53411
FY13-14,Fire Department,1010,Expense,,91736
FY13-14,Fire Department,1010,Expense,,67772
FY13-14,Fire Department,1010,Expense,,14370
FY13-14,Fire Department,1010,Expense,,2190
FY13-14,Fire Department,1010,Expense,,1500
FY13-14,Fire Department,1010,Expense,,150
FY13-14,Fire Department,1010,Expense,,1100
FY13-14,Fire Department,1010,Expense,,170
FY13-14,Fire Department,1010,Expense,,33040
FY13-14,Fire Department,1010,Expense,,2500
FY13-14,Fire Department,1010,Expense,,22610
FY13-14,Fire Department,1010,Expense,,-270
FY13-14,Fire Department,1010,Expense,,2750
FY13-14,Fire Department,1010,Expense,,1300
FY13-14,Fire Department,1010,Expense,,4560
FY13-14,Fire Department,1010,Expense,,2300
FY13-14,Fire Department,1010,Expense,,15960
FY13-14,Fire Department,1010,Expense,,500
FY13-14,Fire Department,1010,Expense,,1000
FY13-14,Fire Department,1010,Expense,,11840
FY13-14,Fire Department,1010,Expense,,6370
FY13-14,Fire Department,1010,Expense,,2000
FY13-14,Fire Department,1010,Expense,,300
FY13-14,Fire Department,1010,Expense,,750
FY13-14,Fire Department,1010,Expense,,230
FY13-14,Fire Department,1010,Expense,,100
FY13-14,Fire Department,1010,Expense,,3250
FY13-14,Fire Department,1010,Expense,,230
FY13-14,Fire Department,1010,Expense,,190
FY13-14,Fire Department,1740,Expense,,88611
FY13-14,Fire Department,1740,Expense,,24486
FY13-14,Fire Department,1740,Expense,,30875
FY13-14,Fire Department,1740,Expense,,42242
FY13-14,Fire Department,1740,Expense,,12633
FY13-14,Fire Department,2321,Expense,,59973
FY13-14,Fire Department,2321,Expense,,10000
FY13-14,Fire Department,2321,Expense,,10000
FY13-14,Fire Department,2321,Expense,,16572
FY13-14,Fire Department,2321,Expense,,20897
FY13-14,Fire Department,2321,Expense,,28589
FY13-14,Fire Department,2321,Expense,,22090
FY13-14,Fire Department,2321,Expense,,850
FY13-14,Fire Department,2321,Expense,,500
FY13-14,Fire Department,2321,Expense,,3890
FY13-14,Fire Department,2321,Expense,,3000
FY13-14,Fire Department,2321,Expense,,21000
FY13-14,Fire Department,2321,Expense,,260410
FY13-14,Fire Department,2321,Expense,,22145
FY13-14,Fire Department,2321,Expense,,18646
FY13-14,Fire Department,2321,Expense,,15000
FY13-14,Fire Department,2321,Expense,,15000
FY13-14,Fire Department,2321,Expense,,35000
FY13-14,Fire Department,2321,Expense,,1553646
FY13-14,Fire Department,2321,Expense,,110
FY13-14,Fire Department,2321,Expense,,536
FY13-14,Fire Department,2321,Expense,,291
FY13-14,Fire Department,2321,Expense,,9667
FY13-14,Fire Department,3100,Expense,,220
FY13-14,Fire Department,1720,Expense,,430
FY13-14,Fire Department,1720,Expense,,1060
FY13-14,Fire Department,1720,Expense,,500
FY13-14,Fire Department,1720,Expense,,500
FY13-14,Fire Department,1720,Expense,,29170
FY13-14,Fire Department,1720,Expense,,22340
FY13-14,Fire Department,1720,Expense,,6000
FY13-14,Fire Department,1720,Expense,,500
FY13-14,Fire Department,1720,Expense,,8040
FY13-14,Fire Department,1720,Expense,,40
FY13-14,Fire Department,1720,Expense,,3090
FY13-14,Fire Department,1720,Expense,,400
FY13-14,Fire Department,1720,Expense,,700
FY13-14,Fire Department,1720,Expense,,100
FY13-14,Fire Department,1720,Expense,,6250
FY13-14,Fire Department,1740,Expense,,269408
FY13-14,Fire Department,1740,Expense,,74445
FY13-14,Fire Department,1740,Expense,,93872
FY13-14,Fire Department,1740,Expense,,128429
FY13-14,Fire Department,1740,Expense,,32400
FY13-14,Fire Department,1740,Expense,,1500
FY13-14,Fire Department,1740,Expense,,2140
FY13-14,Fire Department,1740,Expense,,36590
FY13-14,Fire Department,1740,Expense,,17670
FY13-14,Fire Department,1740,Expense,,500
FY13-14,Fire Department,1740,Expense,,1500
FY13-14,Fire Department,1740,Expense,,2000
FY13-14,Fire Department,1740,Expense,,500
FY13-14,Fire Department,1740,Expense,,44333
FY13-14,Fire Department,1740,Expense,,1300
FY13-14,Fire Department,1740,Expense,,1000
FY13-14,Fire Department,1740,Expense,,2800
FY13-14,Fire Department,1740,Expense,,1000
FY13-14,Fire Department,1740,Expense,,1300
FY13-14,Fire Department,1740,Expense,,850
FY13-14,Fire Department,1740,Expense,,560
FY13-14,Fire Department,1740,Expense,,3150
FY13-14,Fire Department,1740,Expense,,1150
FY13-14,Fire Department,1740,Expense,,1041
FY13-14,Fire Department,1740,Expense,,38408
FY13-14,Fire Department,3100,Expense,,59519
FY13-14,Fire Department,3100,Expense,,16447
FY13-14,Fire Department,3100,Expense,,20739
FY13-14,Fire Department,3100,Expense,,28373
FY13-14,Fire Department,3100,Expense,,8485
FY13-14,Fire Department,1010,Expense,,362791
FY13-14,Fire Department,1010,Expense,,55650
FY13-14,Fire Department,1010,Expense,,100247
FY13-14,Fire Department,1010,Expense,,126409
FY13-14,Fire Department,1010,Expense,,172943
FY13-14,Fire Department,1010,Expense,,2440
FY13-14,Fire Department,1010,Expense,,32730
FY13-14,Fire Department,1010,Expense,,32970
FY13-14,Fire Department,1010,Expense,,2600
FY13-14,Fire Department,1010,Expense,,239373
FY13-14,Fire Department,1010,Expense,,1716
FY13-14,Fire Department,1010,Expense,,7317
FY13-14,Fire Department,1010,Expense,,19005
FY13-14,Fire Department,1010,Expense,,77385
FY13-14,Fire Department,1010,Expense,,99507
FY13-14,Fire Department,1010,Expense,,122172
FY13-14,Fire Department,1010,Expense,,131418
FY13-14,Fire Department,1010,Expense,,36314
FY13-14,Fire Department,1010,Expense,,45790
FY13-14,Fire Department,1010,Expense,,62648
FY13-14,Fire Department,1010,Expense,,160892
FY13-14,Fire Department,1010,Expense,,76917
FY13-14,Fire Department,1010,Expense,,800
FY13-14,Fire Department,1010,Expense,,3489
FY13-14,Fire Department,1010,Expense,,44458
FY13-14,Fire Department,1010,Expense,,56060
FY13-14,Fire Department,1010,Expense,,82659
FY13-14,Fire Department,1010,Expense,,2884
FY13-14,Fire Department,1010,Expense,,6400
FY13-14,Fire Department,1010,Expense,,1000
FY13-14,Fire Department,1010,Expense,,106550
FY13-14,Fire Department,1010,Expense,,213000
FY13-14,Fire Department,1710,Expense,,48870
FY13-14,Fire Department,1720,Expense,,7510
FY13-14,Fire Department,1720,Expense,,110
FY13-14,Fire Department,2330,Expense,,3000
FY13-14,Fire Department,2330,Expense,,3200
FY13-14,Fire Department,1010,Expense,,244354
FY13-14,Fire Department,1010,Expense,,35277379
FY13-14,Fire Department,1010,Expense,,87608
FY13-14,Fire Department,1010,Expense,,270556
FY13-14,Fire Department,1010,Expense,,572
FY13-14,Fire Department,1010,Expense,,12956
FY13-14,Fire Department,1010,Expense,,4142
FY13-14,Fire Department,1010,Expense,,228242
FY13-14,Fire Department,1010,Expense,,1282712
FY13-14,Fire Department,1010,Expense,,2678
FY13-14,Fire Department,1010,Expense,,2806292
FY13-14,Fire Department,1010,Expense,,6956
FY13-14,Fire Department,1010,Expense,,1950
FY13-14,Fire Department,1010,Expense,,12129
FY13-14,Fire Department,1010,Expense,,11469166
FY13-14,Fire Department,1010,Expense,,28322
FY13-14,Fire Department,1010,Expense,,15295
FY13-14,Fire Department,1010,Expense,,14878239
FY13-14,Fire Department,1010,Expense,,36403
FY13-14,Fire Department,1010,Expense,,20925
FY13-14,Fire Department,1010,Expense,,18107381
FY13-14,Fire Department,1010,Expense,,44714
FY13-14,Fire Department,1010,Expense,,-3900000
FY13-14,Fire Department,1010,Expense,,-4900000
FY13-14,Fire Department,1010,Expense,,12710
FY13-14,Fire Department,1010,Expense,,5000
FY13-14,Fire Department,1010,Expense,,-270
FY13-14,Fire Department,1010,Expense,,13130
FY13-14,Fire Department,1010,Expense,,25000
FY13-14,Fire Department,1010,Expense,,-160
FY13-14,Fire Department,1010,Expense,,12000
FY13-14,Fire Department,1010,Expense,,2000
FY13-14,Fire Department,1010,Expense,,4500
FY13-14,Fire Department,1010,Expense,,7000
FY13-14,Fire Department,1010,Expense,,2274566
FY13-14,Fire Department,1010,Expense,,60660
FY13-14,Fire Department,1010,Expense,,10269
FY13-14,Fire Department,1010,Expense,,102050
FY13-14,Fire Department,1100,Expense,,943902
FY13-14,Fire Department,2251,Expense,,4000000
FY13-14,Fire Department,1010,Expense,,44400
FY13-14,Fire Department,1010,Expense,,12269
FY13-14,Fire Department,1010,Expense,,15471
FY13-14,Fire Department,1010,Expense,,21166
FY13-14,Fire Department,1010,Expense,,5980
FY13-14,Fire Department,1010,Expense,,6000
FY13-14,Fire Department,1010,Expense,,-530
FY13-14,Fire Department,1010,Expense,,11810
FY13-14,Fire Department,1010,Expense,,2000
FY13-14,Fire Department,1010,Expense,,2000
FY13-14,Fire Department,2250,Expense,,6408
FY13-14,Fire Department,2250,Expense,,1771
FY13-14,Fire Department,2250,Expense,,2233
FY13-14,Fire Department,2250,Expense,,3055
FY13-14,Fire Department,2250,Expense,,914
FY13-14,Fire Department,1010,Expense,,214553
FY13-14,Fire Department,1010,Expense,,9000
FY13-14,Fire Department,1010,Expense,,59285
FY13-14,Fire Department,1010,Expense,,74758
FY13-14,Fire Department,1010,Expense,,102279
FY13-14,Fire Department,1740,Expense,,5550
FY13-14,Fire Department,1740,Expense,,1534
FY13-14,Fire Department,1740,Expense,,1934
FY13-14,Fire Department,1740,Expense,,2646
FY13-14,Fire Department,1740,Expense,,791
FY13-14,Fire Department,2412,Expense,,6408
FY13-14,Fire Department,2412,Expense,,1771
FY13-14,Fire Department,2412,Expense,,2233
FY13-14,Fire Department,2412,Expense,,3055
FY13-14,Fire Department,2412,Expense,,914
FY13-14,Fire Department,2124,Expense,,5550
FY13-14,Fire Department,2124,Expense,,1534
FY13-14,Fire Department,2124,Expense,,1934
FY13-14,Fire Department,2124,Expense,,2646
FY13-14,Fire Department,2124,Expense,,791
FY13-14,Fire Department,1010,Expense,,51807
FY13-14,Fire Department,1010,Expense,,14316
FY13-14,Fire Department,1010,Expense,,18052
FY13-14,Fire Department,1010,Expense,,24697
FY13-14,Fire Department,1010,Expense,,42595
FY13-14,Fire Department,1010,Expense,,11770
FY13-14,Fire Department,1010,Expense,,14842
FY13-14,Fire Department,1010,Expense,,20305
FY13-14,Fire Department,1010,Expense,,85113
FY13-14,Fire Department,1010,Expense,,23519
FY13-14,Fire Department,1010,Expense,,29657
FY13-14,Fire Department,1010,Expense,,40574
FY13-14,Fire Department,1010,Expense,,8100
FY13-14,Fire Department,1010,Expense,,3600
FY13-14,Fire Department,1010,Expense,,1510
FY13-14,Fire Department,1010,Expense,,1000
FY13-14,Fire Department,1010,Expense,,1380
FY13-14,Fire Department,1010,Expense,,540
FY13-14,Fire Department,1010,Expense,,2200
