"Account.Description","LOBName","ProgramName","OperatingUnitDescription","FundDescription","Total"
"ELECTRICITY","UTILITIES SOLID WASTE LOB","UTILITIES SOLID WASTE","SOLID WASTE CASH ACCOUNT","SOLID WASTE MANAGEMENT",15000
"ELECTRICITY","UTILITIES SOLID WASTE LOB","UTILITIES SW QUAL CONTROL SUPP","SOLID WASTE CASH ACCOUNT","SOLID WASTE MANAGEMENT",35000
"ELECTRICITY","UTILITIES WASTEWATER QUAL LOB","UTILITIES LIFT STATION","WASTEWATER CITY OPERATIONS","WATER UTILITIES",110000
"ELECTRICITY","UTILITIES WASTEWATER QUAL LOB","UTILITIES WASTEWATER TREATMENT","WASTEWATER CITY OPERATIONS","WATER UTILITIES",22000
"ELECTRICITY","UTILITIES WATER QUALITY LOB","UTILITIES DRAPER TREATMENT","WATER CITY OPERATIONS","WATER UTILITIES",1297774
"ELECTRICITY","UTILITIES WATER QUALITY LOB","UTILITIES HEFNER TREATMENT","WATER CITY OPERATIONS","WATER UTILITIES",1668828
"ELECTRICITY","UTILITIES WATER QUALITY LOB","UTILITIES OVERHOLSER TREATMENT","WATER CITY OPERATIONS","WATER UTILITIES",73207
"ELECTRICITY","UTILITIES WATER QUALITY LOB","UTILITIES RAW WATER","WATER CITY OPERATIONS","WATER UTILITIES",7180000
"ELECTRICITY","UTILITIES WATER QUALITY LOB","UTILITIES TRUST PROPERTY MAINT","WATER CITY OPERATIONS","WATER UTILITIES",17500
"EMPLOYEE BUS PASS","Risk Management","WORKERS COMP AND SAFETY","RISK MANAGEMENT","RISK MANAGEMENT",250
"EMPLOYEE INCENTIVE","Fire Administration","FIRE BUSINESS SERVICES","FIRE SALES TAX-RSTR","FIRE",12598
"EMPLOYEE INCENTIVE","Fire Administration","FIRE BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",6875
"EMPLOYEE INCENTIVE","Fire Administration","FIRE EXECUTIVE LEADERSHIP","FIRE SALES TAX-RSTR","FIRE",3812
"EMPLOYEE INCENTIVE","Fire Administration","FIRE EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",29377
"EMPLOYEE INCENTIVE","Fire Operations","EMERGENCY MEDICAL SERVICES","FIRE SALES TAX-RSTR","FIRE",213506
"EMPLOYEE INCENTIVE","Fire Operations","EMERGENCY MEDICAL SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",898907
"EMPLOYEE INCENTIVE","Fire Operations","FIRE SUPRESSION OPERATIONS","FIRE SALES TAX-RSTR","FIRE",40181
"EMPLOYEE INCENTIVE","Fire Operations","FIRE SUPRESSION OPERATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",137287
"EMPLOYEE INCENTIVE","Fire Operations","OPERATIONS TRAINING","FIRE SALES TAX-RSTR","FIRE",89234
"EMPLOYEE INCENTIVE","Fire Operations","OPERATIONS TRAINING","GENERAL OPERATIONS-UASN","GENERAL FUND",280249
"EMPLOYEE INCENTIVE","Fire Prevention","FIRE INVESTIGATIONS","FIRE SALES TAX-RSTR","FIRE",240
"EMPLOYEE INCENTIVE","Fire Prevention","FIRE INVESTIGATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",9200
"EMPLOYEE INCENTIVE","Fire Prevention","PREVENTION INSPECTION AND CODE","FIRE SALES TAX-RSTR","FIRE",1800
"EMPLOYEE INCENTIVE","Fire Prevention","PREVENTION INSPECTION AND CODE","GENERAL OPERATIONS-UASN","GENERAL FUND",9641
"EMPLOYEE INCENTIVE","Fire Prevention","PUBLIC SAFETY EDUCATION","FIRE SALES TAX-RSTR","FIRE",5589
"EMPLOYEE INCENTIVE","Fire Prevention","PUBLIC SAFETY EDUCATION","GENERAL OPERATIONS-UASN","GENERAL FUND",264
"EMPLOYEE INCENTIVE","Police Chiefs Office","POLICE BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",15028
"EMPLOYEE INCENTIVE","Police Chiefs Office","POLICE EMERGENCY MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",4260
"EMPLOYEE INCENTIVE","Police Chiefs Office","POLICE EXEC LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",28950
"EMPLOYEE INCENTIVE","Police Chiefs Office","POLICE HUMAN RESOURCES","GENERAL OPERATIONS-UASN","GENERAL FUND",5850
"EMPLOYEE INCENTIVE","Police Chiefs Office","POLICE PROFESSIONAL STANDARDS","GENERAL OPERATIONS-UASN","GENERAL FUND",21540
"EMPLOYEE INCENTIVE","Police Chiefs Office","POLICE PUBLIC INFORMATION","GENERAL OPERATIONS-UASN","GENERAL FUND",7330
"EMPLOYEE INCENTIVE","Police Investigations","POLICE INVESTIGATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",286267
"EMPLOYEE INCENTIVE","Police Investigations","POLICE INVESTIGATIONS SUPPORT","GENERAL OPERATIONS-UASN","GENERAL FUND",53232
"EMPLOYEE INCENTIVE","Police Investigations","POLICE SPECIAL INVESTIGATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",145807
"EMPLOYEE INCENTIVE","Police Investigations","POLICE SPECIAL INVESTIGATIONS","POLICE SALES TAX-RSTR","POLICE",1800
"EMPLOYEE INCENTIVE","Police Operational","POLICE CRIME PREVENT AND AWARE","GENERAL OPERATIONS-UASN","GENERAL FUND",11568
"EMPLOYEE INCENTIVE","Police Operational","POLICE PATROL","GENERAL OPERATIONS-UASN","GENERAL FUND",372553
"EMPLOYEE INCENTIVE","Police Operational","POLICE PATROL","POLICE SALES TAX-RSTR","POLICE",171381
"EMPLOYEE INCENTIVE","Police Operational","POLICE TRAFFIC SAFETY","GENERAL OPERATIONS-UASN","GENERAL FUND",81343
"EMPLOYEE INCENTIVE","Police Operational","POLICE TRAFFIC SAFETY","POLICE SALES TAX-RSTR","POLICE",18735
"EMPLOYEE INCENTIVE","Police Operational","POLICE YOUTH SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",40361
"EMPLOYEE INCENTIVE","Police Public Safety Support","POLICE INMATE PROCESSING","GENERAL OPERATIONS-UASN","GENERAL FUND",5220
"EMPLOYEE INCENTIVE","Police Public Safety Support","POLICE PERMIT SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",1425
"EMPLOYEE INCENTIVE","Police Public Safety Support","POLICE RECORDS MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",14250
"EMPLOYEE INCENTIVE","Police Public Safety Support","POLICE TRAINING","GENERAL OPERATIONS-UASN","GENERAL FUND",18399
"EMPLOYEE INCENTIVE","Support Services","FIRE DISPATCH","FIRE SALES TAX-RSTR","FIRE",1304
"EMPLOYEE INCENTIVE","Support Services","FIRE DISPATCH","GENERAL OPERATIONS-UASN","GENERAL FUND",24550
"EMPLOYEE INCENTIVE","Support Services","FIRE MAINTENANCE SERVICES","FIRE SALES TAX-RSTR","FIRE",840
"EMPLOYEE INCENTIVE","Support Services","FIRE MAINTENANCE SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",138
"EMPLOYEE PARKING","Administration","EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",6713
"EMPLOYEE PARKING","Benefits","HR HEALTH AND WELFARE BENEFITS","GENERAL OPERATIONS-UASN","GENERAL FUND",3326
"EMPLOYEE PARKING","City Auditors Office","AUDITOR BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",3420
"EMPLOYEE PARKING","City Clerks Office","CLERK BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",290
"EMPLOYEE PARKING","City Clerks Office","CLERK EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",29
"EMPLOYEE PARKING","City Manager MAPS Office","MAPS3","MAPS3 USE TAX-CMTD","MAPS3 USE TAX",3500
"EMPLOYEE PARKING","City Manager MAPS Office","OCMAPS SCHOOL CONSTRUCTION","CITY/SCHOOLS SALES TAX-RSTR","CITY/SCHOOLS SALES TAX",2550
"EMPLOYEE PARKING","City Manager MAPS Office","OCMAPS SUBURBAN SCHOOLS","CITY/SCHOOLS SALES TAX-RSTR","CITY/SCHOOLS SALES TAX",450
"EMPLOYEE PARKING","Code Enforcement","CODE INSPECTIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",10384
"EMPLOYEE PARKING","Code Enforcement","NUISANCE ABATEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",10384
"EMPLOYEE PARKING","COMMUNITY ENHANCEMENT","Tourism Development","GENERAL OPERATIONS-UASN","GENERAL FUND",443
"EMPLOYEE PARKING","Council Support","CITY COUNCIL","GENERAL OPERATIONS-UASN","GENERAL FUND",700
"EMPLOYEE PARKING","Criminal Justice","MUN COUN PROSECUTION","JUV JUSTICE-RSTR","GENERAL FUND",644
"EMPLOYEE PARKING","Current Planning","CODE ADMINISTRATION","GENERAL OPERATIONS-UASN","GENERAL FUND",9108
"EMPLOYEE PARKING","Development Center","CONSTRUCTION INSPECTIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",21500
"EMPLOYEE PARKING","Development Center","PERMITS","GENERAL OPERATIONS-UASN","GENERAL FUND",10750
"EMPLOYEE PARKING","Development Center","PLAN REVIEW","GENERAL OPERATIONS-UASN","GENERAL FUND",10750
"EMPLOYEE PARKING","Drainage Administration","ENVIRONMENTAL","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",3201
"EMPLOYEE PARKING","Drainage Administration","STRMWTR CONSTR/INDUSTR PERMIT","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",12804
"EMPLOYEE PARKING","Field Services","CONSTR INSPECTION/QUALITY CTRL","GENERAL OPERATIONS-UASN","GENERAL FUND",723
"EMPLOYEE PARKING","Finance Administration","FINANCE EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",49830
"EMPLOYEE PARKING","General Services Bldg Mgmt","GEN SVCS BUILDING REPAIR MAINT","GENERAL OPERATIONS-UASN","GENERAL FUND",3420
"EMPLOYEE PARKING","Information Technology Admin","IT BUSINESS SERVICES","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",2380
"EMPLOYEE PARKING","Labor Relations/Training","HR LABOR RELATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",1521
"EMPLOYEE PARKING","Labor Relations/Training","HR POLICY COMPLIANCE","GENERAL OPERATIONS-UASN","GENERAL FUND",902
"EMPLOYEE PARKING","Municipal Counselor Admin","MUN COUN BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",21797
"EMPLOYEE PARKING","Non-Departmental - Operating","NON-DEPARTMENTAL - OPERATING","GENERAL OPERATIONS-UASN","GENERAL FUND",170817
"EMPLOYEE PARKING","Official City Records","CLERK AGENDA MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",606
"EMPLOYEE PARKING","Official City Records","CLERK BIDDING","GENERAL OPERATIONS-UASN","GENERAL FUND",491
"EMPLOYEE PARKING","Official City Records","CLERK INFORMATION","GENERAL OPERATIONS-UASN","GENERAL FUND",1040
"EMPLOYEE PARKING","Official City Records","CLERK RECORDS MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",434
"EMPLOYEE PARKING","Parks Administration","PARKS BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",19517
"EMPLOYEE PARKING","Parks Horticulture & Gardens","CANAL/FIELD HORTICULTURE","GENERAL OPERATIONS-UASN","GENERAL FUND",1140
"EMPLOYEE PARKING","Parks Horticulture & Gardens","MARTIN NATURE PARK","GENERAL OPERATIONS-UASN","GENERAL FUND",500
"EMPLOYEE PARKING","Parks Horticulture & Gardens","WILL ROGERS GARDENS","GENERAL OPERATIONS-UASN","GENERAL FUND",371
"EMPLOYEE PARKING","Parks Recreation","AQUATICS","GENERAL OPERATIONS-UASN","GENERAL FUND",2462
"EMPLOYEE PARKING","Parks Recreation","ATHLETICS","GENERAL OPERATIONS-UASN","GENERAL FUND",2668
"EMPLOYEE PARKING","Parks Recreation","GENERAL RECREATION","GENERAL OPERATIONS-UASN","GENERAL FUND",6298
"EMPLOYEE PARKING","Parks Recreation","SENIORS","GENERAL OPERATIONS-UASN","GENERAL FUND",475
"EMPLOYEE PARKING","Parks Recreation","SPECIAL EVENTS","GENERAL OPERATIONS-UASN","GENERAL FUND",158
"EMPLOYEE PARKING","Personnel Administration","HR EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",1032
"EMPLOYEE PARKING","Personnel Operations Division","HR CLASS AND COMPENSATION","GENERAL OPERATIONS-UASN","GENERAL FUND",1237
"EMPLOYEE PARKING","Personnel Operations Division","HR EMPLOYMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",3248
"EMPLOYEE PARKING","Personnel Operations Division","HR HRIS","GENERAL OPERATIONS-UASN","GENERAL FUND",2140
"EMPLOYEE PARKING","Planning Admin","PLANNING EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",10803
"EMPLOYEE PARKING","Policy & Executive Leadership","CITY MANAGERS OFFICE","GENERAL OPERATIONS-UASN","GENERAL FUND",2090
"EMPLOYEE PARKING","Policy & Executive Leadership","CM Office of Sustainability","GENERAL OPERATIONS-UASN","GENERAL FUND",2052
"EMPLOYEE PARKING","Public Information & Marketing","CM PRINT SHOP","PRINT SHOP","PRINT SHOP",2639
"EMPLOYEE PARKING","Public Information & Marketing","PUBLIC INFORMATION & MARKETING","GENERAL OPERATIONS-UASN","GENERAL FUND",6400
"EMPLOYEE PARKING","Public Safety Support LOB","PUBLIC SAFETY APPLICATIONS SUP","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",2380
"EMPLOYEE PARKING","Public Works Administration","PUB WORKS EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",48144
"EMPLOYEE PARKING","Risk Management","WORKERS COMP AND SAFETY","RISK MANAGEMENT","RISK MANAGEMENT",5245
"EMPLOYEE PARKING","TECHNOLOGY APP SUPPORT","IT-DEPARTMENTAL SYSTEMS","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",2380
"EMPLOYEE PARKING","TECHNOLOGY APP SUPPORT","IT-ENTERPRISE BUSINESS APPS","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",9521
"EMPLOYEE PARKING","TECHNOLOGY APP SUPPORT","IT-GIS","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",4761
"EMPLOYEE PARKING","Technology Enhancements","IT-Development Services","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",4761
"EMPLOYEE PARKING","Technology Enhancements","IT-Project Management","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",4761
"EMPLOYEE PARKING","Technology Infrastructure","Configuration Mgmt Team","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",4761
"EMPLOYEE PARKING","Technology Infrastructure","IT-NETWORK","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",4761
"EMPLOYEE PARKING","Technology Infrastructure","IT-SECURITY","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",2380
"EMPLOYEE PARKING","Technology Infrastructure","IT-SERVERS","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",4761
"EMPLOYEE PARKING","UTILITIES ADMIN LOB","UTILITIES BUSINESS SERVICES","WASTEWATER CITY OPERATIONS","WATER UTILITIES",49042
"EMPLOYEE PARKING","UTILITIES ADMIN LOB","UTILITIES BUSINESS SERVICES","WATER CITY OPERATIONS","WATER UTILITIES",64143
"EMPLOYEE PARKING","UTILITIES SOLID WASTE LOB","UTILITIES SW QUAL CONTROL SUPP","SOLID WASTE CASH ACCOUNT","SOLID WASTE MANAGEMENT",1319
"EMPLOYEE TRAINING","Administration","BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",3000
"EMPLOYEE TRAINING","Airport Administration","AIRPORTS EXEC LEADERSHIP","AIRPORTS CITY OPERATIONS","AIRPORTS",4360
"EMPLOYEE TRAINING","Animal Welfare","VETERINARY SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",500
"EMPLOYEE TRAINING","Audit Services","AUDIT SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",10500
"EMPLOYEE TRAINING","City Manager MAPS Office","OCMAPS SCHOOL CONSTRUCTION","CITY/SCHOOLS SALES TAX-RSTR","CITY/SCHOOLS SALES TAX",4000
"EMPLOYEE TRAINING","City Treasury","TREASURY","GENERAL OPERATIONS-UASN","GENERAL FUND",1000
"EMPLOYEE TRAINING","Civil Litigation","MUN COUN CIVIL LITIGATION","ENFRCMT & TRN-LEGAL-RSTR","COURT ADMIN & TRAINING",1910
"EMPLOYEE TRAINING","Code Enforcement","CODE INSPECTIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",10465
"EMPLOYEE TRAINING","Code Enforcement","NUISANCE ABATEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",10000
"EMPLOYEE TRAINING","Council Support","CITY COUNCIL","GENERAL OPERATIONS-UASN","GENERAL FUND",9197
"EMPLOYEE TRAINING","Court Services","COURT CASE SUPPORT","GENERAL OPERATIONS-UASN","GENERAL FUND",12000
"EMPLOYEE TRAINING","Courts Administration","COURTS EXECUTIVE LEADERSHIP","COURTS ADMIN & TRAN-RSTR","COURT ADMIN & TRAINING",6045
"EMPLOYEE TRAINING","Courts Administration","COURTS EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",2493
"EMPLOYEE TRAINING","Criminal Justice","MUN COUN POLICE COURTS LEGAL","ENFRCMT & TRN-LEGAL-RSTR","COURT ADMIN & TRAINING",2660
"EMPLOYEE TRAINING","Criminal Justice","MUN COUN PROSECUTION","ENFRCMT & TRN-LEGAL-RSTR","COURT ADMIN & TRAINING",2680
"EMPLOYEE TRAINING","Current Planning","CODE ADMINISTRATION","GENERAL OPERATIONS-UASN","GENERAL FUND",1500
"EMPLOYEE TRAINING","Development Center","CONSTRUCTION INSPECTIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",10000
"EMPLOYEE TRAINING","Drainage Administration","ENVIRONMENTAL","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",4700
"EMPLOYEE TRAINING","Drainage Administration","HOUSEHOLD HAZARDOUS WASTE","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",2155
"EMPLOYEE TRAINING","Drainage Administration","STRMWTR CONSTR/INDUSTR PERMIT","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",2000
"EMPLOYEE TRAINING","Engineering","PROJECT MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",5000
"EMPLOYEE TRAINING","Engineering","TECH REVIEW AND REGULATION","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",2000
"EMPLOYEE TRAINING","Field Services","SURVEY","GENERAL OPERATIONS-UASN","GENERAL FUND",2500
"EMPLOYEE TRAINING","Finanacial Planning and Mgmt","FIN REPORTING AND COMPLIANCE","GENERAL OPERATIONS-UASN","GENERAL FUND",2400
"EMPLOYEE TRAINING","Finance Administration","FINANCE EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",31491
"EMPLOYEE TRAINING","Fire Administration","FIRE BUSINESS SERVICES","FIRE SALES TAX-RSTR","FIRE",10000
"EMPLOYEE TRAINING","Fire Administration","FIRE BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",5000
"EMPLOYEE TRAINING","Fire Administration","FIRE EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",10000
"EMPLOYEE TRAINING","Fire Operations","OPERATIONS TRAINING","FIRE SALES TAX-RSTR","FIRE",65000
"EMPLOYEE TRAINING","Fire Prevention","PUBLIC SAFETY EDUCATION","GENERAL OPERATIONS-UASN","GENERAL FUND",3000
"EMPLOYEE TRAINING","Fire Special Purpose","EXPEND FM DISASTER DONATIONS","FIRE DEPT DONATIONS-RSTR","SPECIAL PURPOSE",10556
"EMPLOYEE TRAINING","General Services Admin","GEN SERVICES EXEC LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",2500
"EMPLOYEE TRAINING","General Services Fleet Svcs","GEN SVCS FLEET ADVISORY","FLEET SERVICES","FLEET SERVICES",233
"EMPLOYEE TRAINING","General Services Fleet Svcs","GEN SVCS FLEET REFUELING","FLEET SERVICES","FLEET SERVICES",2334
"EMPLOYEE TRAINING","General Services Fleet Svcs","GEN SVCS FLEET SVCS SUPPORT","FLEET SERVICES","FLEET SERVICES",432
"EMPLOYEE TRAINING","General Services Fleet Svcs","GEN SVCS VEHICLE & EQUIP MAINT","FLEET SERVICES","FLEET SERVICES",5000
"EMPLOYEE TRAINING","Information Technology Admin","IT BUSINESS SERVICES","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",91366
"EMPLOYEE TRAINING","Municipal Counselor Admin","MUN COUN EXEC LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",8636
"EMPLOYEE TRAINING","Occupational Health","HR OCCUPATIONAL HEALTH","GENERAL OPERATIONS-UASN","GENERAL FUND",3900
"EMPLOYEE TRAINING","Official City Records","CLERK AGENDA MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",675
"EMPLOYEE TRAINING","Official City Records","CLERK BIDDING","GENERAL OPERATIONS-UASN","GENERAL FUND",450
"EMPLOYEE TRAINING","Official City Records","CLERK RECORDS MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",650
"EMPLOYEE TRAINING","Parks Administration","PARKS BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",600
"EMPLOYEE TRAINING","Parks Administration","PARKS EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",3600
"EMPLOYEE TRAINING","Parks Civic Center","PERFORMANCE SUPPORT","GENERAL OPERATIONS-UASN","GENERAL FUND",5000
"EMPLOYEE TRAINING","Parks Grounds Management","PARKS AND GROUNDS MAINTENANCE","GENERAL OPERATIONS-UASN","GENERAL FUND",11930
"EMPLOYEE TRAINING","Parks Horticulture & Gardens","MARTIN NATURE PARK","GENERAL OPERATIONS-UASN","GENERAL FUND",1000
"EMPLOYEE TRAINING","Parks Horticulture & Gardens","WILL ROGERS GARDENS","GENERAL OPERATIONS-UASN","GENERAL FUND",500
"EMPLOYEE TRAINING","Planning Admin","PLANNING EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",9000
"EMPLOYEE TRAINING","Police Chiefs Office","POLICE EXEC LEADERSHIP","ENFRCMT & TRN-POLICE-RSTR","COURT ADMIN & TRAINING",15000
"EMPLOYEE TRAINING","Police Investigations","POLICE INVESTIGATIONS","ENFRCMT & TRN-POLICE-RSTR","COURT ADMIN & TRAINING",15000
"EMPLOYEE TRAINING","Police Investigations","POLICE INVESTIGATIONS SUPPORT","POLICE SALES TAX-RSTR","POLICE",6500
"EMPLOYEE TRAINING","Police Investigations","POLICE SPECIAL INVESTIGATIONS","STATE ASSET FORF-RSTR","ASSET FORFEITURE",40000
"EMPLOYEE TRAINING","Police Operational","POLICE PATROL","ENFRCMT & TRN-POLICE-RSTR","COURT ADMIN & TRAINING",15000
"EMPLOYEE TRAINING","Police Public Safety Support","POLICE 911 COMMUNICATIONS","EMER MGMT E-911-CMTD","EMERGENCY MANAGEMENT",2000
"EMPLOYEE TRAINING","Police Public Safety Support","POLICE TRAINING","ENFRCMT & TRN-POLICE-RSTR","COURT ADMIN & TRAINING",10000
"EMPLOYEE TRAINING","Policy & Executive Leadership","CM Office of Sustainability","GENERAL OPERATIONS-UASN","GENERAL FUND",3250
"EMPLOYEE TRAINING","Probation","COURTS JUVENILE PROBATION COMM","JUV JUSTICE-RSTR","GENERAL FUND",12000
"EMPLOYEE TRAINING","Procurement Services","PURCHASING","GENERAL OPERATIONS-UASN","GENERAL FUND",6000
"EMPLOYEE TRAINING","Public Information & Marketing","CM PRINT SHOP","PRINT SHOP","PRINT SHOP",500
"EMPLOYEE TRAINING","Public Information & Marketing","PUBLIC INFORMATION & MARKETING","GENERAL OPERATIONS-UASN","GENERAL FUND",1000
"EMPLOYEE TRAINING","Public Works Administration","PUB WORKS BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",3000
"EMPLOYEE TRAINING","Public Works Administration","PUB WORKS EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",1500
"EMPLOYEE TRAINING","Risk Management","WORKERS COMP AND SAFETY","RISK MANAGEMENT","RISK MANAGEMENT",4000
"EMPLOYEE TRAINING","Street & Drainage Maint","DRAINAGE","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",500
"EMPLOYEE TRAINING","Street & Drainage Maint","STREETS","GENERAL OPERATIONS-UASN","GENERAL FUND",6619
"EMPLOYEE TRAINING","Street & Drainage Maint","TRAFFIC OPERATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",500
"EMPLOYEE TRAINING","Traffic","TRAFFIC AND TRANSPORTATION","GENERAL OPERATIONS-UASN","GENERAL FUND",700
"EMPLOYEE TRAINING","Urban Design And Planning","COMPREHENSIVE PLANNING","GENERAL OPERATIONS-UASN","GENERAL FUND",4000
"EMPLOYEE TRAINING","Urban Redevelopment","PLANNING URBAN REDEV PLANNING","GENERAL OPERATIONS-UASN","GENERAL FUND",3000
"EMPLOYEE TRAINING","UTILITIES ADMIN LOB","UTILITIES BUSINESS SERVICES","WASTEWATER CITY OPERATIONS","WATER UTILITIES",13990
"EMPLOYEE TRAINING","UTILITIES ADMIN LOB","UTILITIES BUSINESS SERVICES","WATER CITY OPERATIONS","WATER UTILITIES",41464
"EMPLOYEE TRAINING","UTILITIES SOLID WASTE LOB","UTILITIES SW QUAL CONTROL SUPP","SOLID WASTE CASH ACCOUNT","SOLID WASTE MANAGEMENT",5000
"EMPLOYEE TRAVEL REIMBURSEMENT","Airport Administration","AIRPORTS EXEC LEADERSHIP","AIRPORTS CITY OPERATIONS","AIRPORTS",5000
"EMPLOYEE TRAVEL REIMBURSEMENT","Audit Services","AUDIT SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",7500
"EMPLOYEE TRAVEL REIMBURSEMENT","City Manager MAPS Office","MAPS3","MAPS3 USE TAX-CMTD","MAPS3 USE TAX",4000
"EMPLOYEE TRAVEL REIMBURSEMENT","City Manager MAPS Office","OCMAPS SCHOOL CONSTRUCTION","CITY/SCHOOLS SALES TAX-RSTR","CITY/SCHOOLS SALES TAX",10000
"EMPLOYEE TRAVEL REIMBURSEMENT","Civil Litigation","MUN COUN CIVIL LITIGATION","ENFRCMT & TRN-LEGAL-RSTR","COURT ADMIN & TRAINING",2240
"EMPLOYEE TRAVEL REIMBURSEMENT","Council Support","CITY COUNCIL","GENERAL OPERATIONS-UASN","GENERAL FUND",30960
"EMPLOYEE TRAVEL REIMBURSEMENT","Court Services","COURT CASE SUPPORT","GENERAL OPERATIONS-UASN","GENERAL FUND",3000
"EMPLOYEE TRAVEL REIMBURSEMENT","Courts Administration","COURTS EXECUTIVE LEADERSHIP","COURTS ADMIN & TRAN-RSTR","COURT ADMIN & TRAINING",2200
"EMPLOYEE TRAVEL REIMBURSEMENT","Criminal Justice","MUN COUN POLICE COURTS LEGAL","ENFRCMT & TRN-LEGAL-RSTR","COURT ADMIN & TRAINING",2990
"EMPLOYEE TRAVEL REIMBURSEMENT","Criminal Justice","MUN COUN PROSECUTION","ENFRCMT & TRN-LEGAL-RSTR","COURT ADMIN & TRAINING",2897
