"FundDescription","OperatingUnitDescription","ProgramName","LOBName","Account.Description","Total"
"GENERAL FUND","GENERAL OPERATIONS-UASN","Economic Development","COMMUNITY ENHANCEMENT","OTHER SERVICES AND CHARGES",7000
"GENERAL FUND","GENERAL OPERATIONS-UASN","Economic Development","COMMUNITY ENHANCEMENT","OTHER SUPPLIES",3000
"GENERAL FUND","GENERAL OPERATIONS-UASN","Economic Development","COMMUNITY ENHANCEMENT","RETIREMENT PENSION CONTRIB",15371
"GENERAL FUND","GENERAL OPERATIONS-UASN","Economic Development","COMMUNITY ENHANCEMENT","SALARIES AND WAGES",214473
"GENERAL FUND","GENERAL OPERATIONS-UASN","EMERGENCY MEDICAL SERVICES","Fire Operations","ACCRUED LEAVE PAYOUT",976411
"GENERAL FUND","GENERAL OPERATIONS-UASN","EMERGENCY MEDICAL SERVICES","Fire Operations","BUDGET-OTHER FRINGE BUDGET",60989
"GENERAL FUND","GENERAL OPERATIONS-UASN","EMERGENCY MEDICAL SERVICES","Fire Operations","BUDGET-VACANCY DISCOUNT",-606811
"GENERAL FUND","GENERAL OPERATIONS-UASN","EMERGENCY MEDICAL SERVICES","Fire Operations","CHARGEBACK-VEHICLE MAINTENANCE",5363
"GENERAL FUND","GENERAL OPERATIONS-UASN","EMERGENCY MEDICAL SERVICES","Fire Operations","EMPLOYEE INCENTIVE",898907
"GENERAL FUND","GENERAL OPERATIONS-UASN","EMERGENCY MEDICAL SERVICES","Fire Operations","HEALTH AND WELFARE INSURANCE",5439889
"GENERAL FUND","GENERAL OPERATIONS-UASN","EMERGENCY MEDICAL SERVICES","Fire Operations","LICENSES",10000
"GENERAL FUND","GENERAL OPERATIONS-UASN","EMERGENCY MEDICAL SERVICES","Fire Operations","MEDICAL SAFETY SUPPLIES",75724
"GENERAL FUND","GENERAL OPERATIONS-UASN","EMERGENCY MEDICAL SERVICES","Fire Operations","OFFICE SUPPLIES",30000
"GENERAL FUND","GENERAL OPERATIONS-UASN","EMERGENCY MEDICAL SERVICES","Fire Operations","OTHER EQUIPMENT",10000
"GENERAL FUND","GENERAL OPERATIONS-UASN","EMERGENCY MEDICAL SERVICES","Fire Operations","OTHER SERVICES AND CHARGES",6300
"GENERAL FUND","GENERAL OPERATIONS-UASN","EMERGENCY MEDICAL SERVICES","Fire Operations","OVERTIME WAGES - FIRE",4124048
"GENERAL FUND","GENERAL OPERATIONS-UASN","EMERGENCY MEDICAL SERVICES","Fire Operations","PROFESSIONAL SVC-MEDICAL",55000
"GENERAL FUND","GENERAL OPERATIONS-UASN","EMERGENCY MEDICAL SERVICES","Fire Operations","RETIREMENT PENSION CONTRIB",5506756
"GENERAL FUND","GENERAL OPERATIONS-UASN","EMERGENCY MEDICAL SERVICES","Fire Operations","SALARIES AND WAGES",34889278
"GENERAL FUND","GENERAL OPERATIONS-UASN","EMERGENCY MEDICAL SERVICES","Fire Operations","UNIFORM ALLOWANCE",687134
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","BUDGET-VACANCY DISCOUNT",-7053
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","CAR ALLOWANCE",162
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","CHARGEBACK FUEL",14204
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","CHARGEBACK-NATURAL GAS",5000
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","CHARGEBACK-VEHICLE MAINTENANCE",6000
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","HEALTH AND WELFARE INSURANCE",84411
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","MACHINERY AND EQUIPMENT MTCE",2019
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","MISCELLANEOUS SRVCS CONTRACTS",15110
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","OTHER EQUIPMENT",14836
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","OTHER EQUIPMENT RENTAL",1445
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","OTHER SUPPLIES",13824
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","PART TIME & TEMPORARY WAGES",22150
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","REPAIR & MAINTENANCE PARTS",141119
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","RETIREMENT PENSION CONTRIB",20100
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","SAFETY EQUIPMENT & SUPPLIES",2000
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","SALARIES AND WAGES",332932
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","SMALL TOOLS & MINOR EQUIP",4643
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","TIRES AND TUBES",13000
"GENERAL FUND","GENERAL OPERATIONS-UASN","EQUIPMENT REPAIR","Parks Grounds Management","UNIFORMS & EQUIPMENT",1000
"GENERAL FUND","GENERAL OPERATIONS-UASN","EXECUTIVE LEADERSHIP","Administration","BUDGET-SALARY RESERVE",41064
"GENERAL FUND","GENERAL OPERATIONS-UASN","EXECUTIVE LEADERSHIP","Administration","BUDGET-VACANCY DISCOUNT",-5813
"GENERAL FUND","GENERAL OPERATIONS-UASN","EXECUTIVE LEADERSHIP","Administration","CAR ALLOWANCE",3000
"GENERAL FUND","GENERAL OPERATIONS-UASN","EXECUTIVE LEADERSHIP","Administration","CHARGEBACK-POSTAGE",71161
"GENERAL FUND","GENERAL OPERATIONS-UASN","EXECUTIVE LEADERSHIP","Administration","EMPLOYEE PARKING",6713
"GENERAL FUND","GENERAL OPERATIONS-UASN","EXECUTIVE LEADERSHIP","Administration","HEALTH AND WELFARE INSURANCE",23186
"GENERAL FUND","GENERAL OPERATIONS-UASN","EXECUTIVE LEADERSHIP","Administration","RETIREMENT PENSION CONTRIB",16625
"GENERAL FUND","GENERAL OPERATIONS-UASN","EXECUTIVE LEADERSHIP","Administration","SALARIES AND WAGES",274032
"GENERAL FUND","GENERAL OPERATIONS-UASN","EXECUTIVE LEADERSHIP","Transit","PAYMENTS TO COTPA",466728
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","BUDGET-VACANCY DISCOUNT",-35550
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","COMPUTER SUPPLIES",4568
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","EDUCATIONAL & TRAINING",300
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","EMPLOYEE TRAINING",2400
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","HEALTH AND WELFARE INSURANCE",281709
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","MACHINERY AND EQUIPMENT MTCE",5345
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","MEMBERSHIPS",1100
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","NON-CAPITAL OFFICE MACHINES",4817
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","OFFICE SUPPLIES",11605
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","OTHER REPAIRS AND MAINTENANCE",2800
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","OTHER SERVICES AND CHARGES",3039
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","OTHER SUPPLIES",200
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","OVERTIME WAGES",500
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","PRINTING & BINDING",11170
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","PROFESSIONAL SERVICES-OTHER",24099
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","REPAIR & MAINTENANCE PARTS",200
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","RETIREMENT PENSION CONTRIB",102455
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIN REPORTING AND COMPLIANCE","Finanacial Planning and Mgmt","SALARIES AND WAGES",1675119
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE BUSINESS SERVICES","Finance Administration","BUDGET-VACANCY DISCOUNT",-4131
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE BUSINESS SERVICES","Finance Administration","CHARGEBACK-IT",459306
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE BUSINESS SERVICES","Finance Administration","CHARGEBACK-POSTAGE",16602
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE BUSINESS SERVICES","Finance Administration","CHARGEBACK-PRINT SHOP",10525
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE BUSINESS SERVICES","Finance Administration","CHARGEBACK-RISK MANAGEMENT",317923
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE BUSINESS SERVICES","Finance Administration","HEALTH AND WELFARE INSURANCE",28979
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE BUSINESS SERVICES","Finance Administration","RETIREMENT PENSION CONTRIB",11958
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE BUSINESS SERVICES","Finance Administration","SALARIES AND WAGES",194638
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE EXECUTIVE LEADERSHIP","Finance Administration","BUDGET-VACANCY DISCOUNT",-4981
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE EXECUTIVE LEADERSHIP","Finance Administration","COMPUTER SUPPLIES",9138
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE EXECUTIVE LEADERSHIP","Finance Administration","EMPLOYEE PARKING",49830
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE EXECUTIVE LEADERSHIP","Finance Administration","EMPLOYEE TRAINING",31491
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE EXECUTIVE LEADERSHIP","Finance Administration","HEALTH AND WELFARE INSURANCE",19129
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE EXECUTIVE LEADERSHIP","Finance Administration","MEMBERSHIPS",7500
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE EXECUTIVE LEADERSHIP","Finance Administration","NON-CAPITAL FURNITURE & FIXTUR",45000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE EXECUTIVE LEADERSHIP","Finance Administration","NON-CAPITAL OFFICE MACHINES",7667
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE EXECUTIVE LEADERSHIP","Finance Administration","OFFICE SUPPLIES",3183
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE EXECUTIVE LEADERSHIP","Finance Administration","OTHER REPAIRS AND MAINTENANCE",1500
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE EXECUTIVE LEADERSHIP","Finance Administration","OTHER SERVICES AND CHARGES",2700
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE EXECUTIVE LEADERSHIP","Finance Administration","OTHER SUPPLIES",6802
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE EXECUTIVE LEADERSHIP","Finance Administration","RETIREMENT PENSION CONTRIB",14328
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE EXECUTIVE LEADERSHIP","Finance Administration","SALARIES AND WAGES",234703
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCE EXECUTIVE LEADERSHIP","Finance Administration","SUBSCRIPTIONS",1500
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCIAL PLANNING","Finanacial Planning and Mgmt","ADVERTISING",500
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCIAL PLANNING","Finanacial Planning and Mgmt","BUDGET-VACANCY DISCOUNT",-19125
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCIAL PLANNING","Finanacial Planning and Mgmt","COMPUTER SUPPLIES",7243
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCIAL PLANNING","Finanacial Planning and Mgmt","HEALTH AND WELFARE INSURANCE",141434
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCIAL PLANNING","Finanacial Planning and Mgmt","MEMBERSHIPS",300
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCIAL PLANNING","Finanacial Planning and Mgmt","NON-CAPITAL FURNITURE & FIXTUR",500
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCIAL PLANNING","Finanacial Planning and Mgmt","OFFICE SUPPLIES",2500
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCIAL PLANNING","Finanacial Planning and Mgmt","OTHER SERVICES AND CHARGES",5281
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCIAL PLANNING","Finanacial Planning and Mgmt","PRINTING & BINDING",300
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCIAL PLANNING","Finanacial Planning and Mgmt","PROFESSIONAL SERVICES-OTHER",4100
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCIAL PLANNING","Finanacial Planning and Mgmt","RETIREMENT PENSION CONTRIB",55268
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCIAL PLANNING","Finanacial Planning and Mgmt","SALARIES AND WAGES",901059
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCIAL PLANNING","Finanacial Planning and Mgmt","SUBSCRIPTIONS",500
"GENERAL FUND","GENERAL OPERATIONS-UASN","FINANCIAL PLANNING","Finanacial Planning and Mgmt","TRAINING/EDUCATION",350
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","ACCRUED LEAVE PAYOUT",7514
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","BUDGET-OTHER FRINGE BUDGET",1953
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","BUDGET-VACANCY DISCOUNT",-21045
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","CHARGEBACK-IT",2567596
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","CHARGEBACK-POSTAGE",3539
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","CHARGEBACK-PRINT SHOP",61488
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","CHARGEBACK-RISK MANAGEMENT",2273902
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","CHARGEBACK-VEHICLE MAINTENANCE",19918
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","COMPUTER SUPPLIES",19749
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","EMPLOYEE INCENTIVE",6875
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","EMPLOYEE TRAINING",5000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","EMPLOYEE TRAVEL REIMBURSEMENT",1500
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","EMPLOYEE TUITION REIMBURSEMENT",16000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","HEALTH AND WELFARE INSURANCE",154026
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","MACHINERY AND EQUIPMENT MTCE",15000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","NON-CAPITAL OFFICE MACHINES",25000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","OFFICE EQUIPMENT RENTAL",24158
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","OTHER SERVICES AND CHARGES",2500
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","OTHER SUPPLIES",2500
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","PROFESSIONAL SERVICES-OTHER",30000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","RETIREMENT PENSION CONTRIB",94096
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","SALARIES AND WAGES",1063687
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","TELEPHONE",10000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE BUSINESS SERVICES","Fire Administration","UNIFORM ALLOWANCE",5607
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE DISPATCH","Support Services","ACCRUED LEAVE PAYOUT",19790
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE DISPATCH","Support Services","BUDGET-OTHER FRINGE BUDGET",3130
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE DISPATCH","Support Services","BUDGET-VACANCY DISCOUNT",-21288
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE DISPATCH","Support Services","CHARGEBACK-VEHICLE MAINTENANCE",1532
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE DISPATCH","Support Services","EMPLOYEE INCENTIVE",24550
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE DISPATCH","Support Services","HEALTH AND WELFARE INSURANCE",187671
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE DISPATCH","Support Services","OVERTIME WAGES",8152
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE DISPATCH","Support Services","RETIREMENT PENSION CONTRIB",175212
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE DISPATCH","Support Services","SALARIES AND WAGES",1243952
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE DISPATCH","Support Services","UNIFORM ALLOWANCE",23727
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE EXECUTIVE LEADERSHIP","Fire Administration","ACCRUED LEAVE PAYOUT",22850
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE EXECUTIVE LEADERSHIP","Fire Administration","BUDGET-OTHER FRINGE BUDGET",4584
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE EXECUTIVE LEADERSHIP","Fire Administration","BUDGET-SALARY RESERVE",16618
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE EXECUTIVE LEADERSHIP","Fire Administration","BUDGET-VACANCY DISCOUNT",-28251
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE EXECUTIVE LEADERSHIP","Fire Administration","EMPLOYEE INCENTIVE",29377
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE EXECUTIVE LEADERSHIP","Fire Administration","EMPLOYEE TRAINING",10000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE EXECUTIVE LEADERSHIP","Fire Administration","EMPLOYEE TRAVEL REIMBURSEMENT",5000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE EXECUTIVE LEADERSHIP","Fire Administration","FOOD",5000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE EXECUTIVE LEADERSHIP","Fire Administration","HEALTH AND WELFARE INSURANCE",165868
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE EXECUTIVE LEADERSHIP","Fire Administration","MEMBERSHIPS",6000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE EXECUTIVE LEADERSHIP","Fire Administration","OFFICE SUPPLIES",18000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE EXECUTIVE LEADERSHIP","Fire Administration","OTHER SERVICES AND CHARGES",25000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE EXECUTIVE LEADERSHIP","Fire Administration","OVERTIME WAGES - FIRE",128149
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE EXECUTIVE LEADERSHIP","Fire Administration","RETIREMENT PENSION CONTRIB",228294
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE EXECUTIVE LEADERSHIP","Fire Administration","SALARIES AND WAGES",1591392
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE EXECUTIVE LEADERSHIP","Fire Administration","UNIFORM ALLOWANCE",19200
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE INVESTIGATIONS","Fire Prevention","ACCRUED LEAVE PAYOUT",16378
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE INVESTIGATIONS","Fire Prevention","BUDGET-VACANCY DISCOUNT",-18365
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE INVESTIGATIONS","Fire Prevention","CHARGEBACK-VEHICLE MAINTENANCE",6057
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE INVESTIGATIONS","Fire Prevention","EMPLOYEE INCENTIVE",9200
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE INVESTIGATIONS","Fire Prevention","HEALTH AND WELFARE INSURANCE",130364
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE INVESTIGATIONS","Fire Prevention","INVESTIGATIVE SERV",1200
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE INVESTIGATIONS","Fire Prevention","OVERTIME WAGES - FIRE",112082
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE INVESTIGATIONS","Fire Prevention","RETIREMENT PENSION CONTRIB",160440
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE INVESTIGATIONS","Fire Prevention","SALARIES AND WAGES",1053447
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE INVESTIGATIONS","Fire Prevention","UNIFORM ALLOWANCE",15602
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","ACCRUED LEAVE PAYOUT",1195
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","BUDGET-VACANCY DISCOUNT",-14856
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","BUILDING MAINTENANCE",125000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","CHARGEBACK-VEHICLE MAINTENANCE",31413
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","CHGBCK-NON-TAR REP LBR & PARTS",50000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","CUSTODIAL SERVICE",30925
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","ELECTRICITY",480000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","EMPLOYEE INCENTIVE",138
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","FUEL",1018368
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","HEALTH AND WELFARE INSURANCE",130978
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","JANITOR SUPPLIES",85000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","MACHINERY AND EQUIPMENT MTCE",4000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","MAINTENANCE SUPPLIES",18500
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","MOTOR OIL",35000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","NATURAL GAS",215000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","NON-CAPITAL FURNITURE & FIXTUR",40000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","OFFICE SUPPLIES",4500
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","OTHER EQUIPMENT RENTAL",6108
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","OTHER REPAIRS AND MAINTENANCE",12000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","OTHER SERVICES AND CHARGES",43000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","PROPANE",16000
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","REPAIR & MAINTENANCE PARTS",202489
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","RETIREMENT PENSION CONTRIB",43536
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","SALARIES AND WAGES",703146
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","SMALL TOOLS & MINOR EQUIP",50900
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","TOOL ALLOWANCE",3600
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","UNIFORM ALLOWANCE",144
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE MAINTENANCE SERVICES","Support Services","WATER, SEWER & REFUSE",66850
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE SUPRESSION OPERATIONS","Fire Operations","ACCRUED LEAVE PAYOUT",241235
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE SUPRESSION OPERATIONS","Fire Operations","BUDGET-OTHER FRINGE BUDGET",9635
"GENERAL FUND","GENERAL OPERATIONS-UASN","FIRE SUPRESSION OPERATIONS","Fire Operations","BUDGET-VACANCY DISCOUNT",-93731
