Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,ORG_NAME,ORG_DESC,FUND,ACCT_CODE
FY19,Expense,Design & Development,Code Compliance,General Fund Operating,Other Services and Charges,Contractual Services,35000,,Housing Complaint,2020 - Housing Complaint,1010,8010
FY19,Expense,Design & Development,Code Compliance,General Fund Operating,Other Services and Charges,Relocation Payments,2500,,Housing Complaint,2020 - Housing Complaint,1010,8620
FY19,Expense,Design & Development,Code Compliance,General Fund Operating,Other Services and Charges,311 Call Center Services,23053,,Housing Complaint,2020 - Housing Complaint,1010,9450
FY19,Expense,Design & Development,Code Compliance,General Fund Operating,Other Financing,Operating Trans Out-Subsidies,90000,,Housing Complaint,2020 - Housing Complaint,1010,9951
FY19,Expense,Design & Development,Code Compliance,General Fund Operating,Other Services and Charges,311 Call Center Services,1213,,Zone Complaint,2030 - Zone Complaint,1010,9450
FY19,Expense,Design & Development,Code Compliance,General Fund Operating,Other Financing,Operating Trans Out-Subsidies,10000,,Zone Complaint,2030 - Zone Complaint,1010,9951
FY19,Expense,Design & Development,Code Compliance,General Fund Operating,Other Services and Charges,311 Call Center Services,11960,,Rental Cert One,3010 - Rental Cert One,1010,9450
FY19,Expense,Design & Development,Code Compliance,General Fund Operating,Other Financing,Operating Trans Out-Subsidies,290000,,Rental Cert One,3010 - Rental Cert One,1010,9951
FY19,Expense,Design & Development,Code Compliance,General Fund Operating,Other Services and Charges,311 Call Center Services,1907,,Inoperative Vehicles,4010 - Inoperative Vehicles,1010,9450
FY19,Expense,Design & Development,Code Compliance,Refuse Collection,Personnel Services,Full Time Employees,215895,,Trash Reduction,4050 - Trash Reduction,2260,7020
FY19,Expense,Design & Development,Code Compliance,Refuse Collection,Personnel Services,Employers FICA,16527,,Trash Reduction,4050 - Trash Reduction,2260,7105
FY19,Expense,Design & Development,Code Compliance,Refuse Collection,Personnel Services,Hospitalization Insurance,61920,,Trash Reduction,4050 - Trash Reduction,2260,7110
FY19,Expense,Design & Development,Code Compliance,Refuse Collection,Personnel Services,Retiree Health Care-OPEB,26620,,Trash Reduction,4050 - Trash Reduction,2260,7115
FY19,Expense,Design & Development,Code Compliance,Refuse Collection,Personnel Services,Retirement Fund Contribution,48999,,Trash Reduction,4050 - Trash Reduction,2260,7120
FY19,Expense,Design & Development,Code Compliance,Refuse Collection,Personnel Services,Unemployment Compensation,336,,Trash Reduction,4050 - Trash Reduction,2260,7135
FY19,Expense,Design & Development,Code Compliance,Refuse Collection,Other Services and Charges,Contractual Services,120000,,Trash Reduction,4050 - Trash Reduction,2260,8010
FY19,Expense,Design & Development,Code Compliance,Refuse Collection,Other Services and Charges,Contract Employees-Temporary Services,9600,,Trash Reduction,4050 - Trash Reduction,2260,8011
FY19,Expense,Design & Development,Code Compliance,Refuse Collection,Other Services and Charges,Claims,4536,,Trash Reduction,4050 - Trash Reduction,2260,8450
FY19,Expense,Design & Development,Code Compliance,Refuse Collection,Other Services and Charges,Fleet Management Equipment Charges,6375,,Trash Reduction,4050 - Trash Reduction,2260,9440
FY19,Expense,Design & Development,Code Compliance,General Fund Operating,Other Services and Charges,311 Call Center Services,11787,,Trash Reduction,4050 - Trash Reduction,1010,9450
FY19,Expense,Design & Development,Code Compliance,Refuse Collection,Other Services and Charges,Computer Services-from IT,3851,,Trash Reduction,4050 - Trash Reduction,2260,9480
FY19,Expense,Design & Development,Code Compliance,Refuse Collection,Other Financing,Operating Transfers-A87 Cost,13942,,Trash Reduction,4050 - Trash Reduction,2260,9952
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Full Time Employees,198255,,Administration,1000 - Administration,1010,7020
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Employers FICA,15161,,Administration,1000 - Administration,1010,7105
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Hospitalization Insurance,29664,,Administration,1000 - Administration,1010,7110
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,24624,,Administration,1000 - Administration,1010,7115
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Retirement Fund Contribution,45269,,Administration,1000 - Administration,1010,7120
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Unemployment Compensation,288,,Administration,1000 - Administration,1010,7135
FY19,Expense,Design & Development,Planning,General Fund Operating,Supplies,Supplies,14000,,Administration,1000 - Administration,1010,7520
FY19,Expense,Design & Development,Planning,General Fund Operating,Supplies,Subscriptions and Publications,2500,,Administration,1000 - Administration,1010,7910
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Contractual Services,24200,,Administration,1000 - Administration,1010,8010
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Fees,3500,,Administration,1000 - Administration,1010,8240
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Claims,17023,,Administration,1000 - Administration,1010,8450
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Telephone,2500,,Administration,1000 - Administration,1010,8500
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,868,,Administration,1000 - Administration,1010,8505
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Postage,10000,,Administration,1000 - Administration,1010,8510
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Printing & Publishing,14000,,Administration,1000 - Administration,1010,9000
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Professional Development,7000,,Administration,1000 - Administration,1010,9100
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Other Travel & Training,2000,,Administration,1000 - Administration,1010,9110
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Local Business Expense,12000,,Administration,1000 - Administration,1010,9130
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Memberships,5000,,Administration,1000 - Administration,1010,9150
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,68168,,Administration,1000 - Administration,1010,9430
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,6246,,Administration,1000 - Administration,1010,9440
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Employee Parking,4500,,Administration,1000 - Administration,1010,9470
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Computer Services-from IT,86057,,Administration,1000 - Administration,1010,9480
FY19,Expense,Design & Development,Planning,General Fund Operating,Capital Outlays,Furniture,1000,,Administration,1000 - Administration,1010,9800
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Financing,Operating Trans-Dev Center,4279,,Administration,1000 - Administration,1010,9954
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Full Time Employees,19329,,Indirect,1010 - Indirect,1010,7020
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Employers FICA,1483,,Indirect,1010 - Indirect,1010,7105
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Hospitalization Insurance,2880,,Indirect,1010 - Indirect,1010,7110
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,2403,,Indirect,1010 - Indirect,1010,7115
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Retirement Fund Contribution,4421,,Indirect,1010 - Indirect,1010,7120
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Unemployment Compensation,24,,Indirect,1010 - Indirect,1010,7135
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Full Time Employees,154720,,Long & Short Range Planning,2000 - Long & Short Range Planning,1010,7020
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Employers FICA,11831,,Long & Short Range Planning,2000 - Long & Short Range Planning,1010,7105
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Hospitalization Insurance,26640,,Long & Short Range Planning,2000 - Long & Short Range Planning,1010,7110
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,19101,,Long & Short Range Planning,2000 - Long & Short Range Planning,1010,7115
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Retirement Fund Contribution,35131,,Long & Short Range Planning,2000 - Long & Short Range Planning,1010,7120
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Unemployment Compensation,216,,Long & Short Range Planning,2000 - Long & Short Range Planning,1010,7135
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Contractual Services,45000,,Long & Short Range Planning,2000 - Long & Short Range Planning,1010,8010
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Contract Employees-Temporary Services,64000,,Long & Short Range Planning,2000 - Long & Short Range Planning,1010,8011
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,311 Call Center Services,4333,,Long & Short Range Planning,2000 - Long & Short Range Planning,1010,9450
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Full Time Employees,318721,,Development Review,2500 - Development Review,1010,7020
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Employers FICA,24385,,Development Review,2500 - Development Review,1010,7105
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Hospitalization Insurance,63360,,Development Review,2500 - Development Review,1010,7110
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,39356,,Development Review,2500 - Development Review,1010,7115
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Retirement Fund Contribution,72351,,Development Review,2500 - Development Review,1010,7120
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Unemployment Compensation,432,,Development Review,2500 - Development Review,1010,7135
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Contractual Services,29000,,Development Review,2500 - Development Review,1010,8010
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Contract Employees-Temporary Services,61000,,Development Review,2500 - Development Review,1010,8011
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Full Time Employees,72912,,Historic Preservation,3000 - Historic Preservation,1010,7020
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Employers FICA,5580,,Historic Preservation,3000 - Historic Preservation,1010,7105
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Hospitalization Insurance,14400,,Historic Preservation,3000 - Historic Preservation,1010,7110
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,9000,,Historic Preservation,3000 - Historic Preservation,1010,7115
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Retirement Fund Contribution,16548,,Historic Preservation,3000 - Historic Preservation,1010,7120
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Unemployment Compensation,96,,Historic Preservation,3000 - Historic Preservation,1010,7135
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Full Time Employees,67476,,Signs Compliance,3010 - Signs Compliance,1010,7020
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Employers FICA,5172,,Signs Compliance,3010 - Signs Compliance,1010,7105
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Hospitalization Insurance,15840,,Signs Compliance,3010 - Signs Compliance,1010,7110
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,8328,,Signs Compliance,3010 - Signs Compliance,1010,7115
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Retirement Fund Contribution,15312,,Signs Compliance,3010 - Signs Compliance,1010,7120
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Unemployment Compensation,96,,Signs Compliance,3010 - Signs Compliance,1010,7135
FY19,Expense,Design & Development,Planning,General Fund Operating,Other Services and Charges,Contract Employees-Temporary Services,61000,,Community Engagement,3500 - Community Engagement,1010,8011
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Full Time Employees,23760,,Graphic Design-Support,4000 - Graphic Design-Support,1010,7020
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Employers FICA,1824,,Graphic Design-Support,4000 - Graphic Design-Support,1010,7105
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Hospitalization Insurance,5760,,Graphic Design-Support,4000 - Graphic Design-Support,1010,7110
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,2928,,Graphic Design-Support,4000 - Graphic Design-Support,1010,7115
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Retirement Fund Contribution,5400,,Graphic Design-Support,4000 - Graphic Design-Support,1010,7120
FY19,Expense,Design & Development,Planning,General Fund Operating,Personnel Services,Unemployment Compensation,36,,Graphic Design-Support,4000 - Graphic Design-Support,1010,7135
FY19,Expense,District Court,61st District Court,61st District Court,Personnel Services,Full Time Employees,4588980,,Administration,1000 - Administration,7400,7020
FY19,Expense,District Court,61st District Court,61st District Court,Personnel Services,Acting Assignment,3500,,Administration,1000 - Administration,7400,7025
FY19,Expense,District Court,61st District Court,61st District Court,Personnel Services,Temporary Noncontract Employees,111500,,Administration,1000 - Administration,7400,7040
FY19,Expense,District Court,61st District Court,61st District Court,Personnel Services,Time & One-half,39000,,Administration,1000 - Administration,7400,7055
FY19,Expense,District Court,61st District Court,61st District Court,Personnel Services,Employers FICA,359484,,Administration,1000 - Administration,7400,7105
FY19,Expense,District Court,61st District Court,61st District Court,Personnel Services,Hospitalization Insurance,1166400,,Administration,1000 - Administration,7400,7110
FY19,Expense,District Court,61st District Court,61st District Court,Personnel Services,Retiree Health Care-OPEB,566819,,Administration,1000 - Administration,7400,7115
FY19,Expense,District Court,61st District Court,61st District Court,Personnel Services,Retirement Fund Contribution,1042525,,Administration,1000 - Administration,7400,7120
FY19,Expense,District Court,61st District Court,61st District Court,Personnel Services,Unemployment Compensation,9854,,Administration,1000 - Administration,7400,7135
FY19,Expense,District Court,61st District Court,61st District Court,Supplies,Supplies,95103,,Administration,1000 - Administration,7400,7520
FY19,Expense,District Court,61st District Court,61st District Court,Supplies,Clothing,2125,,Administration,1000 - Administration,7400,7670
FY19,Expense,District Court,61st District Court,61st District Court,Supplies,Subscriptions and Publications,5556,,Administration,1000 - Administration,7400,7910
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Contractual Services,452995,,Administration,1000 - Administration,7400,8010
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Contract Employees-Temporary Services,5992,,Administration,1000 - Administration,7400,8011
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Fees,1928110,,Administration,1000 - Administration,7400,8240
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Insurance Premiums,273,,Administration,1000 - Administration,7400,8400
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Claims,111333,,Administration,1000 - Administration,7400,8450
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Telephone,31355,,Administration,1000 - Administration,7400,8500
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Postage,56185,,Administration,1000 - Administration,7400,8510
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,"Internet Services, Etc.",27995,,Administration,1000 - Administration,7400,8520
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Professional Development,15000,,Administration,1000 - Administration,7400,9100
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Other Travel & Training,4591,,Administration,1000 - Administration,7400,9110
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Local Business Expense,2249,,Administration,1000 - Administration,7400,9130
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Memberships,6151,,Administration,1000 - Administration,7400,9150
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Water,921,,Administration,1000 - Administration,7400,9180
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Electricity,1291,,Administration,1000 - Administration,7400,9200
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Natural Gas,1091,,Administration,1000 - Administration,7400,9210
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Software Maintenance Agreements,178038,,Administration,1000 - Administration,7400,9330
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Maintenance Service,11304,,Administration,1000 - Administration,7400,9340
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Equipment Rentals or Lease,54303,,Administration,1000 - Administration,7400,9410
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,2938141,,Administration,1000 - Administration,7400,9430
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Employee Parking,88245,,Administration,1000 - Administration,7400,9470
FY19,Expense,District Court,61st District Court,61st District Court,Other Services and Charges,Computer Services-from IT,189104,,Administration,1000 - Administration,7400,9480
FY19,Expense,District Court,61st District Court,61st District Court,Capital Outlays,Equipment,38997,,Administration,1000 - Administration,7400,9760
FY19,Expense,District Court,61st District Court,61st District Court,Other Financing,Operating Transfers-A87 Cost,426596,,Administration,1000 - Administration,7400,9952
FY19,Expense,District Court,61st District Court,61st District Court,Other Financing,Appropriation Lapse,-436833,,Administration,1000 - Administration,7400,9959
FY19,Expense,Economic Development,Business Improvement District,Uptown Business Improv Dist,Supplies,Supplies,7500,,Operations,2000 - Operations,2520,7520
FY19,Expense,Economic Development,Business Improvement District,Uptown Business Improv Dist,Other Services and Charges,Contractual Services,4500,,Operations,2000 - Operations,2520,8010
FY19,Expense,Economic Development,Business Improvement District,Uptown Business Improv Dist,Other Services and Charges,Administrative Services,43000,,Operations,2000 - Operations,2520,8030
FY19,Expense,Economic Development,Business Improvement District,Uptown Business Improv Dist,Other Services and Charges,Advertising - Any Media,20000,,Operations,2000 - Operations,2520,9010
FY19,Expense,Economic Development,Business Improvement District,Uptown Business Improv Dist,Other Services and Charges,Maintenance Service,35500,,Operations,2000 - Operations,2520,9340
FY19,Expense,Economic Development,Economic Development,Property Management,Personnel Services,Full Time Employees,16992,,Administration,1000 - Administration,2360,7020
FY19,Expense,Economic Development,Economic Development,Economic Development,Personnel Services,Full Time Employees,80608,,Administration,1000 - Administration,2440,7020
FY19,Expense,Economic Development,Economic Development,Property Management,Personnel Services,Employers FICA,1308,,Administration,1000 - Administration,2360,7105
FY19,Expense,Economic Development,Economic Development,Economic Development,Personnel Services,Employers FICA,6173,,Administration,1000 - Administration,2440,7105
FY19,Expense,Economic Development,Economic Development,Property Management,Personnel Services,Hospitalization Insurance,2880,,Administration,1000 - Administration,2360,7110
FY19,Expense,Economic Development,Economic Development,Economic Development,Personnel Services,Hospitalization Insurance,14400,,Administration,1000 - Administration,2440,7110
FY19,Expense,Economic Development,Economic Development,Property Management,Personnel Services,Retiree Health Care-OPEB,2100,,Administration,1000 - Administration,2360,7115
FY19,Expense,Economic Development,Economic Development,Economic Development,Personnel Services,Retiree Health Care-OPEB,9996,,Administration,1000 - Administration,2440,7115
FY19,Expense,Economic Development,Economic Development,Property Management,Personnel Services,Retirement Fund Contribution,3864,,Administration,1000 - Administration,2360,7120
FY19,Expense,Economic Development,Economic Development,Economic Development,Personnel Services,Retirement Fund Contribution,18371,,Administration,1000 - Administration,2440,7120
FY19,Expense,Economic Development,Economic Development,Property Management,Personnel Services,Unemployment Compensation,24,,Administration,1000 - Administration,2360,7135
FY19,Expense,Economic Development,Economic Development,Economic Development,Personnel Services,Unemployment Compensation,108,,Administration,1000 - Administration,2440,7135
FY19,Expense,Economic Development,Economic Development,Property Management,Supplies,Supplies,321,,Administration,1000 - Administration,2360,7520
FY19,Expense,Economic Development,Economic Development,Economic Development,Supplies,Supplies,3108,,Administration,1000 - Administration,2440,7520
FY19,Expense,Economic Development,Economic Development,Economic Development,Supplies,Subscriptions and Publications,100,,Administration,1000 - Administration,2440,7910
FY19,Expense,Economic Development,Economic Development,Property Management,Other Services and Charges,Contractual Services,35000,,Administration,1000 - Administration,2360,8010
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Services and Charges,Contractual Services,337219,,Administration,1000 - Administration,2440,8010
FY19,Expense,Economic Development,Economic Development,Property Management,Other Services and Charges,Fees,100,,Administration,1000 - Administration,2360,8240
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Services and Charges,Fees,6400,,Administration,1000 - Administration,2440,8240
FY19,Expense,Economic Development,Economic Development,Property Management,Other Services and Charges,Claims,832,,Administration,1000 - Administration,2360,8450
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Services and Charges,Claims,2802,,Administration,1000 - Administration,2440,8450
FY19,Expense,Economic Development,Economic Development,Property Management,Other Services and Charges,Employee Phone Reimbursement,71,,Administration,1000 - Administration,2360,8505
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Services and Charges,Employee Phone Reimbursement,613,,Administration,1000 - Administration,2440,8505
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Services and Charges,Postage,100,,Administration,1000 - Administration,2440,8510
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Services and Charges,Transportation-Mileage Reimbursement,200,,Administration,1000 - Administration,2440,8610
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Services and Charges,Community Promotion,500,,Administration,1000 - Administration,2440,8800
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Services and Charges,Printing & Publishing,1200,,Administration,1000 - Administration,2440,9000
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Services and Charges,Professional Development,2000,,Administration,1000 - Administration,2440,9100
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Services and Charges,Memberships,700,,Administration,1000 - Administration,2440,9150
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Services and Charges,Equipment Rentals or Lease,2400,,Administration,1000 - Administration,2440,9410
FY19,Expense,Economic Development,Economic Development,Property Management,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,8292,,Administration,1000 - Administration,2360,9430
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Services and Charges,311 Call Center Services,520,,Administration,1000 - Administration,2440,9450
FY19,Expense,Economic Development,Economic Development,Property Management,Other Services and Charges,Employee Parking,358,,Administration,1000 - Administration,2360,9470
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Services and Charges,Employee Parking,3275,,Administration,1000 - Administration,2440,9470
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Services and Charges,Computer Services-from IT,3893,,Administration,1000 - Administration,2440,9480
FY19,Expense,Economic Development,Economic Development,Property Management,Capital Outlays,Land,300000,,Administration,1000 - Administration,2360,9710
FY19,Expense,Economic Development,Economic Development,Property Management,Debt Service,Principal,25641,,Administration,1000 - Administration,2360,9910
FY19,Expense,Economic Development,Economic Development,Property Management,Debt Service,Interest to Financial Institution,13305,,Administration,1000 - Administration,2360,9920
FY19,Expense,Economic Development,Economic Development,Property Management,Other Financing,Operating Transfers-A87 Cost,12884,,Administration,1000 - Administration,2360,9952
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Financing,Operating Transfers-A87 Cost,21709,,Administration,1000 - Administration,2440,9952
FY19,Expense,Economic Development,Economic Development,Economic Development,Personnel Services,Full Time Employees,62928,,CID-BID Baseline Support,2000 - CID-BID Baseline Support,2440,7020
FY19,Expense,Economic Development,Economic Development,Economic Development,Personnel Services,Employers FICA,4816,,CID-BID Baseline Support,2000 - CID-BID Baseline Support,2440,7105
FY19,Expense,Economic Development,Economic Development,Economic Development,Personnel Services,Hospitalization Insurance,14400,,CID-BID Baseline Support,2000 - CID-BID Baseline Support,2440,7110
FY19,Expense,Economic Development,Economic Development,Economic Development,Personnel Services,Retiree Health Care-OPEB,7773,,CID-BID Baseline Support,2000 - CID-BID Baseline Support,2440,7115
FY19,Expense,Economic Development,Economic Development,Economic Development,Personnel Services,Retirement Fund Contribution,14294,,CID-BID Baseline Support,2000 - CID-BID Baseline Support,2440,7120
FY19,Expense,Economic Development,Economic Development,Economic Development,Personnel Services,Unemployment Compensation,84,,CID-BID Baseline Support,2000 - CID-BID Baseline Support,2440,7135
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Services and Charges,Contractual Services,28113,,CID-BID Baseline Support,2000 - CID-BID Baseline Support,2440,8010
FY19,Expense,Economic Development,Economic Development,Economic Development,Other Financing,Operating Trans Out-Subsidies,25000,,CID-BID Baseline Support,2000 - CID-BID Baseline Support,2440,9951
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Full Time Employees,868086,,Administration,1000 - Administration,5140,7020
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Time & One-half,5000,,Administration,1000 - Administration,5140,7055
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Employers FICA,66774,,Administration,1000 - Administration,5140,7105
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Hospitalization Insurance,177840,,Administration,1000 - Administration,5140,7110
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Retiree Health Care-OPEB,107450,,Administration,1000 - Administration,5140,7115
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Retirement Fund Contribution,197559,,Administration,1000 - Administration,5140,7120
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Unemployment Compensation,1209,,Administration,1000 - Administration,5140,7135
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Food-Clean-Car Allowance,4439,,Administration,1000 - Administration,5140,7175
FY19,Expense,Economic Development,Parking,Parking Operating,Supplies,Supplies,20000,,Administration,1000 - Administration,5140,7520
FY19,Expense,Economic Development,Parking,Parking Operating,Supplies,Subscriptions and Publications,500,,Administration,1000 - Administration,5140,7910
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Contractual Services,175000,,Administration,1000 - Administration,5140,8010
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Contract Employees-Temporary Services,225000,,Administration,1000 - Administration,5140,8011
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Fees,103000,,Administration,1000 - Administration,5140,8240
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Insurance Premiums,43790,,Administration,1000 - Administration,5140,8400
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Claims,110687,,Administration,1000 - Administration,5140,8450
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Telephone,10000,,Administration,1000 - Administration,5140,8500
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Employee Phone Reimbursement,600,,Administration,1000 - Administration,5140,8505
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Postage,5500,,Administration,1000 - Administration,5140,8510
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Community Promotion,200000,,Administration,1000 - Administration,5140,8800
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Professional Development,5000,,Administration,1000 - Administration,5140,9100
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Other Travel & Training,7000,,Administration,1000 - Administration,5140,9110
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Local Business Expense,2500,,Administration,1000 - Administration,5140,9130
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Memberships,2000,,Administration,1000 - Administration,5140,9150
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Equipment Rentals or Lease,4000,,Administration,1000 - Administration,5140,9410
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,45809,,Administration,1000 - Administration,5140,9430
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,311 Call Center Services,48013,,Administration,1000 - Administration,5140,9450
