FiscalYear,AccountType,FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,Account Description,FY2015 Budget
FY14-15,Expense,330,STORMWATER DRAINAGE,75,DRAINAGE CITY OPERATIONS,3301110,ENVIRONMENTAL,33011,Drainage Administration,52010028,MISCELLANEOUS SRVCS CONTRACTS,5000
FY14-15,Expense,330,STORMWATER DRAINAGE,75,DRAINAGE CITY OPERATIONS,3301110,ENVIRONMENTAL,33011,Drainage Administration,52280019,CHARGEBACK-VEHICLE MAINTENANCE,10286
FY14-15,Expense,330,STORMWATER DRAINAGE,75,DRAINAGE CITY OPERATIONS,3301110,ENVIRONMENTAL,33011,Drainage Administration,52280022,CHARGEBACK FUEL,14387
FY14-15,Expense,330,STORMWATER DRAINAGE,75,DRAINAGE CITY OPERATIONS,3301110,ENVIRONMENTAL,33011,Drainage Administration,52400007,OTHER EQUIPMENT RENTAL,500
FY14-15,Expense,330,STORMWATER DRAINAGE,75,DRAINAGE CITY OPERATIONS,3301110,ENVIRONMENTAL,33011,Drainage Administration,53010007,COMPUTER SUPPLIES,3000
FY14-15,Expense,330,STORMWATER DRAINAGE,75,DRAINAGE CITY OPERATIONS,3301110,ENVIRONMENTAL,33011,Drainage Administration,53040013,REPAIR & MAINTENANCE PARTS,7357
FY14-15,Expense,330,STORMWATER DRAINAGE,75,DRAINAGE CITY OPERATIONS,3301110,ENVIRONMENTAL,33011,Drainage Administration,53040025,SMALL TOOLS & MINOR EQUIP,14211
FY14-15,Expense,330,STORMWATER DRAINAGE,75,DRAINAGE CITY OPERATIONS,3301110,ENVIRONMENTAL,33011,Drainage Administration,53040031,OTHER EQUIPMENT,100000
FY14-15,Expense,330,STORMWATER DRAINAGE,75,DRAINAGE CITY OPERATIONS,3301110,ENVIRONMENTAL,33011,Drainage Administration,53890004,CLOTHING & OTHER,4395
FY14-15,Expense,17,COURT ADMIN & TRAINING,500,DRUG TRAF FINES-RSTR,4200841,POLICE TRAINING,42008,Police Public Safety Support,53890022,OTHER SUPPLIES,8200
FY14-15,Expense,750,SPECIAL PURPOSE,1643,ECON DEVEL-ASGN,9800010,NON-DEPT ECONOMIC DEVELOPMENT,98000,Non-Departmental - Operating,52000004,BUDGET-CONTINGENCY,1007501
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,52290010,CHARGEBACK-POSTAGE,400
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,52049001,EMPLOYEE TRAINING,2000
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,51010004,PART TIME & TEMPORARY WAGES,40000
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,51000013,BUDGET-SALARY RESERVE,36247
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200110,POLICE BUSINESS SERVICES,42001,Police Chiefs Office,51130001,UNIFORM ALLOWANCE,1358
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200110,POLICE BUSINESS SERVICES,42001,Police Chiefs Office,51070004,RETIREMENT PENSION CONTRIB,1008
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200110,POLICE BUSINESS SERVICES,42001,Police Chiefs Office,51010001,SALARIES AND WAGES,16699
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200110,POLICE BUSINESS SERVICES,42001,Police Chiefs Office,51070001,HEALTH AND WELFARE INSURANCE,2899
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200110,POLICE BUSINESS SERVICES,42001,Police Chiefs Office,51000004,BUDGET-VACANCY DISCOUNT,-355
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200110,POLICE BUSINESS SERVICES,42001,Police Chiefs Office,51070004,RETIREMENT PENSION CONTRIB,8172
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200110,POLICE BUSINESS SERVICES,42001,Police Chiefs Office,51010001,SALARIES AND WAGES,62859
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200110,POLICE BUSINESS SERVICES,42001,Police Chiefs Office,51070001,HEALTH AND WELFARE INSURANCE,8695
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200110,POLICE BUSINESS SERVICES,42001,Police Chiefs Office,51000004,BUDGET-VACANCY DISCOUNT,-1066
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,51000004,BUDGET-VACANCY DISCOUNT,-355
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,51000004,BUDGET-VACANCY DISCOUNT,-88171
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200101,POLICE EXEC LEADERSHIP,42001,Police Chiefs Office,51000004,BUDGET-VACANCY DISCOUNT,-683
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200105,POLICE HUMAN RESOURCES,42001,Police Chiefs Office,51000004,BUDGET-VACANCY DISCOUNT,-692
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200106,POLICE PUBLIC INFORMATION,42001,Police Chiefs Office,51000004,BUDGET-VACANCY DISCOUNT,-253
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200106,POLICE PUBLIC INFORMATION,42001,Police Chiefs Office,51070004,RETIREMENT PENSION CONTRIB,721
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200106,POLICE PUBLIC INFORMATION,42001,Police Chiefs Office,51010001,SALARIES AND WAGES,11943
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200106,POLICE PUBLIC INFORMATION,42001,Police Chiefs Office,51070001,HEALTH AND WELFARE INSURANCE,3478
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200101,POLICE EXEC LEADERSHIP,42001,Police Chiefs Office,51130001,UNIFORM ALLOWANCE,181
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,51070004,RETIREMENT PENSION CONTRIB,2724
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,51010001,SALARIES AND WAGES,20953
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,51070001,HEALTH AND WELFARE INSURANCE,2898
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,51130001,UNIFORM ALLOWANCE,2081
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,51070004,RETIREMENT PENSION CONTRIB,251030
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,51010001,SALARIES AND WAGES,4157419
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,51070001,HEALTH AND WELFARE INSURANCE,921643
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200101,POLICE EXEC LEADERSHIP,42001,Police Chiefs Office,51070004,RETIREMENT PENSION CONTRIB,1943
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200101,POLICE EXEC LEADERSHIP,42001,Police Chiefs Office,51010001,SALARIES AND WAGES,32182
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200101,POLICE EXEC LEADERSHIP,42001,Police Chiefs Office,51070001,HEALTH AND WELFARE INSURANCE,3478
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200105,POLICE HUMAN RESOURCES,42001,Police Chiefs Office,51070004,RETIREMENT PENSION CONTRIB,1970
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200105,POLICE HUMAN RESOURCES,42001,Police Chiefs Office,51010001,SALARIES AND WAGES,32622
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200105,POLICE HUMAN RESOURCES,42001,Police Chiefs Office,51070001,HEALTH AND WELFARE INSURANCE,7535
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,51010007,OVERTIME WAGES,139331
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,52000004,BUDGET-CONTINGENCY,273961
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,52130001,MEMBERSHIPS,500
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,52280004,CHARGEBACK-IT,1906906
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,52280007,CHARGEBACK-RISK MANAGEMENT,202468
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,52280013,CHARGEBACK-PRINT SHOP,1119
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,52890001,OTHER SERVICES AND CHARGES,2500
FY14-15,Expense,70,EMERGENCY MANAGEMENT,350,EMER MGMT E-911-CMTD,4200842,POLICE 911 COMMUNICATIONS,42008,Police Public Safety Support,53010001,OFFICE SUPPLIES,7069
FY14-15,Expense,17,COURT ADMIN & TRAINING,502,ENFRCMT & TRN-LEGAL-RSTR,700201,MUN COUN POLICE COURTS LEGAL,7002,Criminal Justice,53100004,LEGAL REFERENCE MATERIAL,2533
FY14-15,Expense,17,COURT ADMIN & TRAINING,502,ENFRCMT & TRN-LEGAL-RSTR,700202,MUN COUN PROSECUTION,7002,Criminal Justice,53100004,LEGAL REFERENCE MATERIAL,2533
FY14-15,Expense,17,COURT ADMIN & TRAINING,502,ENFRCMT & TRN-LEGAL-RSTR,700301,MUN COUN CIVIL LITIGATION,7003,Civil Litigation,53100004,LEGAL REFERENCE MATERIAL,2871
FY14-15,Expense,17,COURT ADMIN & TRAINING,502,ENFRCMT & TRN-LEGAL-RSTR,700201,MUN COUN POLICE COURTS LEGAL,7002,Criminal Justice,52370002,EMPLOYEE TRAVEL REIMBURSEMENT,2990
FY14-15,Expense,17,COURT ADMIN & TRAINING,502,ENFRCMT & TRN-LEGAL-RSTR,700202,MUN COUN PROSECUTION,7002,Criminal Justice,52370002,EMPLOYEE TRAVEL REIMBURSEMENT,2897
FY14-15,Expense,17,COURT ADMIN & TRAINING,502,ENFRCMT & TRN-LEGAL-RSTR,700301,MUN COUN CIVIL LITIGATION,7003,Civil Litigation,52370002,EMPLOYEE TRAVEL REIMBURSEMENT,2240
FY14-15,Expense,17,COURT ADMIN & TRAINING,502,ENFRCMT & TRN-LEGAL-RSTR,700201,MUN COUN POLICE COURTS LEGAL,7002,Criminal Justice,52049001,EMPLOYEE TRAINING,2660
FY14-15,Expense,17,COURT ADMIN & TRAINING,502,ENFRCMT & TRN-LEGAL-RSTR,700202,MUN COUN PROSECUTION,7002,Criminal Justice,52049001,EMPLOYEE TRAINING,2680
FY14-15,Expense,17,COURT ADMIN & TRAINING,502,ENFRCMT & TRN-LEGAL-RSTR,700301,MUN COUN CIVIL LITIGATION,7003,Civil Litigation,52049001,EMPLOYEE TRAINING,1910
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200841,POLICE TRAINING,42008,Police Public Safety Support,52010028,MISCELLANEOUS SRVCS CONTRACTS,3000
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200101,POLICE EXEC LEADERSHIP,42001,Police Chiefs Office,52049001,EMPLOYEE TRAINING,15000
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200621,POLICE PATROL,42006,Police Operational,52049001,EMPLOYEE TRAINING,15000
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200731,POLICE INVESTIGATIONS,42007,Police Investigations,52049001,EMPLOYEE TRAINING,15000
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200841,POLICE TRAINING,42008,Police Public Safety Support,52049001,EMPLOYEE TRAINING,10000
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200841,POLICE TRAINING,42008,Police Public Safety Support,53040013,REPAIR & MAINTENANCE PARTS,33000
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200841,POLICE TRAINING,42008,Police Public Safety Support,52040046,PROFESSIONAL SERVICES-OTHER,20000
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200101,POLICE EXEC LEADERSHIP,42001,Police Chiefs Office,52370002,EMPLOYEE TRAVEL REIMBURSEMENT,10000
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200621,POLICE PATROL,42006,Police Operational,52370002,EMPLOYEE TRAVEL REIMBURSEMENT,20000
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200731,POLICE INVESTIGATIONS,42007,Police Investigations,52370002,EMPLOYEE TRAVEL REIMBURSEMENT,5000
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200841,POLICE TRAINING,42008,Police Public Safety Support,52370002,EMPLOYEE TRAVEL REIMBURSEMENT,5000
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200841,POLICE TRAINING,42008,Police Public Safety Support,52340019,BUILDING MAINTENANCE,20000
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200841,POLICE TRAINING,42008,Police Public Safety Support,52890001,OTHER SERVICES AND CHARGES,5000
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200841,POLICE TRAINING,42008,Police Public Safety Support,52000004,BUDGET-CONTINGENCY,7000
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200841,POLICE TRAINING,42008,Police Public Safety Support,52340016,MACHINERY AND EQUIPMENT MTCE,8800
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200841,POLICE TRAINING,42008,Police Public Safety Support,52400007,OTHER EQUIPMENT RENTAL,8000
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200841,POLICE TRAINING,42008,Police Public Safety Support,53010001,OFFICE SUPPLIES,12200
FY14-15,Expense,17,COURT ADMIN & TRAINING,503,ENFRCMT & TRN-POLICE-RSTR,4200841,POLICE TRAINING,42008,Police Public Safety Support,53100001,EDUCATIONAL & TRAINING,140200
FY14-15,Expense,19,GRANTS MANAGEMENT,6660,ENVIR PROTECT AGCY-RSTR,2400507,PLANNING URBAN REDEV PLANNING,24005,Urban Redevelopment,51000001,BUDGET-PERSONAL SERVICES,61900
FY14-15,Expense,19,GRANTS MANAGEMENT,6660,ENVIR PROTECT AGCY-RSTR,2400507,PLANNING URBAN REDEV PLANNING,24005,Urban Redevelopment,52000001,BUDGET-OTHER SRVCS & CHARGES,1133700
FY14-15,Expense,19,GRANTS MANAGEMENT,6660,ENVIR PROTECT AGCY-RSTR,2400507,PLANNING URBAN REDEV PLANNING,24005,Urban Redevelopment,53000001,BUDGET-MATERIALS AND SUPPLIES,2700
FY14-15,Expense,760,HOTEL MOTEL TAX SPEC REVENUE,1903,EVENT SPNSRSHP/PROMO-RSTR,9800301,CONVENTION & TOURISM,98003,Convention & Tourism,52000004,BUDGET-CONTINGENCY,23874
FY14-15,Expense,760,HOTEL MOTEL TAX SPEC REVENUE,1903,EVENT SPNSRSHP/PROMO-RSTR,9800301,CONVENTION & TOURISM,98003,Convention & Tourism,52040019,MANAGEMENT FEES,1400000
FY14-15,Expense,760,HOTEL MOTEL TAX SPEC REVENUE,1903,EVENT SPNSRSHP/PROMO-RSTR,9800301,CONVENTION & TOURISM,98003,Convention & Tourism,52280001,CHARGEBACK-ADMIN SRVCS,24352
FY14-15,Expense,760,HOTEL MOTEL TAX SPEC REVENUE,1902,FAIR CAPITAL IMPROV-RSTR,9800301,CONVENTION & TOURISM,98003,Convention & Tourism,52280001,CHARGEBACK-ADMIN SRVCS,146110
FY14-15,Expense,760,HOTEL MOTEL TAX SPEC REVENUE,1902,FAIR CAPITAL IMPROV-RSTR,9800301,CONVENTION & TOURISM,98003,Convention & Tourism,59010022,TRANSFER TO OCPPA FAIRGROUNDS,2825527
FY14-15,Expense,760,HOTEL MOTEL TAX SPEC REVENUE,1902,FAIR CAPITAL IMPROV-RSTR,9800301,CONVENTION & TOURISM,98003,Convention & Tourism,59010196,TRANSFER TO OCPPA-DEBT SERV,8105881
FY14-15,Expense,22,ASSET FORFEITURE,120,FED ASSET FORF-RSTR,4200101,POLICE EXEC LEADERSHIP,42001,Police Chiefs Office,53040031,OTHER EQUIPMENT,40000
FY14-15,Expense,22,ASSET FORFEITURE,120,FED ASSET FORF-RSTR,4200841,POLICE TRAINING,42008,Police Public Safety Support,53040031,OTHER EQUIPMENT,40000
FY14-15,Expense,22,ASSET FORFEITURE,120,FED ASSET FORF-RSTR,4200733,POLICE SPECIAL INVESTIGATIONS,42007,Police Investigations,52890001,OTHER SERVICES AND CHARGES,5000
FY14-15,Expense,22,ASSET FORFEITURE,120,FED ASSET FORF-RSTR,4200621,POLICE PATROL,42006,Police Operational,53040031,OTHER EQUIPMENT,40000
FY14-15,Expense,22,ASSET FORFEITURE,120,FED ASSET FORF-RSTR,4200732,POLICE INVESTIGATIONS SUPPORT,42007,Police Investigations,52000004,BUDGET-CONTINGENCY,105000
FY14-15,Expense,22,ASSET FORFEITURE,120,FED ASSET FORF-RSTR,4200732,POLICE INVESTIGATIONS SUPPORT,42007,Police Investigations,52890001,OTHER SERVICES AND CHARGES,5000
FY14-15,Expense,22,ASSET FORFEITURE,120,FED ASSET FORF-RSTR,4200733,POLICE SPECIAL INVESTIGATIONS,42007,Police Investigations,52340019,BUILDING MAINTENANCE,10000
FY14-15,Expense,22,ASSET FORFEITURE,120,FED ASSET FORF-RSTR,4200733,POLICE SPECIAL INVESTIGATIONS,42007,Police Investigations,52890001,OTHER SERVICES AND CHARGES,50000
FY14-15,Expense,22,ASSET FORFEITURE,120,FED ASSET FORF-RSTR,4200733,POLICE SPECIAL INVESTIGATIONS,42007,Police Investigations,53010007,COMPUTER SUPPLIES,30000
FY14-15,Expense,22,ASSET FORFEITURE,120,FED ASSET FORF-RSTR,4200733,POLICE SPECIAL INVESTIGATIONS,42007,Police Investigations,53040031,OTHER EQUIPMENT,125000
FY14-15,Expense,22,ASSET FORFEITURE,120,FED ASSET FORF-RSTR,4200733,POLICE SPECIAL INVESTIGATIONS,42007,Police Investigations,53890022,OTHER SUPPLIES,50000
FY14-15,Expense,750,SPECIAL PURPOSE,1635,FEE IN LIEU OF SIDEWALKS-CMTD,3307000,PUBLIC WORKS SPECIAL PURPOSE,33070,Public Works Special Purpose,54040007,CONSTRUCTION IN PROGRESS,331186
FY14-15,Expense,750,SPECIAL PURPOSE,1616,FIRE DEPT DONATIONS-RSTR,4507001,EXPEND FM DISASTER DONATIONS,45070,Fire Special Purpose,52049001,EMPLOYEE TRAINING,10556
FY14-15,Expense,750,SPECIAL PURPOSE,1616,FIRE DEPT DONATIONS-RSTR,4507001,EXPEND FM DISASTER DONATIONS,45070,Fire Special Purpose,53890001,PURCHASING CARD PR,1178
FY14-15,Expense,750,SPECIAL PURPOSE,1616,FIRE DEPT DONATIONS-RSTR,4507003,SMOKE ALARMS,45070,Fire Special Purpose,53040031,OTHER EQUIPMENT,21333
FY14-15,Expense,750,SPECIAL PURPOSE,1616,FIRE DEPT DONATIONS-RSTR,4507001,EXPEND FM DISASTER DONATIONS,45070,Fire Special Purpose,52890001,OTHER SERVICES AND CHARGES,458
FY14-15,Expense,750,SPECIAL PURPOSE,1616,FIRE DEPT DONATIONS-RSTR,4507001,EXPEND FM DISASTER DONATIONS,45070,Fire Special Purpose,53040031,OTHER EQUIPMENT,370
FY14-15,Expense,750,SPECIAL PURPOSE,1616,FIRE DEPT DONATIONS-RSTR,4507001,EXPEND FM DISASTER DONATIONS,45070,Fire Special Purpose,53890004,CLOTHING & OTHER,8023
FY14-15,Expense,750,SPECIAL PURPOSE,1616,FIRE DEPT DONATIONS-RSTR,4507005,FIRE SPECIAL PURPOSE EXPENSES,45070,Fire Special Purpose,53010004,GRAPHICS SUPPLIES,1000
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500303,FIRE INVESTIGATIONS,45003,Fire Prevention,51010008,OVERTIME WAGES - FIRE,22922
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500401,FIRE DISPATCH,45004,Support Services,51010010,ACCRUED LEAVE PAYOUT,6472
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500110,FIRE BUSINESS SERVICES,45001,Fire Administration,52010028,MISCELLANEOUS SRVCS CONTRACTS,20000
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500110,FIRE BUSINESS SERVICES,45001,Fire Administration,53010013,NON-CAPITAL OFFICE MACHINES,40000
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500110,FIRE BUSINESS SERVICES,45001,Fire Administration,53160022,RADIOS & OTHER EQUIP,70000
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500402,FIRE MAINTENANCE SERVICES,45004,Support Services,53040031,OTHER EQUIPMENT,150000
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500402,FIRE MAINTENANCE SERVICES,45004,Support Services,53160007,MEDICAL SAFETY SUPPLIES,100000
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500402,FIRE MAINTENANCE SERVICES,45004,Support Services,53160019,FIRE HOSE,30000
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500101,FIRE EXECUTIVE LEADERSHIP,45001,Fire Administration,51000004,BUDGET-VACANCY DISCOUNT,-1325
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500204,OPERATIONS TRAINING,45002,Fire Operations,51000004,BUDGET-VACANCY DISCOUNT,-51988
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500110,FIRE BUSINESS SERVICES,45001,Fire Administration,51130001,UNIFORM ALLOWANCE,7835
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500110,FIRE BUSINESS SERVICES,45001,Fire Administration,51010019,EMPLOYEE INCENTIVE,12598
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500110,FIRE BUSINESS SERVICES,45001,Fire Administration,51070004,RETIREMENT PENSION CONTRIB,69266
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500110,FIRE BUSINESS SERVICES,45001,Fire Administration,51010001,SALARIES AND WAGES,489442
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500110,FIRE BUSINESS SERVICES,45001,Fire Administration,51070001,HEALTH AND WELFARE INSURANCE,61986
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500110,FIRE BUSINESS SERVICES,45001,Fire Administration,51070004,RETIREMENT PENSION CONTRIB,9144
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500110,FIRE BUSINESS SERVICES,45001,Fire Administration,51010001,SALARIES AND WAGES,151417
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500110,FIRE BUSINESS SERVICES,45001,Fire Administration,51070001,HEALTH AND WELFARE INSURANCE,26084
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500402,FIRE MAINTENANCE SERVICES,45004,Support Services,51000004,BUDGET-VACANCY DISCOUNT,-1153
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500201,FIRE SUPRESSION OPERATIONS,45002,Fire Operations,51000004,BUDGET-VACANCY DISCOUNT,-28460
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500203,EMERGENCY MEDICAL SERVICES,45002,Fire Operations,51000004,BUDGET-VACANCY DISCOUNT,-142953
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500301,PUBLIC SAFETY EDUCATION,45003,Fire Prevention,51000004,BUDGET-VACANCY DISCOUNT,-12202
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500302,PREVENTION INSPECTION AND CODE,45003,Fire Prevention,51000004,BUDGET-VACANCY DISCOUNT,-4667
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500101,FIRE EXECUTIVE LEADERSHIP,45001,Fire Administration,51000004,BUDGET-VACANCY DISCOUNT,-1339
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500401,FIRE DISPATCH,45004,Support Services,51130001,UNIFORM ALLOWANCE,2876
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500401,FIRE DISPATCH,45004,Support Services,51010019,EMPLOYEE INCENTIVE,1304
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500401,FIRE DISPATCH,45004,Support Services,51070004,RETIREMENT PENSION CONTRIB,19333
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500401,FIRE DISPATCH,45004,Support Services,51010001,SALARIES AND WAGES,138830
FY14-15,Expense,30,FIRE,150,FIRE SALES TAX-RSTR,4500401,FIRE DISPATCH,45004,Support Services,51070001,HEALTH AND WELFARE INSURANCE,22748
