Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount
FY20,Revenue,Treasury,Treasurer,Capital Reserve,Taxes,Real Property Taxes,5121893
FY20,Revenue,Treasury,Treasurer,Capital Reserve,Taxes,Personal Property Taxes,452027
FY20,Revenue,Treasury,Treasurer,Capital Reserve,Taxes,"Allowance for Refunds-BOR, MTT",-11000
FY20,Revenue,Treasury,Treasurer,Capital Reserve,Taxes,Allowance for Charge Backs,26928
FY20,Revenue,Treasury,Treasurer,Capital Reserve,Taxes,Payment In Lieu of Taxes,30361
FY20,Revenue,Treasury,Treasurer,Capital Reserve,Taxes,Industrial Facilities Tax,12343
FY20,Revenue,Treasury,Treasurer,Capital Reserve,Taxes,Penalty & Interest on Property Taxes,19000
FY20,Revenue,Treasury,Treasurer,Capital Reserve,State Grants,Local Community Stabilization Share,30774
FY20,Expense,Treasury,Treasurer,General Fund Operating,Supplies,Supplies,2500
FY20,Expense,Treasury,Treasurer,General Fund Operating,Other Services and Charges,Contractual Services,59500
FY20,Expense,Treasury,Treasurer,General Fund Operating,Other Services and Charges,Postage,10000
FY20,Expense,Treasury,Treasurer,General Fund Operating,Other Services and Charges,Maintenance Service,500
FY20,Expense,Treasury,Treasurer,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,3000
FY20,Expense,Treasury,Treasurer,General Fund Operating,Supplies,Supplies,2500
FY20,Expense,Treasury,Treasurer,General Fund Operating,Personnel Services,Full Time Employees,223468
FY20,Expense,Treasury,Treasurer,General Fund Operating,Personnel Services,Employers FICA,17094
FY20,Expense,Treasury,Treasurer,General Fund Operating,Personnel Services,Hospitalization Insurance,60036
FY20,Expense,Treasury,Treasurer,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,19100
FY20,Expense,Treasury,Treasurer,General Fund Operating,Personnel Services,Retirement Fund Contribution,50547
FY20,Expense,Treasury,Treasurer,General Fund Operating,Personnel Services,Unemployment Compensation,320
FY20,Expense,Treasury,Treasurer,General Fund Operating,Other Services and Charges,Contractual Services,7000
FY20,Expense,Treasury,Treasurer,General Fund Operating,Other Services and Charges,Contract Employees-Temporary Services,30000
FY20,Expense,Treasury,Treasurer,General Fund Operating,Other Services and Charges,Fees,7500
FY20,Expense,Treasury,Treasurer,General Fund Operating,Other Services and Charges,Postage,18000
FY20,Expense,Treasury,Treasurer,General Fund Operating,Other Services and Charges,Memberships,100
FY20,Expense,Treasury,Treasurer,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,1000
FY20,Expense,Treasury,Treasurer,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,11103
FY20,Expense,Treasury,Treasurer,General Fund Operating,Other Services and Charges,Employee Parking,3500
FY20,Revenue,Treasury,Treasurer,General Fund Operating,Other Revenues,Bad Check Fees,500
FY20,Revenue,Treasury,Treasurer,General Fund Operating,Fines & Forfeitures,Parking Fines,1800000
FY20,Expense,Treasury,Treasurer,Refuse Collection,Supplies,Supplies,300
FY20,Expense,Treasury,Treasurer,Refuse Collection,Capital Outlays,Equipment,150
FY20,Expense,Treasury,Treasurer,Refuse Collection,Personnel Services,Full Time Employees,22448
FY20,Expense,Treasury,Treasurer,Refuse Collection,Personnel Services,Employers FICA,1716
FY20,Expense,Treasury,Treasurer,Refuse Collection,Personnel Services,Hospitalization Insurance,3072
FY20,Expense,Treasury,Treasurer,Refuse Collection,Personnel Services,Retiree Health Care-OPEB,1919
FY20,Expense,Treasury,Treasurer,Refuse Collection,Personnel Services,Retirement Fund Contribution,5071
FY20,Expense,Treasury,Treasurer,Refuse Collection,Personnel Services,Unemployment Compensation,36
FY20,Expense,Treasury,Treasurer,Refuse Collection,Other Services and Charges,Fees,162500
FY20,Expense,Treasury,Treasurer,Refuse Collection,Other Services and Charges,Claims,466
FY20,Expense,Treasury,Treasurer,Refuse Collection,Other Services and Charges,Postage,150
FY20,Expense,Treasury,Treasurer,Refuse Collection,Other Services and Charges,Computer Services-from IT,3222
FY20,Expense,Treasury,Treasurer,Water Operations,Supplies,Supplies,3500
FY20,Expense,Treasury,Treasurer,Water Operations,Capital Outlays,Equipment,500
FY20,Expense,Treasury,Treasurer,Water Operations,Personnel Services,Full Time Employees,84870
FY20,Expense,Treasury,Treasurer,Water Operations,Personnel Services,Employers FICA,6479
FY20,Expense,Treasury,Treasurer,Water Operations,Personnel Services,Hospitalization Insurance,23088
FY20,Expense,Treasury,Treasurer,Water Operations,Personnel Services,Retiree Health Care-OPEB,7251
FY20,Expense,Treasury,Treasurer,Water Operations,Personnel Services,Retirement Fund Contribution,19214
FY20,Expense,Treasury,Treasurer,Water Operations,Personnel Services,Unemployment Compensation,132
FY20,Expense,Treasury,Treasurer,Water Operations,Other Services and Charges,Contractual Services,10000
FY20,Expense,Treasury,Treasurer,Water Operations,Other Services and Charges,Fees,577500
FY20,Expense,Treasury,Treasurer,Water Operations,Other Services and Charges,Claims,2354
FY20,Expense,Treasury,Treasurer,Water Operations,Other Services and Charges,Postage,1300
FY20,Expense,Treasury,Treasurer,Water Operations,Other Services and Charges,Maintenance Service,625
FY20,Expense,Treasury,Treasurer,Water Operations,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,9431
FY20,Expense,Treasury,Treasurer,Water Operations,Other Services and Charges,Employee Parking,3500
FY20,Expense,Treasury,Treasurer,Water Operations,Other Services and Charges,Computer Services-from IT,29784
FY20,Revenue,Treasury,Treasurer,General Fund Operating,Taxes,Real Property Taxes,39794
FY20,Revenue,Treasury,Treasurer,General Fund Operating,Taxes,Personal Property Taxes,3678
FY20,Revenue,Treasury,Treasurer,General Fund Operating,Taxes,"Allowance for Refunds-BOR, MTT",-125
FY20,Revenue,Treasury,Treasurer,General Fund Operating,Taxes,Allowance for Charge Backs,200
FY20,Revenue,Treasury,Treasurer,General Fund Operating,Taxes,Payment In Lieu of Taxes,259
FY20,Revenue,Treasury,Treasurer,General Fund Operating,Taxes,Industrial Facilities Tax,112
FY20,Revenue,Treasury,Treasurer,General Fund Operating,Taxes,Penalty & Interest on Property Taxes,150
FY20,Revenue,Treasury,Treasurer,General Fund Operating,State Grants,Local Community Stabilization Share,263
FY20,Revenue,Treasury,Treasurer,General Fund Operating,Charges for Services,Service Fees-General,6000
FY20,Revenue,Treasury,Treasurer,General Fund Operating,Other Revenues,Interest-Penalties on Special Assessment,100000
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Supplies,Supplies,15000
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Supplies,Subscriptions and Publications,500
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Capital Outlays,Computer Equipment,2000
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Personnel Services,Full Time Employees,293148
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Personnel Services,Employers FICA,22428
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Personnel Services,Hospitalization Insurance,48492
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,25068
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Personnel Services,Retirement Fund Contribution,66348
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Personnel Services,Unemployment Compensation,408
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,100
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Postage,1000
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Printing & Publishing,5000
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Professional Development,10000
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Memberships,3000
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,72
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,45875
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,311 Call Center Services,3602
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Employee Parking,8256
FY20,Expense,Purchasing,Purchasing,General Fund Operating,Other Services and Charges,Computer Services-from IT,79246
FY20,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Supplies,Supplies,2500
FY20,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Personnel Services,Full Time Employees,105717
FY20,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Personnel Services,Employers FICA,8084
FY20,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Personnel Services,Hospitalization Insurance,19248
FY20,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Personnel Services,Retiree Health Care-OPEB,9032
FY20,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Personnel Services,Retirement Fund Contribution,23917
FY20,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Personnel Services,Unemployment Compensation,156
FY20,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Other Services and Charges,Contractual Services,98912
FY20,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Other Services and Charges,Claims,6009
FY20,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Other Services and Charges,Professional Development,3500
FY20,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,8800
FY20,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Other Services and Charges,Employee Parking,2838
FY20,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Other Services and Charges,Computer Services-from IT,7476
FY20,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Other Services and Charges,A-87 Cost Allocation,26150
FY20,Revenue,Authorities,SmartZone LDFA,SmartZone LDFA,Taxes,Real Property Taxes,1147582
FY20,Revenue,Authorities,SmartZone LDFA,SmartZone LDFA,Taxes,"Allowance for Refunds-BOR, MTT",-60000
FY20,Revenue,Authorities,SmartZone LDFA,SmartZone LDFA,State Grants,Other State of MI Agencies-Grants,100000
FY20,Revenue,Authorities,SmartZone LDFA,SmartZone LDFA,Investment Income & Rentals,Interest on Investment,101430
FY20,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Other Services and Charges,Contractual Services,1559325
FY20,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Other Financing,Operating Trans Out-Subsidies,25000
FY20,Expense,Authorities,Corridor Improvement Districts,Southtown Corridor Improvement District,Supplies,Supplies,20000
FY20,Expense,Authorities,Corridor Improvement Districts,Southtown Corridor Improvement District,Capital Outlays,Construction In Progress,60000
FY20,Expense,Authorities,Corridor Improvement Districts,Southtown Corridor Improvement District,Other Services and Charges,Contractual Services,65000
FY20,Revenue,Authorities,Corridor Improvement Districts,Southtown Corridor Improvement District,Taxes,Real Property Taxes,150387
FY20,Revenue,Authorities,Corridor Improvement Districts,Southtown Corridor Improvement District,Taxes,"Allowance for Refunds-BOR, MTT",-500
FY20,Revenue,Authorities,Corridor Improvement Districts,Southtown Corridor Improvement District,Investment Income & Rentals,Interest on Investment,3030
FY20,Expense,Authorities,Corridor Improvement Districts,North Quarter Corridor Improvement District,Supplies,Supplies,5000
FY20,Expense,Authorities,Corridor Improvement Districts,North Quarter Corridor Improvement District,Other Services and Charges,Contractual Services,2500
FY20,Revenue,Authorities,Corridor Improvement Districts,North Quarter Corridor Improvement District,Other Revenues,Restricted Contributions,6000
FY20,Revenue,Authorities,Corridor Improvement Districts,North Quarter Corridor Improvement District,Investment Income & Rentals,Interest on Investment,242
FY20,Expense,Authorities,Corridor Improvement Districts,Uptown Corridor Improvement District,Capital Outlays,Construction In Progress,70000
FY20,Expense,Authorities,Corridor Improvement Districts,Uptown Corridor Improvement District,Other Services and Charges,Contractual Services,32750
FY20,Expense,Authorities,Corridor Improvement Districts,Uptown Corridor Improvement District,Other Services and Charges,Administrative Services,21600
FY20,Revenue,Authorities,Corridor Improvement Districts,Uptown Corridor Improvement District,Taxes,Real Property Taxes,127521
FY20,Revenue,Authorities,Corridor Improvement Districts,Uptown Corridor Improvement District,Taxes,"Allowance for Refunds-BOR, MTT",-500
FY20,Revenue,Authorities,Corridor Improvement Districts,Uptown Corridor Improvement District,Investment Income & Rentals,Interest on Investment,1770
FY20,Expense,Authorities,Corridor Improvement Districts,West Side Corridor Improvement District,Supplies,Supplies,20000
FY20,Expense,Authorities,Corridor Improvement Districts,West Side Corridor Improvement District,Capital Outlays,Construction In Progress,15000
FY20,Expense,Authorities,Corridor Improvement Districts,West Side Corridor Improvement District,Other Services and Charges,Contractual Services,75000
FY20,Expense,Authorities,Corridor Improvement Districts,West Side Corridor Improvement District,Other Services and Charges,Community Promotion,15000
FY20,Revenue,Authorities,Corridor Improvement Districts,West Side Corridor Improvement District,Taxes,Real Property Taxes,111021
FY20,Revenue,Authorities,Corridor Improvement Districts,West Side Corridor Improvement District,Taxes,"Allowance for Refunds-BOR, MTT",-500
FY20,Revenue,Authorities,Corridor Improvement Districts,West Side Corridor Improvement District,Investment Income & Rentals,Interest on Investment,1579
FY20,Expense,Authorities,Corridor Improvement Districts,Michigan Street Corridor Improvement District,Supplies,Supplies,5000
FY20,Expense,Authorities,Corridor Improvement Districts,Michigan Street Corridor Improvement District,Capital Outlays,Construction In Progress,5000
FY20,Expense,Authorities,Corridor Improvement Districts,Michigan Street Corridor Improvement District,Other Services and Charges,Contractual Services,8300
FY20,Revenue,Authorities,Corridor Improvement Districts,Michigan Street Corridor Improvement District,Taxes,Real Property Taxes,17081
FY20,Revenue,Authorities,Corridor Improvement Districts,Michigan Street Corridor Improvement District,Taxes,"Allowance for Refunds-BOR, MTT",-500
FY20,Revenue,Authorities,Corridor Improvement Districts,Michigan Street Corridor Improvement District,Investment Income & Rentals,Interest on Investment,629
FY20,Expense,Authorities,Downtown Development Authority,DDA School Tax Increment,Debt Service,Principal,6275000
FY20,Expense,Authorities,Downtown Development Authority,DDA School Tax Increment,Debt Service,Interest to Financial Institution,955500
FY20,Revenue,Authorities,Downtown Development Authority,DDA School Tax Increment,Taxes,Real Property Taxes,8784368
FY20,Revenue,Authorities,Downtown Development Authority,DDA School Tax Increment,Taxes,"Allowance for Refunds-BOR, MTT",-75000
FY20,Revenue,Authorities,Downtown Development Authority,DDA School Tax Increment,Taxes,Allowance for Charge Backs,-1250000
FY20,Revenue,Authorities,Downtown Development Authority,DDA School Tax Increment,Investment Income & Rentals,Interest on Investment,12413
FY20,Expense,Authorities,Downtown Development Authority,DDA Non Tax Increment,Supplies,Supplies,5517
FY20,Revenue,Authorities,Downtown Development Authority,DDA Non Tax Increment,Other Revenues,Interest-Penalties on Special Assessment,15000
FY20,Revenue,Authorities,Downtown Development Authority,DDA Non Tax Increment,Other Revenues,Restricted Contributions,125000
FY20,Revenue,Authorities,Downtown Development Authority,DDA Non Tax Increment,Other Revenues,Reimbursements,26029
FY20,Revenue,Authorities,Downtown Development Authority,DDA Non Tax Increment,Other Revenues,Float Loan Repayments,100000
FY20,Revenue,Authorities,Downtown Development Authority,DDA Non Tax Increment,Charges for Services,Parking Fees-DDA Arena Operation,226253
FY20,Revenue,Authorities,Downtown Development Authority,DDA Non Tax Increment,Investment Income & Rentals,Interest on Investment,44505
FY20,Revenue,Authorities,Downtown Development Authority,DDA Non Tax Increment,Investment Income & Rentals,Other Interest Income,17498
FY20,Revenue,Authorities,Downtown Development Authority,DDA Non Tax Increment,Investment Income & Rentals,Rentals-Facilities,53071
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Debt Service,Principal,289750
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Debt Service,Interest to Financial Institution,52058
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Debt Service,Paying Agent Fees,1250
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Other Financing,Operating Trans Out-Subsidies,75000
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Personnel Services,Full Time Employees,33096
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Personnel Services,Employers FICA,2532
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Personnel Services,Hospitalization Insurance,5076
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Personnel Services,Retiree Health Care-OPEB,2832
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Personnel Services,Retirement Fund Contribution,7488
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Personnel Services,Unemployment Compensation,48
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Other Services and Charges,Contractual Services,1089982
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Other Services and Charges,Claims,12566
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Other Services and Charges,A-87 Cost Allocation,128665
FY20,Revenue,Authorities,Downtown Development Authority,DDA Local Tax Increment,Taxes,Real Property Taxes,6225709
FY20,Revenue,Authorities,Downtown Development Authority,DDA Local Tax Increment,Taxes,"Allowance for Refunds-BOR, MTT",-75000
FY20,Revenue,Authorities,Downtown Development Authority,DDA Local Tax Increment,Taxes,Allowance for Charge Backs,-622571
FY20,Revenue,Authorities,Downtown Development Authority,DDA Local Tax Increment,Other Revenues,Restricted Contributions,1500000
FY20,Revenue,Authorities,Downtown Development Authority,DDA Local Tax Increment,Other Revenues,Reimbursements,33540
FY20,Revenue,Authorities,Downtown Development Authority,DDA Local Tax Increment,Investment Income & Rentals,Interest on Investment,46610
FY20,Expense,Authorities,Downtown Development Authority,DDA Non Tax Increment,Supplies,Supplies,545000
FY20,Expense,Authorities,Downtown Development Authority,DDA Non Tax Increment,Other Services and Charges,Contractual Services,538000
FY20,Expense,Authorities,Downtown Development Authority,DDA Non Tax Increment,Other Services and Charges,Community Promotion,150000
FY20,Expense,Authorities,Downtown Development Authority,DDA Non Tax Increment,Other Services and Charges,Electricity,10000
FY20,Expense,Authorities,Downtown Development Authority,DDA Non Tax Increment,Other Services and Charges,Maintenance Service,32000
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Supplies,Supplies,500000
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Capital Outlays,Construction In Progress,2908000
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Other Services and Charges,Contractual Services,1065000
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Other Services and Charges,Community Promotion,350000
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Other Services and Charges,Developer Proj TIR Reimbursement,1400000
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Other Services and Charges,Maintenance Service,150000
FY20,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Other Services and Charges,Equipment Rentals or Lease,100000
FY20,Expense,Authorities,GV Regional BioSolid Authority,Bio-Solids Operating Fund,Supplies,Supplies,758000
FY20,Expense,Authorities,GV Regional BioSolid Authority,Bio-Solids Operating Fund,Debt Service,Interest to Financial Institution,385803
FY20,Expense,Authorities,GV Regional BioSolid Authority,Bio-Solids Operating Fund,Other Services and Charges,Contractual Services,4519910
FY20,Expense,Authorities,GV Regional BioSolid Authority,Bio-Solids Operating Fund,Other Services and Charges,Equipment Rentals or Lease,409760
FY20,Expense,Authorities,GV Regional BioSolid Authority,Bio-Solids Operating Fund,Other Services and Charges,A-87 Cost Allocation,1532
FY20,Revenue,Authorities,GV Regional BioSolid Authority,Bio-Solids Operating Fund,Other Revenues,Unrestricted Contributions,7843473
FY20,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Supplies,Supplies,161500
FY20,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Debt Service,Principal,35400
FY20,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Debt Service,Interest to Financial Institution,2240
FY20,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Capital Outlays,Construction In Progress,360000
FY20,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Personnel Services,Full Time Employees,3012
FY20,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Personnel Services,Employers FICA,240
FY20,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Personnel Services,Hospitalization Insurance,456
FY20,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Personnel Services,Retiree Health Care-OPEB,252
FY20,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Personnel Services,Retirement Fund Contribution,684
FY20,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Other Services and Charges,Contractual Services,315060
FY20,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Other Services and Charges,Administrative Services,62246
FY20,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Other Services and Charges,Claims,917
FY20,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Other Services and Charges,Community Promotion,25000
FY20,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Other Services and Charges,Maintenance Service,10000
FY20,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Other Services and Charges,Equipment Rentals or Lease,80000
FY20,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Other Services and Charges,A-87 Cost Allocation,27567
FY20,Revenue,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Taxes,Real Property Taxes,419497
FY20,Revenue,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Taxes,"Allowance for Refunds-BOR, MTT",-7500
FY20,Revenue,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,State Grants,Other State of MI Agencies-Grants,114000
FY20,Revenue,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Investment Income & Rentals,Interest on Investment,13212
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Supplies,Supplies,6000
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Debt Service,Principal,163000
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Full Time Employees,213076
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Employers FICA,16300
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Hospitalization Insurance,40200
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Retiree Health Care-OPEB,18212
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Retirement Fund Contribution,48226
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Unemployment Compensation,312
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Contractual Services,50060
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Claims,10030
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Employee Phone Reimbursement,800
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Professional Development,5900
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,13200
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Employee Parking,5100
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Computer Services-from IT,14926
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,A-87 Cost Allocation,64554
FY20,Revenue,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Taxes,"Allowance for Refunds-BOR, MTT",-30000
FY20,Revenue,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Taxes,Penalty & Interest on Property Taxes,-1000
FY20,Revenue,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Charges for Services,Processing Fees,81280
FY20,Revenue,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Charges for Services,Management Fee,14190
FY20,Revenue,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Investment Income & Rentals,Interest on Investment,60412
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Debt Service,Interest to Financial Institution,69548
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Contractual Services,517980
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Developer Proj TIR Reimbursement,6955647
FY20,Revenue,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Taxes,Real Property Taxes,7613195
FY20,Revenue,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Federal Grants,Environmental Protection Agency,534000
FY20,Revenue,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Financing Sources,Operating Transfers-Subsidy,75000
FY20,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Revolving Loan Fund,Other Services and Charges,Community Promotion,1534551
FY20,Revenue,Authorities,Brownfield Redevelopment Authority,Brownfield Revolving Loan Fund,Taxes,Real Property Taxes,1534551
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Supplies,Subscriptions and Publications,450
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Personnel Services,Full Time Employees,486628
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Personnel Services,Employers FICA,37236
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Personnel Services,Hospitalization Insurance,107772
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,41612
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Personnel Services,Retirement Fund Contribution,110131
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Personnel Services,Unemployment Compensation,680
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Other Services and Charges,Professional Development,8500
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Other Services and Charges,Other Travel & Training,4000
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Other Services and Charges,Memberships,1000
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Other Services and Charges,Employee Parking,11738
FY20,Revenue,Comptroller,Comptroller,General Fund Operating,Other Revenues,Reimbursements,1500
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Supplies,Supplies,33775
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Supplies,Subscriptions and Publications,1200
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Capital Outlays,Computer Equipment,12500
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Personnel Services,Full Time Employees,228168
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Personnel Services,Employers FICA,17460
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Personnel Services,Hospitalization Insurance,46188
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,19512
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Personnel Services,Retirement Fund Contribution,51648
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Personnel Services,Unemployment Compensation,324
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Other Services and Charges,Contractual Services,20000
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Other Services and Charges,Contract Employees-Temporary Services,10000
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Other Services and Charges,Fees,950
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Other Services and Charges,Claims,18610
FY20,Expense,Comptroller,Comptroller,General Fund Operating,Other Services and Charges,Telephone,1300
