Budget type,DEPARTMENT_NAME,DIVISION_NAME,ORG_NAME,ORG_DESC,FUND,FUND_NAME,ACCT_TYPE,ACCT_CAT,ACCT_CODE,ACCT_DESCR,AMOUNT
FY20,Treasury,Treasurer,Interest,6010 - Interest,2652,Federal Forfeitures-Dept of Justice,Revenue,Investment Income & Rentals,6651,Interest on Investment,3691
FY20,Treasury,Treasurer,Interest,6010 - Interest,2653,Federal Forfeitures-Treasury Dept,Revenue,Investment Income & Rentals,6651,Interest on Investment,175
FY20,Treasury,Treasurer,Interest,6010 - Interest,2710,Public Library Operating,Revenue,Investment Income & Rentals,6651,Interest on Investment,147315
FY20,Treasury,Treasurer,Interest,6010 - Interest,2711,Public Library Grants/Projects,Revenue,Investment Income & Rentals,6651,Interest on Investment,43750
FY20,Treasury,Treasurer,Interest,6010 - Interest,2712,Library Trust,Revenue,Investment Income & Rentals,6651,Interest on Investment,8686
FY20,Treasury,Treasurer,Interest,6010 - Interest,4011,Capital Reserve,Revenue,Investment Income & Rentals,6651,Interest on Investment,385256
FY20,Treasury,Treasurer,Interest,6010 - Interest,5020,Cemetery Operating,Revenue,Investment Income & Rentals,6651,Interest on Investment,11690
FY20,Treasury,Treasurer,Interest,6010 - Interest,5080,Belknap Ice Arena,Revenue,Investment Income & Rentals,6651,Interest on Investment,10500
FY20,Treasury,Treasurer,Interest,6010 - Interest,5140,Parking Operating,Revenue,Investment Income & Rentals,6651,Interest on Investment,584355
FY20,Treasury,Treasurer,Interest,6010 - Interest,5840,Golf Course,Revenue,Investment Income & Rentals,6651,Interest on Investment,2435
FY20,Treasury,Treasurer,Interest,6010 - Interest,5900,Sewer Disposal Operations,Revenue,Investment Income & Rentals,6651,Interest on Investment,1015393
FY20,Treasury,Treasurer,Interest,6010 - Interest,5910,Water Operations,Revenue,Investment Income & Rentals,6651,Interest on Investment,787605
FY20,Treasury,Treasurer,Interest,6010 - Interest,6110,Customer Service,Revenue,Investment Income & Rentals,6651,Interest on Investment,7063
FY20,Treasury,Treasurer,Interest,6010 - Interest,6220,Engineering Services,Revenue,Investment Income & Rentals,6651,Interest on Investment,92606
FY20,Treasury,Treasurer,Interest,6010 - Interest,6310,Facilities Mgmt-Operating,Revenue,Investment Income & Rentals,6651,Interest on Investment,37695
FY20,Treasury,Treasurer,Interest,6010 - Interest,6311,Facilities Management-Capital,Revenue,Investment Income & Rentals,6651,Interest on Investment,117605
FY20,Treasury,Treasurer,Interest,6010 - Interest,6610,Motor Equipment-Operating,Revenue,Investment Income & Rentals,6651,Interest on Investment,49759
FY20,Treasury,Treasurer,Interest,6010 - Interest,6611,Motor Equipment-Capital,Revenue,Investment Income & Rentals,6651,Interest on Investment,163971
FY20,Treasury,Treasurer,Interest,6010 - Interest,6770,Health Insurance,Revenue,Investment Income & Rentals,6651,Interest on Investment,365332
FY20,Treasury,Treasurer,Interest,6010 - Interest,6771,Other Reserves-Insurance,Revenue,Investment Income & Rentals,6651,Interest on Investment,144579
FY20,Treasury,Treasurer,Interest,6010 - Interest,6800,Information Tech-Operating,Revenue,Investment Income & Rentals,6651,Interest on Investment,40226
FY20,Treasury,Treasurer,Interest,6010 - Interest,6810,Information Technology-Capital,Revenue,Investment Income & Rentals,6651,Interest on Investment,59356
FY20,Treasury,Treasurer,Interest,6010 - Interest,7371,General Retiree Health Care Fund,Revenue,Investment Income & Rentals,6651,Interest on Investment,11511
FY20,Treasury,Treasurer,Interest,6010 - Interest,7372,Police Officer Retiree Health,Revenue,Investment Income & Rentals,6651,Interest on Investment,9787
FY20,Treasury,Treasurer,Interest,6010 - Interest,7373,Firefighter Retiree Health Care,Revenue,Investment Income & Rentals,6651,Interest on Investment,5435
FY20,Treasury,Treasurer,Interest,6010 - Interest,7400,61st District Court,Revenue,Investment Income & Rentals,6651,Interest on Investment,10529
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Supplies,7520,Supplies,12500
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Supplies,7910,Subscriptions and Publications,500
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Capital Outlays,9755,Building Additions,25000
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Capital Outlays,9800,Furniture,15000
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Capital Outlays,9805,Computer Equipment,10000
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7020,Full Time Employees,744226
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7105,Employers FICA,56912
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7110,Hospitalization Insurance,175500
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7115,Retiree Health Care-OPEB,63621
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7120,Retirement Fund Contribution,168415
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7135,Unemployment Compensation,1046
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8010,Contractual Services,130000
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8240,Fees,25000
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8450,Claims,18217
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8500,Telephone,1500
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8505,Employee Phone Reimbursement,420
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8510,Postage,55000
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9000,Printing & Publishing,2000
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9100,Professional Development,11500
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9110,Other Travel & Training,1000
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9150,Memberships,1500
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9330,Software Maintenance Agreements,9000
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9340,Maintenance Service,800
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9410,Equipment Rentals or Lease,1328
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,96582
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9450,311 Call Center Services,57879
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9470,Employee Parking,20000
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9480,Computer Services-from IT,133354
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9630,Property Taxes,500
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Revenue,Taxes,4470,Property Tax Administration Fee,2199402
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Revenue,Other Revenues,6922,Non-Sufficient Funds Check Charge,2000
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Revenue,Charges for Services,6201,Investment-Cash Mgnt Fees,220000
FY20,Treasury,Treasurer,Administration,1000 - Administration,1010,General Fund Operating,Revenue,Charges for Services,6260,Service Fees-General,15000
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,1010,General Fund Operating,Revenue,Taxes,4020,Real Property Taxes,11172332
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,1010,General Fund Operating,Revenue,Taxes,4100,Personal Property Taxes,997895
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,1010,General Fund Operating,Revenue,Taxes,4140,"Allowance for Refunds-BOR, MTT",-25000
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,1010,General Fund Operating,Revenue,Taxes,4150,Allowance for Charge Backs,58767
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,1010,General Fund Operating,Revenue,Taxes,4260,Payment In Lieu of Taxes,67574
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,1010,General Fund Operating,Revenue,Taxes,4370,Industrial Facilities Tax,26943
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,1010,General Fund Operating,Revenue,Taxes,4450,Penalty & Interest on Property Taxes,40000
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,1010,General Fund Operating,Revenue,State Grants,5730,Local Community Stabilization Share,348414
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2081,Parks Millage,Revenue,Taxes,4020,Real Property Taxes,3890018
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2081,Parks Millage,Revenue,Taxes,4100,Personal Property Taxes,345884
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2081,Parks Millage,Revenue,Taxes,4140,"Allowance for Refunds-BOR, MTT",-11000
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2081,Parks Millage,Revenue,Taxes,4150,Allowance for Charge Backs,19848
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2081,Parks Millage,Revenue,Taxes,4260,Payment In Lieu of Taxes,23347
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2081,Parks Millage,Revenue,Taxes,4370,Industrial Facilities Tax,9365
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2081,Parks Millage,Revenue,Taxes,4450,Penalty & Interest on Property Taxes,12000
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2081,Parks Millage,Revenue,State Grants,5730,Local Community Stabilization Share,23723
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2260,Refuse Collection,Revenue,Taxes,4020,Real Property Taxes,6556437
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2260,Refuse Collection,Revenue,Taxes,4100,Personal Property Taxes,578602
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2260,Refuse Collection,Revenue,Taxes,4140,"Allowance for Refunds-BOR, MTT",-14000
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2260,Refuse Collection,Revenue,Taxes,4150,Allowance for Charge Backs,33947
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2260,Refuse Collection,Revenue,Taxes,4260,Payment In Lieu of Taxes,38862
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2260,Refuse Collection,Revenue,Taxes,4370,Industrial Facilities Tax,15799
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2260,Refuse Collection,Revenue,Taxes,4450,Penalty & Interest on Property Taxes,24000
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2260,Refuse Collection,Revenue,State Grants,5730,Local Community Stabilization Share,39391
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2710,Public Library Operating,Revenue,Taxes,4020,Real Property Taxes,9904675
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2710,Public Library Operating,Revenue,Taxes,4100,Personal Property Taxes,871803
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2710,Public Library Operating,Revenue,Taxes,4140,"Allowance for Refunds-BOR, MTT",-21200
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2710,Public Library Operating,Revenue,Taxes,4150,Allowance for Charge Backs,51242
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2710,Public Library Operating,Revenue,Taxes,4260,Payment In Lieu of Taxes,58452
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2710,Public Library Operating,Revenue,Taxes,4370,Industrial Facilities Tax,24432
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2710,Public Library Operating,Revenue,Taxes,4450,Penalty & Interest on Property Taxes,35000
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,2710,Public Library Operating,Revenue,State Grants,5730,Local Community Stabilization Share,59395
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,4011,Capital Reserve,Revenue,Taxes,4020,Real Property Taxes,5121893
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,4011,Capital Reserve,Revenue,Taxes,4100,Personal Property Taxes,452027
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,4011,Capital Reserve,Revenue,Taxes,4140,"Allowance for Refunds-BOR, MTT",-11000
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,4011,Capital Reserve,Revenue,Taxes,4150,Allowance for Charge Backs,26928
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,4011,Capital Reserve,Revenue,Taxes,4260,Payment In Lieu of Taxes,30361
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,4011,Capital Reserve,Revenue,Taxes,4370,Industrial Facilities Tax,12343
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,4011,Capital Reserve,Revenue,Taxes,4450,Penalty & Interest on Property Taxes,19000
FY20,Treasury,Treasurer,Property Taxes,3010 - Property Taxes,4011,Capital Reserve,Revenue,State Grants,5730,Local Community Stabilization Share,30774
FY20,Treasury,Treasurer,Mail Processing,1020 - Mail Processing,1010,General Fund Operating,Expense,Supplies,7520,Supplies,2500
FY20,Treasury,Treasurer,Mail Processing,1020 - Mail Processing,1010,General Fund Operating,Expense,Other Services and Charges,8010,Contractual Services,59500
FY20,Treasury,Treasurer,Mail Processing,1020 - Mail Processing,1010,General Fund Operating,Expense,Other Services and Charges,8510,Postage,10000
FY20,Treasury,Treasurer,Mail Processing,1020 - Mail Processing,1010,General Fund Operating,Expense,Other Services and Charges,9340,Maintenance Service,500
FY20,Treasury,Treasurer,Mail Processing,1020 - Mail Processing,1010,General Fund Operating,Expense,Other Services and Charges,9410,Equipment Rentals or Lease,3000
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Expense,Supplies,7520,Supplies,2500
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Expense,Personnel Services,7020,Full Time Employees,223468
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Expense,Personnel Services,7105,Employers FICA,17094
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Expense,Personnel Services,7110,Hospitalization Insurance,60036
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Expense,Personnel Services,7115,Retiree Health Care-OPEB,19100
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Expense,Personnel Services,7120,Retirement Fund Contribution,50547
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Expense,Personnel Services,7135,Unemployment Compensation,320
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Expense,Other Services and Charges,8010,Contractual Services,7000
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Expense,Other Services and Charges,8011,Contract Employees-Temporary Services,30000
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Expense,Other Services and Charges,8240,Fees,7500
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Expense,Other Services and Charges,8510,Postage,18000
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Expense,Other Services and Charges,9150,Memberships,100
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Expense,Other Services and Charges,9410,Equipment Rentals or Lease,1000
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Expense,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,11103
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Expense,Other Services and Charges,9470,Employee Parking,3500
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Revenue,Other Revenues,6921,Bad Check Fees,500
FY20,Treasury,Treasurer,Parking Violations,1010 - Parking Violations,1010,General Fund Operating,Revenue,Fines & Forfeitures,6581,Parking Fines,1800000
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,2260,Refuse Collection,Expense,Supplies,7520,Supplies,300
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,2260,Refuse Collection,Expense,Capital Outlays,9760,Equipment,150
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,2260,Refuse Collection,Expense,Personnel Services,7020,Full Time Employees,22448
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,2260,Refuse Collection,Expense,Personnel Services,7105,Employers FICA,1716
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,2260,Refuse Collection,Expense,Personnel Services,7110,Hospitalization Insurance,3072
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,2260,Refuse Collection,Expense,Personnel Services,7115,Retiree Health Care-OPEB,1919
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,2260,Refuse Collection,Expense,Personnel Services,7120,Retirement Fund Contribution,5071
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,2260,Refuse Collection,Expense,Personnel Services,7135,Unemployment Compensation,36
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,2260,Refuse Collection,Expense,Other Services and Charges,8240,Fees,162500
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,2260,Refuse Collection,Expense,Other Services and Charges,8450,Claims,466
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,2260,Refuse Collection,Expense,Other Services and Charges,8510,Postage,150
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,2260,Refuse Collection,Expense,Other Services and Charges,9480,Computer Services-from IT,3222
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,5910,Water Operations,Expense,Supplies,7520,Supplies,3500
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,5910,Water Operations,Expense,Capital Outlays,9760,Equipment,500
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,5910,Water Operations,Expense,Personnel Services,7020,Full Time Employees,84870
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,5910,Water Operations,Expense,Personnel Services,7105,Employers FICA,6479
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,5910,Water Operations,Expense,Personnel Services,7110,Hospitalization Insurance,23088
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,5910,Water Operations,Expense,Personnel Services,7115,Retiree Health Care-OPEB,7251
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,5910,Water Operations,Expense,Personnel Services,7120,Retirement Fund Contribution,19214
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,5910,Water Operations,Expense,Personnel Services,7135,Unemployment Compensation,132
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,5910,Water Operations,Expense,Other Services and Charges,8010,Contractual Services,10000
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,5910,Water Operations,Expense,Other Services and Charges,8240,Fees,577500
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,5910,Water Operations,Expense,Other Services and Charges,8450,Claims,2354
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,5910,Water Operations,Expense,Other Services and Charges,8510,Postage,1300
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,5910,Water Operations,Expense,Other Services and Charges,9340,Maintenance Service,625
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,5910,Water Operations,Expense,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,9431
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,5910,Water Operations,Expense,Other Services and Charges,9470,Employee Parking,3500
FY20,Treasury,Treasurer,Payment Processing,4010 - Payment Processing,5910,Water Operations,Expense,Other Services and Charges,9480,Computer Services-from IT,29784
FY20,Treasury,Treasurer,Property Taxes-Promo & Ad,3020 - Property Taxes-Promo & Ad,1010,General Fund Operating,Revenue,Taxes,4020,Real Property Taxes,39794
FY20,Treasury,Treasurer,Property Taxes-Promo & Ad,3020 - Property Taxes-Promo & Ad,1010,General Fund Operating,Revenue,Taxes,4100,Personal Property Taxes,3678
FY20,Treasury,Treasurer,Property Taxes-Promo & Ad,3020 - Property Taxes-Promo & Ad,1010,General Fund Operating,Revenue,Taxes,4140,"Allowance for Refunds-BOR, MTT",-125
FY20,Treasury,Treasurer,Property Taxes-Promo & Ad,3020 - Property Taxes-Promo & Ad,1010,General Fund Operating,Revenue,Taxes,4150,Allowance for Charge Backs,200
FY20,Treasury,Treasurer,Property Taxes-Promo & Ad,3020 - Property Taxes-Promo & Ad,1010,General Fund Operating,Revenue,Taxes,4260,Payment In Lieu of Taxes,259
FY20,Treasury,Treasurer,Property Taxes-Promo & Ad,3020 - Property Taxes-Promo & Ad,1010,General Fund Operating,Revenue,Taxes,4370,Industrial Facilities Tax,112
FY20,Treasury,Treasurer,Property Taxes-Promo & Ad,3020 - Property Taxes-Promo & Ad,1010,General Fund Operating,Revenue,Taxes,4450,Penalty & Interest on Property Taxes,150
FY20,Treasury,Treasurer,Property Taxes-Promo & Ad,3020 - Property Taxes-Promo & Ad,1010,General Fund Operating,Revenue,State Grants,5730,Local Community Stabilization Share,263
FY20,Treasury,Treasurer,Billings and Collections-Real ,2010 - Billings and Collections-Real ,1010,General Fund Operating,Revenue,Charges for Services,6260,Service Fees-General,6000
FY20,Treasury,Treasurer,Billings and Collections-Speci,2030 - Billings and Collections-Speci,1010,General Fund Operating,Revenue,Other Revenues,6723,Interest-Penalties on Special Assessment,100000
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Supplies,7520,Supplies,15000
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Supplies,7910,Subscriptions and Publications,500
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Capital Outlays,9805,Computer Equipment,2000
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7020,Full Time Employees,293148
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7105,Employers FICA,22428
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7110,Hospitalization Insurance,48492
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7115,Retiree Health Care-OPEB,25068
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7120,Retirement Fund Contribution,66348
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7135,Unemployment Compensation,408
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8505,Employee Phone Reimbursement,100
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8510,Postage,1000
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9000,Printing & Publishing,5000
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9100,Professional Development,10000
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9150,Memberships,3000
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9410,Equipment Rentals or Lease,72
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,45875
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9450,311 Call Center Services,3602
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9470,Employee Parking,8256
FY20,Purchasing,Purchasing,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9480,Computer Services-from IT,79246
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Expense,Supplies,7520,Supplies,2500
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Expense,Personnel Services,7020,Full Time Employees,105717
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Expense,Personnel Services,7105,Employers FICA,8084
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Expense,Personnel Services,7110,Hospitalization Insurance,19248
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Expense,Personnel Services,7115,Retiree Health Care-OPEB,9032
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Expense,Personnel Services,7120,Retirement Fund Contribution,23917
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Expense,Personnel Services,7135,Unemployment Compensation,156
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Expense,Other Services and Charges,8010,Contractual Services,98912
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Expense,Other Services and Charges,8450,Claims,6009
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Expense,Other Services and Charges,9100,Professional Development,3500
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Expense,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,8800
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Expense,Other Services and Charges,9470,Employee Parking,2838
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Expense,Other Services and Charges,9480,Computer Services-from IT,7476
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Expense,Other Services and Charges,9510,A-87 Cost Allocation,26150
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Revenue,Taxes,4020,Real Property Taxes,1147582
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Revenue,Taxes,4140,"Allowance for Refunds-BOR, MTT",-60000
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Revenue,State Grants,5762,Other State of MI Agencies-Grants,100000
FY20,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,Revenue,Investment Income & Rentals,6651,Interest on Investment,101430
FY20,Authorities,SmartZone LDFA,Development Projects,2000 - Development Projects,2500,SmartZone LDFA,Expense,Other Services and Charges,8010,Contractual Services,1559325
