Fiscal Year,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Account Category,Account Code,Account Description,Amount
FY17,Revenue,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Charges for Services,6283,Sewage Surcharge,1763068
FY17,Expense,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Personal Services,7115,Retiree Health Care-OPEB,528847
FY17,Expense,Adminitrative Services,Admin Services Support,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8500,Telephone,1200
FY17,Expense,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8510,Postage,150
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Other Services and Charges,8800,Community Promotion,500
FY17,Expense,Community Services,Cemetery,1000,1000 - Administration,5020,Cemetery Operating,Other Services and Charges,8800,Community Promotion,1000
FY17,Expense,Fiscal Services,Assessor,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9000,Printing & Publishing,11425
FY17,Expense,Adminitrative Services,Admin Services Support,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9000,Printing & Publishing,250
FY17,Expense,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Other Services and Charges,9000,Printing & Publishing,2500
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9100,Professional Development,9000
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Personal Services,7120,Retirement Fund Contribution,20556
FY17,Expense,Authorities,Tax Increment Financing Authority,1000,1000 - Administration,2470,Tax Increment Finance Authority,Personal Services,7120,Retirement Fund Contribution,1108
FY17,Expense,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Personal Services,7120,Retirement Fund Contribution,122348
FY17,Expense,Authorities,SmartZone LDFA,1000,1000 - Administration,2500,SmartZone LDFA,Personal Services,7120,Retirement Fund Contribution,23801
FY17,Expense,Clerk's Office,Clerk,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,1000
FY17,Expense,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Other Services and Charges,9100,Professional Development,12000
FY17,Expense,Technology & Change Management,Information Technology,1000,1000 - Administration,6800,Information Technology-Operating,Personal Services,7120,Retirement Fund Contribution,34713
FY17,Expense,Design & Development,Planning,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,234
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,2008
FY17,Expense,Authorities,SmartZone LDFA,1000,1000 - Administration,2500,SmartZone LDFA,Personal Services,7135,Unemployment Compensation,140
FY17,Expense,Clerk's Office,Clerk,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9150,Memberships,600
FY17,Expense,Human Resources,Human Resources,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9150,Memberships,1000
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Personal Services,7135,Unemployment Compensation,1424
FY17,Expense,Technology & Change Management,Information Technology,1000,1000 - Administration,6800,Information Technology-Operating,Personal Services,7135,Unemployment Compensation,205
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Other Services and Charges,9100,Professional Development,6000
FY17,Expense,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Other Services and Charges,9100,Professional Development,21400
FY17,Expense,Authorities,Brownfield Redevelopment Authority,1000,1000 - Administration,2430,Brownfield Operations,Supplies,7520,Supplies,4900
FY17,Expense,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Supplies,7520,Supplies,25000
FY17,Expense,Executive Office,Executive Office,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,5000
FY17,Expense,Adminitrative Services,Admin Services Support,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,5000
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Other Services and Charges,8010,Contractual Services,273000
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Other Services and Charges,8400,Insurance Premiums,1387
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Other Services and Charges,8450,Claims,1209
FY17,Expense,Community Services,Golf Course,1000,1000 - Administration,5840,Golf Course,Other Services and Charges,8450,Claims,3001
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Other Services and Charges,8450,Claims,19705
FY17,Expense,Executive Office,City Commission,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,30648
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,108218
FY17,Expense,Design & Development,Planning,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,20364
FY17,Expense,Clerk's Office,Clerk,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8500,Telephone,1200
FY17,Expense,Police,Police,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,20327
FY17,Expense,Authorities,Brownfield Redevelopment Authority,1000,1000 - Administration,2430,Brownfield Operations,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,12357
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9440,Fleet Management Equipment Charges,281633
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Other Services and Charges,9450,311 Call Center Services,26123
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9460,Engineering Services,2400
FY17,Expense,Community Services,Cemetery,1000,1000 - Administration,5020,Cemetery Operating,Other Services and Charges,9460,Engineering Services,2400
FY17,Expense,Treasury,Treasurer,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,19200
FY17,Expense,Attorney's Office,Attorney,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,29485
FY17,Expense,Treasury,Treasurer,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,159232
FY17,Expense,Human Resources,Human Resources,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,298086
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,473168
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,52956
FY17,Revenue,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Fines & Forfeitures,6611,Water Penalties,1204000
FY17,Expense,Community Services,Cemetery,1000,1000 - Administration,5020,Cemetery Operating,Capital Outlays,9880,Construction In Progress,325000
FY17,Revenue,Authorities,Brownfield Redevelopment Authority,1000,1000 - Administration,2430,Brownfield Operations,Investment Income & Rentals,6651,Interest on Investment,-1131
FY17,Revenue,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Investment Income & Rentals,6651,Interest on Investment,3600
FY17,Revenue,Authorities,Downtown Development Authority,1000,1000 - Administration,2484,DDA Local Tax Increment,Investment Income & Rentals,6651,Interest on Investment,-47091
FY17,Expense,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Debt Service,9930,Paying Agent Fees,4291384
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Other Financing,9952,Operating Transfers-A87 Cost,212563
FY17,Expense,Community Services,Cemetery,1000,1000 - Administration,1510,Cemetery Perpetual Care,Other Financing,9953,Operating Trans-Capt Projects,27500
FY17,Expense,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Other Financing,9959,Appropriation Lapse,-76365
FY17,Revenue,Authorities,SmartZone LDFA,1000,1000 - Administration,2500,SmartZone LDFA,Taxes,4020,Real Property Taxes,1346341
FY17,Revenue,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Charges for Services,6254,Rehabilitation Fees,250000
FY17,Revenue,Executive Office,City Commission,1000,1000 - Administration,1010,General Fund Operating,Charges for Services,6260,Service Fees-General,375
FY17,Expense,Authorities,Tax Increment Financing Authority,1000,1000 - Administration,2470,Tax Increment Finance Authority,Other Services and Charges,8010,Contractual Services,105918
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8240,Fees,304498
FY17,Expense,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Other Services and Charges,8240,Fees,7500
FY17,Expense,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Other Services and Charges,8240,Fees,2195075
FY17,Expense,Treasury,Treasurer,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8450,Claims,13749
FY17,Expense,Authorities,SmartZone LDFA,1000,1000 - Administration,2500,SmartZone LDFA,Other Services and Charges,8050,Subsidy,25000
FY17,Expense,Fiscal Services,Assessor,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8450,Claims,13432
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8450,Claims,279841
FY17,Expense,Technology & Change Management,Information Technology,1000,1000 - Administration,6800,Information Technology-Operating,Other Services and Charges,8500,Telephone,16300
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8505,Employee Phone Reimbursement,600
FY17,Expense,Clerk's Office,Clerk,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9130,Local Business Expense,1500
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9130,Local Business Expense,500
FY17,Expense,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Other Services and Charges,9150,Memberships,6330
FY17,Expense,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Other Services and Charges,9150,Memberships,1500
FY17,Expense,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Other Services and Charges,9150,Memberships,45670
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Other Services and Charges,9150,Memberships,5123
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Personal Services,7135,Unemployment Compensation,1483
FY17,Expense,Community Services,Parks and Recreation,1000,1000 - Administration,2080,Parks & Recreation,Personal Services,7135,Unemployment Compensation,710
FY17,Expense,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Personal Services,7135,Unemployment Compensation,480
FY17,Expense,Executive Office,Executive Office,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7175,Food-Clean-Car Allowance,8400
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Supplies,7520,Supplies,50744
FY17,Revenue,Public Services,Streets,1000,1000 - Administration,2040,Vital Streets Operating,Other Financing Sources,6995,Operating Transfers-Misc,972188
FY17,Revenue,Comptroller,Comptroller,1000,1000 - Administration,1010,General Fund Operating,Other Revenues,6901,Miscellaneous Other Revenue,30
FY17,Revenue,Authorities,Brownfield Redevelopment Authority,1000,1000 - Administration,2430,Brownfield Operations,Other Revenues,6901,Miscellaneous Other Revenue,75000
FY17,Expense,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7020,Full Time Employees,329298
FY17,Expense,Treasury,Treasurer,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7020,Full Time Employees,639588
FY17,Expense,Adminitrative Services,Admin Services Support,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7020,Full Time Employees,57654
FY17,Expense,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Personal Services,7020,Full Time Employees,520064
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9410,Equipment Rentals or Lease,8479
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Other Services and Charges,9410,Equipment Rentals or Lease,4200
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Other Services and Charges,9440,Fleet Management Equipment Charges,35543
FY17,Expense,Treasury,Treasurer,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9450,311 Call Center Services,55460
FY17,Expense,Enterprise Services,Environmental Services,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9450,311 Call Center Services,1650
FY17,Expense,Comptroller,Comptroller,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,92905
FY17,Revenue,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Charges for Services,6461,Inventory Withdrawals-Sales,39216
FY17,Revenue,Authorities,Downtown Development Authority,1000,1000 - Administration,2483,DDA Non Tax Increment,Other Revenues,6723,Interest-Penalties on Special Assessment,15000
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Personal Services,7040,Temporary Noncontract Employees,3000
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Other Services and Charges,9450,311 Call Center Services,9607
FY17,Expense,Human Resources,Human Resources,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7105,Employers FICA,20438
FY17,Expense,Authorities,SmartZone LDFA,1000,1000 - Administration,2500,SmartZone LDFA,Other Services and Charges,9480,Computer Services-from IT,5063
FY17,Expense,Community Services,Cemetery,1000,1000 - Administration,5020,Cemetery Operating,Other Services and Charges,9480,Computer Services-from IT,15859
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Other Services and Charges,9480,Computer Services-from IT,159103
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Personal Services,7105,Employers FICA,83189
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Personal Services,7105,Employers FICA,41617
FY17,Expense,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Personal Services,7105,Employers FICA,27917
FY17,Expense,Technology & Change Management,Information Technology,1000,1000 - Administration,6800,Information Technology-Operating,Personal Services,7105,Employers FICA,11302
FY17,Expense,Executive Office,Executive Office,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,38724
FY17,Expense,Treasury,Treasurer,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,126988
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Debt Service,9910,Principal,470000
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Debt Service,9930,Paying Agent Fees,323050
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2040,Vital Streets Operating,Debt Service,9930,Paying Agent Fees,1187419
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2360,Property Management,Debt Service,9930,Paying Agent Fees,14854
FY17,Expense,Authorities,Tax Increment Financing Authority,1000,1000 - Administration,2470,Tax Increment Finance Authority,Debt Service,9930,Paying Agent Fees,11249
FY17,Expense,Design & Development,Planning,1000,1000 - Administration,1010,General Fund Operating,Other Financing,9954,Operating Trans-Dev Center,7139
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Personal Services,7110,Hospitalization Insurance,250536
FY17,Expense,Authorities,Tax Increment Financing Authority,1000,1000 - Administration,2470,Tax Increment Finance Authority,Personal Services,7110,Hospitalization Insurance,615
FY17,Expense,Authorities,SmartZone LDFA,1000,1000 - Administration,2500,SmartZone LDFA,Personal Services,7110,Hospitalization Insurance,14137
FY17,Expense,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Other Financing,9959,Appropriation Lapse,-1531000
FY17,Expense,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Other Financing,9959,Appropriation Lapse,-1381000
FY17,Revenue,Authorities,Downtown Development Authority,1000,1000 - Administration,2482,DDA School Tax Increment,Taxes,4140,"Allowance for Refunds-BOR, MTT",-100000
FY17,Revenue,Authorities,Corridor Improvement Districts,1000,1000 - Administration,7813,Uptown Corridor Improvement District,Taxes,4140,"Allowance for Refunds-BOR, MTT",-500
FY17,Revenue,Authorities,Corridor Improvement Districts,1000,1000 - Administration,7814,West Side Corridor Improvement District,Taxes,4140,"Allowance for Refunds-BOR, MTT",-500
FY17,Expense,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Personal Services,7110,Hospitalization Insurance,139159
FY17,Revenue,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Taxes,4382,City Income Tax Refunds,-7877815
FY17,Revenue,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Taxes,4450,Penalty & Interest on Taxes,293953
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9220,Steam,12607
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9340,Maintenance Service,280500
FY17,Revenue,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,State Grants,5440,Drunk Driving Case Flow Assistance,50000
FY17,Revenue,Fiscal Services,Assessor,1000,1000 - Administration,1010,General Fund Operating,Charges for Services,6131,Processing Fees,250
FY17,Expense,Authorities,Tax Increment Financing Authority,1000,1000 - Administration,2470,Tax Increment Finance Authority,Other Services and Charges,9340,Maintenance Service,10000
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9410,Equipment Rentals or Lease,2400
FY17,Revenue,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Charges for Services,6260,Service Fees-General,500
FY17,Revenue,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Charges for Services,6260,Service Fees-General,5450
FY17,Revenue,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Charges for Services,6282,Wholesale Sewage Service,2284877
FY17,Expense,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Other Services and Charges,8510,Postage,62500
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8500,Telephone,600
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9000,Printing & Publishing,20000
FY17,Expense,Authorities,Downtown Development Authority,1000,1000 - Administration,2484,DDA Local Tax Increment,Personal Services,7120,Retirement Fund Contribution,8922
FY17,Expense,Treasury,Treasurer,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,2500
FY17,Expense,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Personal Services,7120,Retirement Fund Contribution,171443
FY17,Expense,Retirement Activities,City Retirement System Office,1000,1000 - Administration,7050,City Retirement System Office,Personal Services,7120,Retirement Fund Contribution,72575
FY17,Expense,Fiscal Services,Purchasing,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,368
FY17,Expense,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Personal Services,7135,Unemployment Compensation,499
FY17,Expense,Retirement Activities,City Retirement System Office,1000,1000 - Administration,7050,City Retirement System Office,Personal Services,7135,Unemployment Compensation,428
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Personal Services,7165,Shift Differential,3000
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Personal Services,7165,Shift Differential,3000
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Other Services and Charges,9100,Professional Development,6000
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Other Services and Charges,9100,Professional Development,25000
FY17,Expense,Authorities,Downtown Development Authority,1000,1000 - Administration,2483,DDA Non Tax Increment,Supplies,7520,Supplies,140000
FY17,Expense,Technology & Change Management,Information Technology,1000,1000 - Administration,6800,Information Technology-Operating,Supplies,7910,Subscriptions and Publications,5771
FY17,Expense,Police,Police,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,154000
FY17,Expense,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Other Services and Charges,8010,Contractual Services,281820
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Other Services and Charges,8010,Contractual Services,5000
FY17,Expense,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Other Services and Charges,8400,Insurance Premiums,180192
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8450,Claims,46769
FY17,Expense,Community Services,Parks and Recreation,1000,1000 - Administration,2080,Parks & Recreation,Other Services and Charges,8450,Claims,44798
FY17,Expense,Authorities,SmartZone LDFA,1000,1000 - Administration,2500,SmartZone LDFA,Other Services and Charges,8450,Claims,5893
FY17,Expense,Community Services,Cemetery,1000,1000 - Administration,5020,Cemetery Operating,Other Services and Charges,8450,Claims,4602
FY17,Expense,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Other Services and Charges,8450,Claims,64953
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Personal Services,7110,Hospitalization Insurance,93428
FY17,Expense,Fiscal Services,Purchasing,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,32003
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Personal Services,7115,Retiree Health Care-OPEB,10542
FY17,Expense,Technology & Change Management,Information Technology,1000,1000 - Administration,6800,Information Technology-Operating,Other Services and Charges,8450,Claims,8858
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,54759
FY17,Expense,Authorities,SmartZone LDFA,1000,1000 - Administration,2500,SmartZone LDFA,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,8238
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Other Services and Charges,9440,Fleet Management Equipment Charges,464313
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Other Services and Charges,9460,Engineering Services,3900
FY17,Expense,Fiscal Services,Purchasing,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,7632
FY17,Expense,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Other Services and Charges,9470,Employee Parking,62435
FY17,Expense,Adminitrative Services,Admin Services Support,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,25344
FY17,Revenue,Clerk's Office,Clerk,1000,1000 - Administration,1010,General Fund Operating,Charges for Services,6260,Service Fees-General,2500
FY17,Revenue,Community Services,Cemetery,1000,1000 - Administration,1510,Cemetery Perpetual Care,Charges for Services,6426,Cemetery Lot Sales,22253
FY17,Revenue,Authorities,Downtown Development Authority,1000,1000 - Administration,2483,DDA Non Tax Increment,Charges for Services,6524,Parking Fees-DDA Arena Operation,321332
FY17,Expense,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Other Financing,9951,Operating Trans Out-Subsidies,1841400
FY17,Expense,Authorities,Brownfield Redevelopment Authority,1000,1000 - Administration,2430,Brownfield Operations,Other Financing,9952,Operating Transfers-A87 Cost,30704
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Other Financing,9952,Operating Transfers-A87 Cost,13748
FY17,Expense,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Other Financing,9952,Operating Transfers-A87 Cost,245812
FY17,Expense,Clerk's Office,Clerk,1000,1000 - Administration,1010,General Fund Operating,Supplies,7910,Subscriptions and Publications,300
FY17,Expense,Fiscal Services,Assessor,1000,1000 - Administration,1010,General Fund Operating,Supplies,7910,Subscriptions and Publications,1025
FY17,Expense,Police,Police,1000,1000 - Administration,1010,General Fund Operating,Supplies,7910,Subscriptions and Publications,5000
FY17,Expense,Design & Development,Planning,1000,1000 - Administration,1010,General Fund Operating,Supplies,7910,Subscriptions and Publications,2575
FY17,Expense,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Supplies,7910,Subscriptions and Publications,1000
FY17,Expense,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Supplies,7910,Subscriptions and Publications,1000
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,2361,Receivership,Other Services and Charges,8010,Contractual Services,15000
FY17,Expense,Authorities,Downtown Development Authority,1000,1000 - Administration,2483,DDA Non Tax Increment,Other Services and Charges,8010,Contractual Services,537000
FY17,Expense,Attorney's Office,Attorney,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8450,Claims,17091
FY17,Expense,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Other Services and Charges,8500,Telephone,19000
FY17,Expense,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8505,Employee Phone Reimbursement,523
FY17,Expense,Human Resources,Human Resources,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8505,Employee Phone Reimbursement,-120
FY17,Expense,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Other Services and Charges,8505,Employee Phone Reimbursement,440
FY17,Expense,Executive Office,City Commission,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9100,Professional Development,500
FY17,Expense,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Other Services and Charges,9110,Other Travel & Training,4500
FY17,Expense,Adminitrative Services,Admin Services Support,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9130,Local Business Expense,500
FY17,Expense,Authorities,Downtown Development Authority,1000,1000 - Administration,2483,DDA Non Tax Increment,Other Services and Charges,9130,Local Business Expense,2500
FY17,Expense,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Other Services and Charges,9130,Local Business Expense,13887
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Personal Services,7115,Retiree Health Care-OPEB,119041
FY17,Expense,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Other Services and Charges,9150,Memberships,24000
FY17,Expense,Comptroller,Comptroller,1000,1000 - Administration,1010,General Fund Operating,Supplies,7520,Supplies,27775
FY17,Expense,Clerk's Office,Clerk,1000,1000 - Administration,1010,General Fund Operating,Supplies,7520,Supplies,18100
FY17,Expense,Fiscal Services,Assessor,1000,1000 - Administration,1010,General Fund Operating,Supplies,7520,Supplies,26100
FY17,Revenue,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Other Financing Sources,6991,Operating Transfers-Subsidy,750000
FY17,Revenue,Design & Development,Code Compliance,1000,1000 - Administration,2361,Receivership,Other Revenues,6871,Refunds-Rebates,15000
FY17,Revenue,Authorities,Downtown Development Authority,1000,1000 - Administration,2484,DDA Local Tax Increment,Other Revenues,6871,Refunds-Rebates,10000
FY17,Expense,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Personal Services,7110,Hospitalization Insurance,50648
FY17,Expense,Comptroller,Comptroller,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7020,Full Time Employees,227703
