Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount
FY19,Expense,Engineering,Engineering Services,Local Streets,Capital Outlays,Street Reconstruction,740679
FY19,Expense,Engineering,Engineering Services,Local Streets,Other Financing,Operating Trans-Misc,1600000
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Personnel Services,Full Time Employees,195036
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Personnel Services,Time & One-half,5000
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Personnel Services,Employers FICA,15308
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Personnel Services,Hospitalization Insurance,48528
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Personnel Services,Retiree Health Care-OPEB,24092
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Personnel Services,Retirement Fund Contribution,44272
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Personnel Services,Unemployment Compensation,276
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Supplies,Supplies,7600
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Other Services and Charges,Contractual Services,1810000
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Other Services and Charges,Fees,200
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Other Services and Charges,Claims,40152
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Other Services and Charges,Telephone,2300
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Other Services and Charges,Postage,1500
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Other Services and Charges,Community Promotion,2400
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Other Services and Charges,Professional Development,3500
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Other Services and Charges,Fleet Management Equipment Charges,7810
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Other Services and Charges,311 Call Center Services,16467
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Other Services and Charges,Employee Parking,979
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Other Services and Charges,Computer Services-from IT,58924
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Other Financing,Operating Transfers-A87 Cost,30457
FY19,Expense,Engineering,Engineering Services,Sidewalk Repair,Other Financing,Operating Trans-Misc,64883
FY19,Expense,Engineering,Engineering Services,Capital Improvement,Capital Outlays,Construction In Progress,9900000
FY19,Expense,Engineering,Engineering Services,Streets-Capital Projects,Capital Outlays,Construction In Progress,203000
FY19,Expense,Executive Office,City Commission,General Fund Operating,Personnel Services,Full Time Employees,270181
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Full Time Employees,249672
FY19,Expense,Executive Office,City Commission,General Fund Operating,Personnel Services,Employers FICA,20733
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Employers FICA,19092
FY19,Expense,Executive Office,City Commission,General Fund Operating,Personnel Services,Hospitalization Insurance,115200
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Hospitalization Insurance,28800
FY19,Expense,Executive Office,City Commission,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,33714
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,30888
FY19,Expense,Executive Office,City Commission,General Fund Operating,Personnel Services,Retirement Fund Contribution,61945
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Retirement Fund Contribution,56808
FY19,Expense,Executive Office,City Commission,General Fund Operating,Personnel Services,Unemployment Compensation,385
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Unemployment Compensation,348
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Food-Clean-Car Allowance,8400
FY19,Expense,Executive Office,City Commission,General Fund Operating,Supplies,Subscriptions and Publications,300
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Supplies,Subscriptions and Publications,200
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Contractual Services,5000
FY19,Expense,Executive Office,City Commission,General Fund Operating,Other Services and Charges,Community Promotion,5000
FY19,Expense,Executive Office,City Commission,General Fund Operating,Other Services and Charges,Professional Development,500
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Professional Development,2000
FY19,Expense,Executive Office,City Commission,General Fund Operating,Other Services and Charges,Other Travel & Training,12000
FY19,Expense,Executive Office,City Commission,General Fund Operating,Other Services and Charges,Memberships,300
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Memberships,2500
FY19,Expense,Executive Office,Executive Office,Capital Reserve,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,166706
FY19,Expense,Executive Office,City Commission,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,14937
FY19,Expense,Executive Office,Executive Office,Capital Reserve,Debt Service,Principal,1977734
FY19,Expense,Executive Office,Executive Office,Capital Reserve,Debt Service,Paying Agent Fees,1330826
FY19,Expense,Executive Office,Executive Office,Capital Reserve,Other Financing,Operating Trans Out-Subsidies,2364369
FY19,Expense,Executive Office,Executive Office,Capital Reserve,Other Financing,Operating Transfers-A87 Cost,64490
FY19,Expense,Executive Office,Executive Office,Capital Reserve,Other Financing,Operating Trans-Capt Projects,6903690
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Personnel Services,Full Time Employees,820186
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Personnel Services,Time & One-half,3000
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Personnel Services,Employers FICA,62988
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Personnel Services,Hospitalization Insurance,201600
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Personnel Services,Retiree Health Care-OPEB,101416
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Personnel Services,Retirement Fund Contribution,186528
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Personnel Services,Unemployment Compensation,1109
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Supplies,Supplies,6071
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Supplies,Subscriptions and Publications,250
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Other Services and Charges,Contract Employees-Temporary Services,70000
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Other Services and Charges,Claims,15220
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Other Services and Charges,Employee Phone Reimbursement,541
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Other Services and Charges,Community Promotion,500
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Other Services and Charges,Printing & Publishing,500
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Other Services and Charges,Professional Development,500
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Other Services and Charges,Other Travel & Training,500
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Other Services and Charges,Local Business Expense,250
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Other Services and Charges,Memberships,250
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Other Services and Charges,Equipment Rentals or Lease,6800
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,54524
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Other Services and Charges,Employee Parking,11880
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Other Services and Charges,Computer Services-from IT,93706
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Capital Outlays,Equipment,2800
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Other Financing,Operating Transfers-A87 Cost,86084
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Full Time Employees,221539
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Employers FICA,16954
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Hospitalization Insurance,31680
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,27622
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Retirement Fund Contribution,50790
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Unemployment Compensation,300
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Supplies,Subscriptions and Publications,200
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Contractual Services,5000
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Community Promotion,10000
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Professional Development,4000
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Memberships,1000
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Contractual Services,1000000
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Contractual Services,33000
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Community Promotion,75000
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Local Business Expense,50000
FY19,Expense,Executive Office,311 Customer Service,Customer Service,Other Services and Charges,Contractual Services,157555
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Full Time Employees,219176
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Employers FICA,16762
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Hospitalization Insurance,28800
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,27331
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Retirement Fund Contribution,50249
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Personnel Services,Unemployment Compensation,301
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Contractual Services,47000
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Printing & Publishing,32000
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Professional Development,1000
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Memberships,250
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,34888
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Capital Outlays,Computer Equipment,1500
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Supplies,Supplies,13000
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Claims,21774
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Telephone,5000
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,5280
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Postage,500
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Printing & Publishing,200
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Local Business Expense,10000
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Maintenance Service,250
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,7500
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,169281
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,311 Call Center Services,1560
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Employee Parking,38372
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Other Services and Charges,Computer Services-from IT,50089
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Capital Outlays,Furniture,5000
FY19,Expense,Executive Office,Executive Office,General Fund Operating,Capital Outlays,Computer Equipment,4500
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Full Time Employees,427447
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Full Time Employees,589517
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Time & One-half,18000
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Employers FICA,32696
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Employers FICA,46473
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Hospitalization Insurance,81000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Hospitalization Insurance,109800
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Retiree Health Care-OPEB,52848
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Retiree Health Care-OPEB,72851
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Retirement Fund Contribution,97158
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Retirement Fund Contribution,133953
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Unemployment Compensation,588
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Unemployment Compensation,799
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Supplies,Supplies,22000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Supplies,Clothing,1500
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Supplies,Subscriptions and Publications,5500
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Supplies,Subscriptions and Publications,1500
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Other Services and Charges,Contractual Services,30000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Contractual Services,7500
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Other Services and Charges,Contract Employees-Temporary Services,10000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Contract Employees-Temporary Services,20000
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Other Services and Charges,Insurance Premiums,1268
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Insurance Premiums,1400
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Other Services and Charges,Claims,76079
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Claims,26078
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Other Services and Charges,Telephone,2300
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Telephone,10100
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Employee Phone Reimbursement,1250
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Other Services and Charges,Professional Development,5000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Professional Development,5000
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Other Services and Charges,Other Travel & Training,7000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Other Travel & Training,5000
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Other Services and Charges,Memberships,4600
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Memberships,3000
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Other Services and Charges,Maintenance Service,25875
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Equipment Rentals or Lease,4400
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,398183
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Other Services and Charges,311 Call Center Services,1213
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Engineering Services,5100
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Other Services and Charges,Employee Parking,8240
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Employee Parking,13260
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Other Services and Charges,Computer Services-from IT,115904
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Computer Services-from IT,186183
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Capital Outlays,Equipment,5000
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Capital Outlays,Furniture,15000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Capital Outlays,Furniture,30000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Capital Outlays,Computer Equipment,20000
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Capital Outlays,Vehicles,50000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Capital Outlays,Software,5000
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Debt Service,Interest to Financial Institution,8292
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Other Financing,Operating Transfers-A87 Cost,356110
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Financing,Operating Transfers-A87 Cost,266779
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Other Financing,Appropriation Lapse,-78092
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Financing,Appropriation Lapse,-51243
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Supplies,Inventory-Cost of Goods Sold,1711052
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Full Time Employees,14678
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Employers FICA,1127
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Hospitalization Insurance,4320
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Retiree Health Care-OPEB,1817
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Retirement Fund Contribution,3336
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Unemployment Compensation,24
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Supplies,Supplies,11000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Water,3500
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Electricity,55000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Natural Gas,9800
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Maintenance Service,88606
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Property Taxes,6180
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Full Time Employees,228716
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Employers FICA,17485
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Hospitalization Insurance,64800
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Retiree Health Care-OPEB,28244
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Retirement Fund Contribution,51921
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Unemployment Compensation,307
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Full Time Employees,14678
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Employers FICA,1127
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Hospitalization Insurance,4320
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Retiree Health Care-OPEB,1817
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Retirement Fund Contribution,3336
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Unemployment Compensation,24
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Supplies,Supplies,5000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Water,3440
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Electricity,37000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Natural Gas,11340
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Maintenance Service,31548
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Full Time Employees,17220
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Employers FICA,1320
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Hospitalization Insurance,4320
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Retiree Health Care-OPEB,2124
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Retirement Fund Contribution,3912
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Unemployment Compensation,24
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Supplies,Supplies,5200
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Insurance Premiums,6742
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Water,14455
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Electricity,160000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Natural Gas,460
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Steam,127503
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Maintenance Service,17728
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Full Time Employees,1280959
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Time & One-half,80000
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Employers FICA,104906
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Hospitalization Insurance,316800
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Retiree Health Care-OPEB,158155
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Retirement Fund Contribution,290794
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Unemployment Compensation,1774
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Personnel Services,Shift Differential,10000
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Supplies,Supplies,1595000
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Other Services and Charges,Vehicle Repairs,200000
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Capital Outlays,Equipment,50000
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Capital Outlays,Computer Equipment,10000
FY19,Expense,Facilities & Fleet Management,Fleet Management,Motor Equipment-Operating,Capital Outlays,Software,15000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Full Time Employees,137808
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Time & One-half,8000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Employers FICA,11160
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Hospitalization Insurance,34560
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Retiree Health Care-OPEB,17016
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Retirement Fund Contribution,31272
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Unemployment Compensation,204
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Supplies,Supplies,59000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Insurance Premiums,2333
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Water,24100
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Electricity,380000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Natural Gas,740
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Steam,110000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Maintenance Service,220000
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Equipment Rentals or Lease,1018
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Fleet Management Equipment Charges,25245
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Time & One-half,2900
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Employers FICA,222
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Supplies,Supplies,2500
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Maintenance Service,142274
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Other Services and Charges,Property Taxes,14420
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Full Time Employees,4895
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Employers FICA,380
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Hospitalization Insurance,1440
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Retiree Health Care-OPEB,606
FY19,Expense,Facilities & Fleet Management,Facilities Management,Facilities Mgmt-Operating,Personnel Services,Retirement Fund Contribution,1116
